County,Awaiting_testing,Inconclusive,Negative,Positive,Percent_positive,Total_tested,Date,file_name,Awaiting_BPHL_testing,Total,Awaiting_Testing,New_Negatives,New_Cases
Alachua,,,34,4,5%,,3/16/2020,Florida COVID-19 Data 03-16-2020.txt,,76,38,,
Alachua,,,273,15,5%,288,3/20/2020,Florida COVID-19 Data 03-20-2020.txt,50,,,239,11
Alachua,,0,393,25,6%,418,3/21/2020,Florida COVID-19 Data 03-21-2020.txt,27,,,120,10
Alachua,,0,528,35,6%,563,3/22/2020,Florida COVID-19 Data 03-22-2020.txt,21,,,135,10
Alachua,,0,549,36,6%,585,3/23/2020,Florida COVID-19 Data 03-23-2020.txt,45,,,21,1
Alachua,,,590,37,6%,627,3/24/2020,Florida COVID-19 Data 03-24-2020.txt,42,,,41,1
Alachua,,0,749,46,6%,795,3/25/2020,Florida COVID-19 Data 03-25-2020.txt,53,,,159,9
Alachua,,0,871,53,6%,924,3/26/2020,Florida COVID-19 Data 03-26-2020.txt,30,,,122,7
Alachua,22,0,1008,60,6%,1068,3/27/2020,Florida COVID-19 Data 03-27-2020.txt,,,,137,7
Alachua,21,0,1111,68,6%,1179,3/28/2020,Florida COVID-19 Data 03-28-2020.txt,,,,103,8
Alachua,19,0,1177,72,6%,1249,3/29/2020,Florida COVID-19 Data 03-29-2020.txt,,,,66,4
Alachua,16,1,1230,80,6%,1311,3/30/2020,Florida COVID-19 Data 03-30-2020.txt,,,,53,8
Alachua,16,1,1340,87,6%,1428,3/31/2020,Florida COVID-19 Data 03-31-2020.txt,,,,110,7
Alachua,16,1,1417,90,6%,1508,4/1/2020,Florida COVID-19 Data 04-01-2020.txt,,,,77,3
Alachua,15,2,1554,95,6%,1651,4/2/2020,Florida COVID-19 Data 04-02-2020.txt,,,,137,5
Alachua,15,2,1805,110,6%,1917,4/3/2020,Florida COVID-19 Data 04-03-2020.txt,,,,251,15
Alachua,14,2,1970,116,6%,2088,4/4/2020,Florida COVID-19 Data 04-04-2020.txt,,,,165,6
Alachua,12,3,2090,123,6%,2216,4/5/2020,Florida COVID-19 Data 04-05-2020.txt,,,,120,7
Alachua,12,3,2203,133,6%,2339,4/6/2020,Florida COVID-19 Data 04-06-2020.txt,,,,113,10
Alachua,8,7,2527,139,5%,2673,4/7/2020,Florida COVID-19 Data 04-07-2020.txt,,,,324,6
Alachua,7,8,3052,154,5%,3214,4/9/2020,Florida COVID-19 Data 04-09-2020.txt,,,,525,15
Alachua,6,9,3317,167,5%,3493,4/10/2020,Florida COVID-19 Data 04-10-2020.txt,,,,265,13
Alachua,6,9,3466,174,5%,3649,4/11/2020,Florida COVID-19 Data 04-11-2020.txt,,,,149,7
Alachua,6,9,3625,215,6%,3849,4/12/2020,Florida COVID-19 Data 04-12-2020.txt,,,,159,41
Alachua,4,9,3801,187,5%,3997,4/13/2020,Florida COVID-19 Data 04-13-2020.txt,,,,176,-28
Alachua,4,10,3895,192,5%,4097,4/14/2020,Florida COVID-19 Data 04-14-2020.txt,,,,94,5
Alachua,4,11,4008,196,5%,4215,4/15/2020,Florida COVID-19 Data 04-15-2020.txt,,,,113,4
Alachua,4,10,4355,199,4%,4564,4/16/2020,Florida COVID-19 Data 04-16-2020.txt,,,,347,3
Alachua,4,9,4542,202,4%,4753,4/17/2020,Florida COVID-19 Data 04-17-2020.txt,,,,187,3
Alachua,3,8,4652,205,4%,4865,4/18/2020,Florida COVID-19 Data 04-18-2020.txt,,,,110,3
Alachua,3,8,4824,209,4%,5041,4/19/2020,Florida COVID-19 Data 04-19-2020.txt,,,,172,4
Alachua,3,8,4988,215,4%,5211,4/20/2020,Florida COVID-19 Data 04-20-2020.txt,,,,164,6
Alachua,3,8,5136,223,4%,5367,4/21/2020,Florida COVID-19 Data 04-21-2020.txt,,,,148,8
Alachua,,8,5271,226,4%,5505,4/22/2020,Florida COVID-19 Data 04-22-2020.txt,,,,135,3
Alachua,,8,5356,229,4%,5593,4/23/2020,Florida COVID-19 Data 04-23-2020.txt,,,,85,3
Alachua,,7,5775,240,4%,6022,4/24/2020,Florida COVID-19 Data 04-24-2020.txt,,,,419,11
Alachua,,7,5958,245,4%,6210,4/25/2020,Florida COVID-19 Data 04-25-2020.txt,,,,183,5
Alachua,,7,6141,251,4%,6399,4/26/2020,Florida COVID-19 Data 04-26-2020.txt,,,,183,6
Alachua,,7,6271,254,4%,6532,4/27/2020,Florida COVID-19 Data 04-27-2020.txt,,,,130,3
Alachua,,7,6369,255,4%,6631,4/28/2020,Florida COVID-19 Data 04-28-2020.txt,,,,98,1
Alachua,,7,6471,262,4%,6740,4/29/2020,Florida COVID-19 Data 04-29-2020.txt,,,,102,7
Alachua,,7,6627,267,4%,6901,4/30/2020,Florida COVID-19 Data 04-30-2020.txt,,,,156,5
Alachua,,7,6785,273,4%,7065,5/1/2020,Florida COVID-19 Data 05-01-2020.txt,,,,158,6
Alachua,,7,6892,275,4%,7174,5/2/2020,Florida COVID-19 Data 05-02-2020.txt,,,,107,2
Alachua,,7,7056,286,4%,7349,5/3/2020,Florida COVID-19 Data 05-03-2020.txt,,,,164,11
Alachua,,7,7306,289,4%,7602,5/5/2020,Florida COVID-19 Data 05-05-2020.txt,,,,250,3
Alachua,,7,7487,295,4%,7789,5/6/2020,Florida COVID-19 Data 05-06-2020.txt,,,,181,6
Alachua,,8,7550,300,4%,7858,5/7/2020,Florida COVID-19 Data 05-07-2020.txt,,,,63,5
Alachua,,8,7688,306,4%,8002,5/8/2020,Florida COVID-19 Data 05-08-2020.txt,,,,138,6
Alachua,,8,7897,308,4%,8213,5/9/2020,Florida COVID-19 Data 05-09-2020.txt,,,,209,2
Alachua,,8,8124,312,4%,8444,5/10/2020,Florida COVID-19 Data 05-10-2020.txt,,,,227,4
Alachua,,7,8753,320,4%,9080,5/11/2020,Florida COVID-19 Data 05-11-2020.txt,,,,629,8
Alachua,,7,9159,324,3%,9490,5/12/2020,Florida COVID-19 Data 05-12-2020.txt,,,,406,4
Alachua,,7,9427,326,3%,9760,5/13/2020,Florida COVID-19 Data 05-13-2020.txt,,,,268,2
Alachua,,7,9630,330,3%,9967,5/14/2020,Florida COVID-19 Data 05-14-2020.txt,,,,203,4
Alachua,,7,9708,330,3%,10045,5/15/2020,Florida COVID-19 Data 05-15-2020.txt,,,,78,0
Alachua,,7,9874,329,3%,10210,5/16/2020,Florida COVID-19 Data 05-16-2020.txt,,,,166,-1
Alachua,,14,10417,332,3%,10763,5/17/2020,Florida COVID-19 Data 05-17-2020.txt,,,,543,3
Alachua,,14,10798,337,3%,11149,5/18/2020,Florida COVID-19 Data 05-18-2020.txt,,,,381,5
Alachua,,14,11276,339,3%,11629,5/19/2020,Florida COVID-19 Data 05-19-2020.txt,,,,478,2
Alachua,,14,12506,344,3%,12864,5/20/2020,Florida COVID-19 Data 05-20-2020.txt,,,,1230,5
Alachua,,14,13373,354,3%,13741,5/21/2020,Florida COVID-19 Data 05-21-2020.txt,,,,867,10
Alachua,,14,14019,355,2%,14388,5/23/2020,Florida COVID-19 Data 05-23-2020.txt,,,,646,1
Alachua,,15,14774,361,2%,15150,5/24/2020,Florida COVID-19 Data 05-24-2020.txt,,,,755,6
Alachua,,15,15068,365,2%,15448,5/25/2020,Florida COVID-19 Data 05-25-2020.txt,,,,294,4
Alachua,,15,15548,370,2%,15933,5/26/2020,Florida COVID-19 Data 05-26-2020.txt,,,,480,5
Alachua,,15,15708,370,2%,16093,5/27/2020,Florida COVID-19 Data 05-27-2020.txt,,,,160,0
Alachua,,15,16687,372,2%,17074,5/28/2020,Florida COVID-19 Data 05-28-2020.txt,,,,979,2
Alachua,,8,17644,378,2%,18030,5/29/2020,Florida COVID-19 Data 05-29-2020.txt,,,,957,6
Alachua,,8,18056,379,2%,18443,5/30/2020,Florida COVID-19 Data 05-30-2020.txt,,,,412,1
Alachua,,8,19505,380,2%,19893,5/31/2020,Florida COVID-19 Data 05-31-2020.txt,,,,1449,1
Alachua,,7,19712,382,2%,20101,6/1/2020,Florida COVID-19 Data 06-01-2020.txt,,,,207,2
Baker,,,1,0,0%,,3/16/2020,Florida COVID-19 Data 03-16-2020.txt,,3,2,,
Baker,,,6,0,0%,6,3/20/2020,Florida COVID-19 Data 03-20-2020.txt,2,,,5,0
Baker,,0,9,1,10%,10,3/21/2020,Florida COVID-19 Data 03-21-2020.txt,4,,,3,1
Baker,,0,9,2,18%,11,3/22/2020,Florida COVID-19 Data 03-22-2020.txt,6,,,0,1
Baker,,0,13,3,19%,16,3/23/2020,Florida COVID-19 Data 03-23-2020.txt,2,,,4,1
Baker,,,16,4,20%,20,3/24/2020,Florida COVID-19 Data 03-24-2020.txt,1,,,3,1
Baker,,0,28,5,15%,33,3/25/2020,Florida COVID-19 Data 03-25-2020.txt,8,,,12,1
Baker,,0,33,5,13%,38,3/26/2020,Florida COVID-19 Data 03-26-2020.txt,7,,,5,0
Baker,3,0,39,7,15%,46,3/27/2020,Florida COVID-19 Data 03-27-2020.txt,,,,6,2
Baker,1,0,44,7,14%,51,3/28/2020,Florida COVID-19 Data 03-28-2020.txt,,,,5,0
Baker,1,0,54,8,13%,62,3/29/2020,Florida COVID-19 Data 03-29-2020.txt,,,,10,1
Baker,1,0,58,8,12%,66,3/30/2020,Florida COVID-19 Data 03-30-2020.txt,,,,4,0
Baker,1,0,65,9,12%,74,3/31/2020,Florida COVID-19 Data 03-31-2020.txt,,,,7,1
Baker,1,0,71,9,11%,80,4/1/2020,Florida COVID-19 Data 04-01-2020.txt,,,,6,0
Baker,1,0,82,11,12%,93,4/2/2020,Florida COVID-19 Data 04-02-2020.txt,,,,11,2
Baker,1,0,97,11,10%,108,4/3/2020,Florida COVID-19 Data 04-03-2020.txt,,,,15,0
Baker,1,0,116,11,9%,127,4/4/2020,Florida COVID-19 Data 04-04-2020.txt,,,,19,0
Baker,1,0,125,12,9%,137,4/5/2020,Florida COVID-19 Data 04-05-2020.txt,,,,9,1
Baker,1,0,136,13,9%,149,4/6/2020,Florida COVID-19 Data 04-06-2020.txt,,,,11,1
Baker,2,0,142,15,10%,157,4/7/2020,Florida COVID-19 Data 04-07-2020.txt,,,,6,2
Baker,0,0,171,16,9%,187,4/9/2020,Florida COVID-19 Data 04-09-2020.txt,,,,29,1
Baker,0,0,184,16,8%,200,4/10/2020,Florida COVID-19 Data 04-10-2020.txt,,,,13,0
Baker,,,199,17,8%,216,4/11/2020,Florida COVID-19 Data 04-11-2020.txt,,,,15,1
Baker,,,204,17,8%,221,4/12/2020,Florida COVID-19 Data 04-12-2020.txt,,,,5,0
Baker,,,218,17,7%,235,4/13/2020,Florida COVID-19 Data 04-13-2020.txt,,,,14,0
Baker,,,220,17,7%,237,4/14/2020,Florida COVID-19 Data 04-14-2020.txt,,,,2,0
Baker,,,225,17,7%,242,4/15/2020,Florida COVID-19 Data 04-15-2020.txt,,,,5,0
Baker,,,229,17,7%,246,4/16/2020,Florida COVID-19 Data 04-16-2020.txt,,,,4,0
Baker,,,236,17,7%,253,4/17/2020,Florida COVID-19 Data 04-17-2020.txt,,,,7,0
Baker,,,241,17,7%,258,4/18/2020,Florida COVID-19 Data 04-18-2020.txt,,,,5,0
Baker,,,255,17,6%,272,4/19/2020,Florida COVID-19 Data 04-19-2020.txt,,,,14,0
Baker,,,276,17,6%,293,4/20/2020,Florida COVID-19 Data 04-20-2020.txt,,,,21,0
Baker,,,277,17,6%,294,4/21/2020,Florida COVID-19 Data 04-21-2020.txt,,,,1,0
Baker,,,292,17,6%,309,4/22/2020,Florida COVID-19 Data 04-22-2020.txt,,,,15,0
Baker,,,295,18,6%,313,4/23/2020,Florida COVID-19 Data 04-23-2020.txt,,,,3,1
Baker,,,305,19,6%,324,4/24/2020,Florida COVID-19 Data 04-24-2020.txt,,,,10,1
Baker,,,321,20,6%,341,4/25/2020,Florida COVID-19 Data 04-25-2020.txt,,,,16,1
Baker,,,335,20,6%,355,4/26/2020,Florida COVID-19 Data 04-26-2020.txt,,,,14,0
Baker,,,341,20,6%,361,4/27/2020,Florida COVID-19 Data 04-27-2020.txt,,,,6,0
Baker,,,346,20,5%,366,4/28/2020,Florida COVID-19 Data 04-28-2020.txt,,,,5,0
Baker,,,350,20,5%,370,4/29/2020,Florida COVID-19 Data 04-29-2020.txt,,,,4,0
Baker,,,363,20,5%,383,4/30/2020,Florida COVID-19 Data 04-30-2020.txt,,,,13,0
Baker,,,381,22,5%,403,5/1/2020,Florida COVID-19 Data 05-01-2020.txt,,,,18,2
Baker,,,384,22,5%,406,5/2/2020,Florida COVID-19 Data 05-02-2020.txt,,,,3,0
Baker,,,398,22,5%,420,5/3/2020,Florida COVID-19 Data 05-03-2020.txt,,,,14,0
Baker,,,402,22,5%,424,5/4/2020,Florida COVID-19 Data 05-04-2020.txt,,,,4,0
Baker,,,410,22,5%,432,5/5/2020,Florida COVID-19 Data 05-05-2020.txt,,,,8,0
Baker,,,419,22,5%,441,5/6/2020,Florida COVID-19 Data 05-06-2020.txt,,,,9,0
Baker,,,433,22,5%,455,5/7/2020,Florida COVID-19 Data 05-07-2020.txt,,,,14,0
Baker,,,465,24,5%,489,5/8/2020,Florida COVID-19 Data 05-08-2020.txt,,,,32,2
Baker,,,488,24,5%,512,5/9/2020,Florida COVID-19 Data 05-09-2020.txt,,,,23,0
Baker,,,493,25,5%,518,5/10/2020,Florida COVID-19 Data 05-10-2020.txt,,,,5,1
Baker,,,522,25,5%,547,5/11/2020,Florida COVID-19 Data 05-11-2020.txt,,,,29,0
Baker,,,559,25,4%,584,5/12/2020,Florida COVID-19 Data 05-12-2020.txt,,,,37,0
Baker,,,561,26,4%,587,5/13/2020,Florida COVID-19 Data 05-13-2020.txt,,,,2,1
Baker,,,573,26,4%,599,5/14/2020,Florida COVID-19 Data 05-14-2020.txt,,,,12,0
Baker,,,581,26,4%,607,5/15/2020,Florida COVID-19 Data 05-15-2020.txt,,,,8,0
Baker,,,591,26,4%,617,5/16/2020,Florida COVID-19 Data 05-16-2020.txt,,,,10,0
Baker,,,605,26,4%,631,5/17/2020,Florida COVID-19 Data 05-17-2020.txt,,,,14,0
Baker,,,627,26,4%,653,5/18/2020,Florida COVID-19 Data 05-18-2020.txt,,,,22,0
Baker,,,665,26,4%,691,5/19/2020,Florida COVID-19 Data 05-19-2020.txt,,,,38,0
Baker,,,722,26,3%,748,5/20/2020,Florida COVID-19 Data 05-20-2020.txt,,,,57,0
Baker,,,827,26,3%,853,5/21/2020,Florida COVID-19 Data 05-21-2020.txt,,,,105,0
Baker,,,836,27,3%,863,5/23/2020,Florida COVID-19 Data 05-23-2020.txt,,,,9,1
Baker,,,853,27,3%,880,5/24/2020,Florida COVID-19 Data 05-24-2020.txt,,,,17,0
Baker,,,885,27,3%,912,5/25/2020,Florida COVID-19 Data 05-25-2020.txt,,,,32,0
Baker,,,895,27,3%,922,5/26/2020,Florida COVID-19 Data 05-26-2020.txt,,,,10,0
Baker,,,909,29,3%,938,5/27/2020,Florida COVID-19 Data 05-27-2020.txt,,,,14,2
Baker,,,926,28,3%,954,5/28/2020,Florida COVID-19 Data 05-28-2020.txt,,,,17,-1
Baker,,,942,28,3%,970,5/29/2020,Florida COVID-19 Data 05-29-2020.txt,,,,16,0
Baker,,,948,29,3%,977,5/30/2020,Florida COVID-19 Data 05-30-2020.txt,,,,6,1
Baker,,,978,29,3%,1007,5/31/2020,Florida COVID-19 Data 05-31-2020.txt,,,,30,0
Baker,,,1004,29,3%,1033,6/1/2020,Florida COVID-19 Data 06-01-2020.txt,,,,26,0
Bay,,,3,0,0%,,3/16/2020,Florida COVID-19 Data 03-16-2020.txt,,4,1,,
Bay,,,15,0,0%,15,3/20/2020,Florida COVID-19 Data 03-20-2020.txt,4,,,12,0
Bay,,0,18,1,5%,19,3/21/2020,Florida COVID-19 Data 03-21-2020.txt,5,,,3,1
Bay,,0,22,1,4%,23,3/22/2020,Florida COVID-19 Data 03-22-2020.txt,3,,,4,0
Bay,,0,33,1,3%,34,3/23/2020,Florida COVID-19 Data 03-23-2020.txt,2,,,11,0
Bay,,,37,1,3%,38,3/24/2020,Florida COVID-19 Data 03-24-2020.txt,3,,,4,0
Bay,,0,51,3,6%,54,3/25/2020,Florida COVID-19 Data 03-25-2020.txt,3,,,14,2
Bay,,0,62,3,5%,65,3/26/2020,Florida COVID-19 Data 03-26-2020.txt,4,,,11,0
Bay,3,0,70,4,5%,74,3/27/2020,Florida COVID-19 Data 03-27-2020.txt,,,,8,1
Bay,1,0,85,5,6%,90,3/28/2020,Florida COVID-19 Data 03-28-2020.txt,,,,15,1
Bay,1,0,97,6,6%,103,3/29/2020,Florida COVID-19 Data 03-29-2020.txt,,,,12,1
Bay,3,0,113,6,5%,119,3/30/2020,Florida COVID-19 Data 03-30-2020.txt,,,,16,0
Bay,3,0,132,8,6%,140,3/31/2020,Florida COVID-19 Data 03-31-2020.txt,,,,19,2
Bay,3,0,138,10,7%,148,4/1/2020,Florida COVID-19 Data 04-01-2020.txt,,,,6,2
Bay,2,0,172,15,8%,187,4/2/2020,Florida COVID-19 Data 04-02-2020.txt,,,,34,5
Bay,2,0,203,18,8%,221,4/3/2020,Florida COVID-19 Data 04-03-2020.txt,,,,31,3
Bay,2,0,246,23,9%,269,4/4/2020,Florida COVID-19 Data 04-04-2020.txt,,,,43,5
Bay,2,0,276,24,8%,300,4/5/2020,Florida COVID-19 Data 04-05-2020.txt,,,,30,1
Bay,1,0,288,24,8%,312,4/6/2020,Florida COVID-19 Data 04-06-2020.txt,,,,12,0
Bay,0,0,316,25,7%,341,4/7/2020,Florida COVID-19 Data 04-07-2020.txt,,,,28,1
Bay,1,0,363,34,9%,397,4/9/2020,Florida COVID-19 Data 04-09-2020.txt,,,,47,9
Bay,0,0,409,36,8%,445,4/10/2020,Florida COVID-19 Data 04-10-2020.txt,,,,46,2
Bay,,,476,36,7%,512,4/11/2020,Florida COVID-19 Data 04-11-2020.txt,,,,67,0
Bay,,,501,37,7%,538,4/12/2020,Florida COVID-19 Data 04-12-2020.txt,,,,25,1
Bay,,,572,38,6%,610,4/13/2020,Florida COVID-19 Data 04-13-2020.txt,,,,71,1
Bay,,,586,38,6%,624,4/14/2020,Florida COVID-19 Data 04-14-2020.txt,,,,14,0
Bay,,1,597,39,6%,637,4/15/2020,Florida COVID-19 Data 04-15-2020.txt,,,,11,1
Bay,,1,626,39,6%,666,4/16/2020,Florida COVID-19 Data 04-16-2020.txt,,,,29,0
Bay,,1,671,43,6%,715,4/17/2020,Florida COVID-19 Data 04-17-2020.txt,,,,45,4
Bay,,1,704,45,6%,750,4/18/2020,Florida COVID-19 Data 04-18-2020.txt,,,,33,2
Bay,,1,776,55,7%,832,4/19/2020,Florida COVID-19 Data 04-19-2020.txt,,,,72,10
Bay,,1,808,57,7%,866,4/20/2020,Florida COVID-19 Data 04-20-2020.txt,,,,32,2
Bay,,1,846,58,6%,905,4/21/2020,Florida COVID-19 Data 04-21-2020.txt,,,,38,1
Bay,,1,883,60,6%,944,4/22/2020,Florida COVID-19 Data 04-22-2020.txt,,,,37,2
Bay,,1,907,60,6%,968,4/23/2020,Florida COVID-19 Data 04-23-2020.txt,,,,24,0
Bay,,1,955,60,6%,1016,4/24/2020,Florida COVID-19 Data 04-24-2020.txt,,,,48,0
Bay,,1,1040,63,6%,1104,4/25/2020,Florida COVID-19 Data 04-25-2020.txt,,,,85,3
Bay,,2,1169,65,5%,1236,4/26/2020,Florida COVID-19 Data 04-26-2020.txt,,,,129,2
Bay,,2,1190,68,5%,1260,4/27/2020,Florida COVID-19 Data 04-27-2020.txt,,,,21,3
Bay,,2,1362,70,5%,1434,4/28/2020,Florida COVID-19 Data 04-28-2020.txt,,,,172,2
Bay,,2,1394,70,5%,1466,4/29/2020,Florida COVID-19 Data 04-29-2020.txt,,,,32,0
Bay,,2,1474,72,5%,1548,4/30/2020,Florida COVID-19 Data 04-30-2020.txt,,,,80,2
Bay,,2,1533,72,4%,1607,5/1/2020,Florida COVID-19 Data 05-01-2020.txt,,,,59,0
Bay,,2,1578,75,5%,1655,5/2/2020,Florida COVID-19 Data 05-02-2020.txt,,,,45,3
Bay,,2,1618,76,4%,1696,5/3/2020,Florida COVID-19 Data 05-03-2020.txt,,,,40,1
Bay,,2,1639,76,4%,1717,5/5/2020,Florida COVID-19 Data 05-05-2020.txt,,,,21,0
Bay,,2,1653,76,4%,1731,5/6/2020,Florida COVID-19 Data 05-06-2020.txt,,,,14,0
Bay,,2,1691,76,4%,1769,5/7/2020,Florida COVID-19 Data 05-07-2020.txt,,,,38,0
Bay,,2,1723,76,4%,1801,5/8/2020,Florida COVID-19 Data 05-08-2020.txt,,,,32,0
Bay,,2,1769,76,4%,1847,5/9/2020,Florida COVID-19 Data 05-09-2020.txt,,,,46,0
Bay,,2,1790,76,4%,1868,5/10/2020,Florida COVID-19 Data 05-10-2020.txt,,,,21,0
Bay,,2,1840,76,4%,1918,5/11/2020,Florida COVID-19 Data 05-11-2020.txt,,,,50,0
Bay,,2,1865,77,4%,1944,5/12/2020,Florida COVID-19 Data 05-12-2020.txt,,,,25,1
Bay,,2,1873,77,4%,1952,5/13/2020,Florida COVID-19 Data 05-13-2020.txt,,,,8,0
Bay,,2,1901,78,4%,1981,5/14/2020,Florida COVID-19 Data 05-14-2020.txt,,,,28,1
Bay,,2,1914,80,4%,1996,5/15/2020,Florida COVID-19 Data 05-15-2020.txt,,,,13,2
Bay,,2,1956,83,4%,2041,5/16/2020,Florida COVID-19 Data 05-16-2020.txt,,,,42,3
Bay,,3,2000,84,4%,2087,5/17/2020,Florida COVID-19 Data 05-17-2020.txt,,,,44,1
Bay,,3,2190,85,4%,2278,5/18/2020,Florida COVID-19 Data 05-18-2020.txt,,,,190,1
Bay,,3,2380,86,3%,2469,5/19/2020,Florida COVID-19 Data 05-19-2020.txt,,,,190,1
Bay,,3,2773,86,3%,2862,5/20/2020,Florida COVID-19 Data 05-20-2020.txt,,,,393,0
Bay,,3,3236,92,3%,3331,5/21/2020,Florida COVID-19 Data 05-21-2020.txt,,,,463,6
Bay,,3,3412,94,3%,3509,5/23/2020,Florida COVID-19 Data 05-23-2020.txt,,,,176,2
Bay,,3,3495,95,3%,3593,5/24/2020,Florida COVID-19 Data 05-24-2020.txt,,,,83,1
Bay,,3,3565,97,3%,3665,5/25/2020,Florida COVID-19 Data 05-25-2020.txt,,,,70,2
Bay,,3,3580,97,3%,3680,5/26/2020,Florida COVID-19 Data 05-26-2020.txt,,,,15,0
Bay,,3,3608,97,3%,3708,5/27/2020,Florida COVID-19 Data 05-27-2020.txt,,,,28,0
Bay,,3,3658,97,3%,3758,5/28/2020,Florida COVID-19 Data 05-28-2020.txt,,,,50,0
Bay,,2,3699,98,3%,3799,5/29/2020,Florida COVID-19 Data 05-29-2020.txt,,,,41,1
Bay,,2,3733,97,3%,3832,5/30/2020,Florida COVID-19 Data 05-30-2020.txt,,,,34,-1
Bay,,2,3798,98,3%,3898,5/31/2020,Florida COVID-19 Data 05-31-2020.txt,,,,65,1
Bay,,2,3826,100,3%,3928,6/1/2020,Florida COVID-19 Data 06-01-2020.txt,,,,28,2
Bradford,,,2,0,0%,,3/16/2020,Florida COVID-19 Data 03-16-2020.txt,,3,1,,
Bradford,,,5,0,0%,5,3/20/2020,Florida COVID-19 Data 03-20-2020.txt,1,,,3,0
Bradford,,0,9,0,0%,9,3/21/2020,Florida COVID-19 Data 03-21-2020.txt,1,,,4,0
Bradford,,0,13,1,7%,14,3/22/2020,Florida COVID-19 Data 03-22-2020.txt,0,,,4,1
Bradford,,0,16,1,6%,17,3/23/2020,Florida COVID-19 Data 03-23-2020.txt,2,,,3,0
Bradford,,,19,1,5%,20,3/24/2020,Florida COVID-19 Data 03-24-2020.txt,10,,,3,0
Bradford,,0,32,1,3%,33,3/25/2020,Florida COVID-19 Data 03-25-2020.txt,3,,,13,0
Bradford,,0,36,1,3%,37,3/26/2020,Florida COVID-19 Data 03-26-2020.txt,1,,,4,0
Bradford,1,0,40,1,2%,41,3/27/2020,Florida COVID-19 Data 03-27-2020.txt,,,,4,0
Bradford,0,0,52,1,2%,53,3/28/2020,Florida COVID-19 Data 03-28-2020.txt,,,,12,0
Bradford,0,0,57,2,3%,59,3/29/2020,Florida COVID-19 Data 03-29-2020.txt,,,,5,1
Bradford,1,0,61,2,3%,63,3/30/2020,Florida COVID-19 Data 03-30-2020.txt,,,,4,0
Bradford,1,0,67,2,3%,69,3/31/2020,Florida COVID-19 Data 03-31-2020.txt,,,,6,0
Bradford,0,0,75,3,4%,78,4/1/2020,Florida COVID-19 Data 04-01-2020.txt,,,,8,1
Bradford,0,0,82,5,6%,87,4/2/2020,Florida COVID-19 Data 04-02-2020.txt,,,,7,2
Bradford,3,0,104,5,5%,109,4/3/2020,Florida COVID-19 Data 04-03-2020.txt,,,,22,0
Bradford,4,0,117,6,5%,123,4/4/2020,Florida COVID-19 Data 04-04-2020.txt,,,,13,1
Bradford,3,0,134,7,5%,141,4/5/2020,Florida COVID-19 Data 04-05-2020.txt,,,,17,1
Bradford,9,0,147,9,6%,156,4/6/2020,Florida COVID-19 Data 04-06-2020.txt,,,,13,2
Bradford,15,0,167,11,6%,178,4/7/2020,Florida COVID-19 Data 04-07-2020.txt,,,,20,2
Bradford,16,0,197,20,9%,217,4/9/2020,Florida COVID-19 Data 04-09-2020.txt,,,,30,9
Bradford,8,0,226,22,9%,248,4/10/2020,Florida COVID-19 Data 04-10-2020.txt,,,,29,2
Bradford,10,,241,24,9%,265,4/11/2020,Florida COVID-19 Data 04-11-2020.txt,,,,15,2
Bradford,10,,251,29,10%,280,4/12/2020,Florida COVID-19 Data 04-12-2020.txt,,,,10,5
Bradford,14,,263,30,10%,293,4/13/2020,Florida COVID-19 Data 04-13-2020.txt,,,,12,1
Bradford,16,,266,30,10%,296,4/14/2020,Florida COVID-19 Data 04-14-2020.txt,,,,3,0
Bradford,5,,288,35,11%,323,4/15/2020,Florida COVID-19 Data 04-15-2020.txt,,,,22,5
Bradford,9,,296,37,11%,333,4/16/2020,Florida COVID-19 Data 04-16-2020.txt,,,,8,2
Bradford,5,,319,39,11%,358,4/17/2020,Florida COVID-19 Data 04-17-2020.txt,,,,23,2
Bradford,2,,422,40,9%,462,4/18/2020,Florida COVID-19 Data 04-18-2020.txt,,,,103,1
Bradford,2,,550,42,7%,592,4/19/2020,Florida COVID-19 Data 04-19-2020.txt,,,,128,2
Bradford,1,,561,42,7%,603,4/20/2020,Florida COVID-19 Data 04-20-2020.txt,,,,11,0
Bradford,3,,571,42,7%,613,4/21/2020,Florida COVID-19 Data 04-21-2020.txt,,,,10,0
Bradford,2,,582,42,7%,624,4/22/2020,Florida COVID-19 Data 04-22-2020.txt,,,,11,0
Bradford,1,,587,42,7%,629,4/23/2020,Florida COVID-19 Data 04-23-2020.txt,,,,5,0
Bradford,1,,636,42,6%,678,4/24/2020,Florida COVID-19 Data 04-24-2020.txt,,,,49,0
Bradford,3,,657,42,6%,699,4/25/2020,Florida COVID-19 Data 04-25-2020.txt,,,,21,0
Bradford,1,,672,43,6%,715,4/26/2020,Florida COVID-19 Data 04-26-2020.txt,,,,15,1
Bradford,1,,678,44,6%,722,4/27/2020,Florida COVID-19 Data 04-27-2020.txt,,,,6,1
Bradford,2,,691,44,6%,735,4/28/2020,Florida COVID-19 Data 04-28-2020.txt,,,,13,0
Bradford,2,,703,46,6%,749,4/29/2020,Florida COVID-19 Data 04-29-2020.txt,,,,12,2
Bradford,2,,717,46,6%,763,4/30/2020,Florida COVID-19 Data 04-30-2020.txt,,,,14,0
Bradford,1,,739,47,6%,786,5/1/2020,Florida COVID-19 Data 05-01-2020.txt,,,,22,1
