COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,191,69,25131,5745,19,30945,html version of FL COVID Rep 04-09-2020
Broward,61,18,18260,2454,12,20732,html version of FL COVID Rep 04-09-2020
Palm Beach,124,2,5713,1260,18,6975,html version of FL COVID Rep 04-09-2020
Orange,21,0,8458,857,9,9315,html version of FL COVID Rep 04-09-2020
Hillsborough,10,5,9434,644,6,10083,html version of FL COVID Rep 04-09-2020
Duval,87,11,9905,589,6,10505,html version of FL COVID Rep 04-09-2020
Lee,19,2,4380,496,10,4878,html version of FL COVID Rep 04-09-2020
Pinellas,59,6,7297,413,5,7716,html version of FL COVID Rep 04-09-2020
Osceola,67,1,1794,295,14,2090,html version of FL COVID Rep 04-09-2020
Collier,17,0,2472,292,11,2764,html version of FL COVID Rep 04-09-2020
Seminole,13,1,2361,228,9,2590,html version of FL COVID Rep 04-09-2020
Polk,17,1,3159,212,6,3372,html version of FL COVID Rep 04-09-2020
Sarasota,6,1,1509,190,11,1700,html version of FL COVID Rep 04-09-2020
Escambia,1,1,2591,184,7,2776,html version of FL COVID Rep 04-09-2020
Volusia,5,1,1800,179,9,1980,html version of FL COVID Rep 04-09-2020
Manatee,1,0,1052,175,14,1227,html version of FL COVID Rep 04-09-2020
St. Johns,24,1,2657,162,6,2820,html version of FL COVID Rep 04-09-2020
Alachua,6,8,3020,150,5,3178,html version of FL COVID Rep 04-09-2020
Lake,10,0,2221,139,6,2360,html version of FL COVID Rep 04-09-2020
St. Lucie,36,0,1448,132,8,1580,html version of FL COVID Rep 04-09-2020
Pasco,23,2,2827,128,4,2957,html version of FL COVID Rep 04-09-2020
Martin,5,0,867,109,11,976,html version of FL COVID Rep 04-09-2020
Brevard,2,7,1907,106,5,2020,html version of FL COVID Rep 04-09-2020
Clay,4,1,1525,103,6,1629,html version of FL COVID Rep 04-09-2020
Sumter,14,1,928,98,10,1027,html version of FL COVID Rep 04-09-2020
Okaloosa,41,0,657,80,11,737,html version of FL COVID Rep 04-09-2020
Charlotte,7,1,739,79,10,819,html version of FL COVID Rep 04-09-2020
Leon,10,2,1404,74,5,1480,html version of FL COVID Rep 04-09-2020
Marion,314,2,1283,72,5,1357,html version of FL COVID Rep 04-09-2020
Santa Rosa,0,0,1082,71,6,1153,html version of FL COVID Rep 04-09-2020
Indian River,23,0,772,68,8,840,html version of FL COVID Rep 04-09-2020
Hernando,1,2,790,58,7,850,html version of FL COVID Rep 04-09-2020
Citrus,5,0,707,57,7,764,html version of FL COVID Rep 04-09-2020
Suwannee,0,0,202,54,21,256,html version of FL COVID Rep 04-09-2020
Monroe,101,0,501,52,9,553,html version of FL COVID Rep 04-09-2020
Highlands,2,2,295,45,13,342,html version of FL COVID Rep 04-09-2020
Flagler,0,1,494,37,7,532,html version of FL COVID Rep 04-09-2020
Bay,1,0,353,30,8,383,html version of FL COVID Rep 04-09-2020
Nassau,0,0,529,30,5,559,html version of FL COVID Rep 04-09-2020
Walton,0,0,232,26,10,258,html version of FL COVID Rep 04-09-2020
Putnam,6,0,640,25,4,665,html version of FL COVID Rep 04-09-2020
Bradford,12,0,195,20,9,215,html version of FL COVID Rep 04-09-2020
Desoto,2,0,214,19,8,233,html version of FL COVID Rep 04-09-2020
Columbia,10,0,320,17,5,337,html version of FL COVID Rep 04-09-2020
Baker,0,0,167,16,9,183,html version of FL COVID Rep 04-09-2020
Madison,1,0,61,12,16,73,html version of FL COVID Rep 04-09-2020
Hendry,0,1,150,11,7,162,html version of FL COVID Rep 04-09-2020
Gadsden,1,0,112,10,8,122,html version of FL COVID Rep 04-09-2020
Jefferson,1,0,44,8,15,52,html version of FL COVID Rep 04-09-2020
Wakulla,0,0,141,7,5,148,html version of FL COVID Rep 04-09-2020
Levy,2,0,206,6,3,212,html version of FL COVID Rep 04-09-2020
Jackson,0,0,156,5,3,161,html version of FL COVID Rep 04-09-2020
Okeechobee,2,0,153,5,3,158,html version of FL COVID Rep 04-09-2020
Calhoun,0,0,41,4,9,45,html version of FL COVID Rep 04-09-2020
Glades,0,0,16,4,20,20,html version of FL COVID Rep 04-09-2020
Gilchrist,0,0,86,3,3,89,html version of FL COVID Rep 04-09-2020
Hardee,0,0,49,3,6,52,html version of FL COVID Rep 04-09-2020
Washington,2,0,83,3,3,86,html version of FL COVID Rep 04-09-2020
Franklin,0,0,47,2,4,49,html version of FL COVID Rep 04-09-2020
Holmes,8,0,66,2,3,68,html version of FL COVID Rep 04-09-2020
Union,2,0,91,2,2,93,html version of FL COVID Rep 04-09-2020
Unknown,17,0,64,2,3,66,html version of FL COVID Rep 04-09-2020
Dixie,0,0,86,1,1,87,html version of FL COVID Rep 04-09-2020
Gulf,0,0,61,1,2,62,html version of FL COVID Rep 04-09-2020
Hamilton,1,0,53,1,2,54,html version of FL COVID Rep 04-09-2020
Lafayette,0,0,32,1,3,33,html version of FL COVID Rep 04-09-2020
Taylor,0,0,78,1,1,79,html version of FL COVID Rep 04-09-2020
Liberty,0,0,17,0,0,17,html version of FL COVID Rep 04-09-2020
Total,1395,150,136185,16364,11,152699,html version of FL COVID Rep 04-09-2020
