COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,69,200,188180,19756,9,208136,html version of FL COVID Rep 06-08-2020
Broward,24,64,118890,7924,6,126878,html version of FL COVID Rep 06-08-2020
Palm Beach,135,235,85219,7329,8,92783,html version of FL COVID Rep 06-08-2020
Hillsborough,31,83,70814,2861,4,73758,html version of FL COVID Rep 06-08-2020
Orange,13,53,81906,2378,3,84337,html version of FL COVID Rep 06-08-2020
Lee,24,6,33209,2315,7,35530,html version of FL COVID Rep 06-08-2020
Collier,15,8,18849,2070,10,20927,html version of FL COVID Rep 06-08-2020
Duval,23,46,63946,1806,3,65798,html version of FL COVID Rep 06-08-2020
Pinellas,140,17,50595,1638,3,52250,html version of FL COVID Rep 06-08-2020
Manatee,,9,22669,1219,5,23897,html version of FL COVID Rep 06-08-2020
Polk,10,10,25036,1206,5,26252,html version of FL COVID Rep 06-08-2020
Martin,8,7,10125,917,8,11049,html version of FL COVID Rep 06-08-2020
Escambia,1,6,22151,891,4,23048,html version of FL COVID Rep 06-08-2020
Volusia,1,20,24677,829,3,25526,html version of FL COVID Rep 06-08-2020
Osceola,44,15,15566,749,5,16330,html version of FL COVID Rep 06-08-2020
Sarasota,1,5,22090,686,3,22781,html version of FL COVID Rep 06-08-2020
St. Lucie,81,7,13892,654,4,14553,html version of FL COVID Rep 06-08-2020
Hendry,3,,2772,565,17,3337,html version of FL COVID Rep 06-08-2020
Seminole,3,13,22536,542,2,23091,html version of FL COVID Rep 06-08-2020
Charlotte,4,1,7186,500,7,7687,html version of FL COVID Rep 06-08-2020
Brevard,2,2,26464,464,2,26930,html version of FL COVID Rep 06-08-2020
Leon,12,5,18160,443,2,18608,html version of FL COVID Rep 06-08-2020
Pasco,17,11,19663,434,2,20108,html version of FL COVID Rep 06-08-2020
Clay,,5,11093,405,4,11503,html version of FL COVID Rep 06-08-2020
Alachua,,7,25962,399,2,26368,html version of FL COVID Rep 06-08-2020
Lake,10,12,20330,337,2,20679,html version of FL COVID Rep 06-08-2020
Jackson,1,8,3808,309,7,4125,html version of FL COVID Rep 06-08-2020
Gadsden,,7,4430,294,6,4731,html version of FL COVID Rep 06-08-2020
Desoto,9,1,2721,284,9,3006,html version of FL COVID Rep 06-08-2020
St. Johns,6,21,12909,282,2,13212,html version of FL COVID Rep 06-08-2020
Marion,198,5,16692,281,2,16978,html version of FL COVID Rep 06-08-2020
Okaloosa,,6,9037,271,3,9314,html version of FL COVID Rep 06-08-2020
Hamilton,,1,2040,262,11,2303,html version of FL COVID Rep 06-08-2020
Sumter,23,5,4909,261,5,5175,html version of FL COVID Rep 06-08-2020
Santa Rosa,1,3,9337,258,3,9598,html version of FL COVID Rep 06-08-2020
Liberty,,2,2057,218,10,2277,html version of FL COVID Rep 06-08-2020
Flagler,,5,5923,195,3,6123,html version of FL COVID Rep 06-08-2020
Suwannee,,2,2457,175,7,2634,html version of FL COVID Rep 06-08-2020
Putnam,2,2,4091,174,4,4267,html version of FL COVID Rep 06-08-2020
Columbia,4,6,4188,171,4,4365,html version of FL COVID Rep 06-08-2020
Indian River,34,,7483,167,2,7650,html version of FL COVID Rep 06-08-2020
Hardee,,1,1134,151,12,1286,html version of FL COVID Rep 06-08-2020
Highlands,3,3,5081,150,3,5234,html version of FL COVID Rep 06-08-2020
Okeechobee,,,1981,138,7,2119,html version of FL COVID Rep 06-08-2020
Bay,3,2,4458,132,3,4592,html version of FL COVID Rep 06-08-2020
Walton,,4,2126,131,6,2261,html version of FL COVID Rep 06-08-2020
Citrus,1,3,6139,128,2,6270,html version of FL COVID Rep 06-08-2020
Hernando,,1,5980,126,2,6107,html version of FL COVID Rep 06-08-2020
Monroe,59,,3652,114,3,3766,html version of FL COVID Rep 06-08-2020
Unknown,1,15,1513,93,6,1621,html version of FL COVID Rep 06-08-2020
Glades,,,285,85,23,370,html version of FL COVID Rep 06-08-2020
Washington,5,1,1278,84,6,1363,html version of FL COVID Rep 06-08-2020
Nassau,,1,4409,82,2,4492,html version of FL COVID Rep 06-08-2020
Levy,,1,2223,73,3,2297,html version of FL COVID Rep 06-08-2020
Madison,,2,1199,71,6,1272,html version of FL COVID Rep 06-08-2020
Calhoun,,2,612,66,10,680,html version of FL COVID Rep 06-08-2020
Dixie,,,1047,60,5,1107,html version of FL COVID Rep 06-08-2020
Bradford,1,1,1813,52,3,1866,html version of FL COVID Rep 06-08-2020
Taylor,,1,1075,48,4,1124,html version of FL COVID Rep 06-08-2020
Union,,,1902,38,2,1940,html version of FL COVID Rep 06-08-2020
Wakulla,1,,1598,35,2,1633,html version of FL COVID Rep 06-08-2020
Jefferson,,1,815,31,4,847,html version of FL COVID Rep 06-08-2020
Holmes,,1,960,30,3,991,html version of FL COVID Rep 06-08-2020
Baker,,,1133,29,2,1162,html version of FL COVID Rep 06-08-2020
Gilchrist,,2,1138,19,2,1159,html version of FL COVID Rep 06-08-2020
Lafayette,,,390,10,3,400,html version of FL COVID Rep 06-08-2020
Gulf,1,,968,7,1,975,html version of FL COVID Rep 06-08-2020
Franklin,,,675,2,0,677,html version of FL COVID Rep 06-08-2020
Total,1024,963,1169646,64904,5,1235513,html version of FL COVID Rep 06-08-2020
