COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,74,198,180521,19299,10,200018,html version of FL COVID Rep 06-06-2020
Broward,21,62,113619,7690,6,121371,html version of FL COVID Rep 06-06-2020
Palm Beach,131,234,81209,7074,8,88517,html version of FL COVID Rep 06-06-2020
Hillsborough,31,79,66805,2643,4,69527,html version of FL COVID Rep 06-06-2020
Orange,16,53,78560,2256,3,80869,html version of FL COVID Rep 06-06-2020
Lee,23,6,31530,2253,7,33789,html version of FL COVID Rep 06-06-2020
Collier,16,8,17792,1968,10,19768,html version of FL COVID Rep 06-06-2020
Duval,77,28,61197,1764,3,62989,html version of FL COVID Rep 06-06-2020
Pinellas,201,16,47185,1532,3,48733,html version of FL COVID Rep 06-06-2020
Manatee,,8,21567,1177,5,22752,html version of FL COVID Rep 06-06-2020
Polk,10,8,23305,1145,5,24458,html version of FL COVID Rep 06-06-2020
Escambia,1,7,21445,879,4,22331,html version of FL COVID Rep 06-06-2020
Martin,8,7,9888,849,8,10744,html version of FL COVID Rep 06-06-2020
Volusia,3,20,23603,804,3,24427,html version of FL COVID Rep 06-06-2020
Osceola,44,14,15217,741,5,15972,html version of FL COVID Rep 06-06-2020
Sarasota,2,5,20284,669,3,20958,html version of FL COVID Rep 06-06-2020
St. Lucie,99,7,13114,607,4,13728,html version of FL COVID Rep 06-06-2020
Hendry,2,,2639,552,17,3191,html version of FL COVID Rep 06-06-2020
Seminole,3,13,21340,521,2,21874,html version of FL COVID Rep 06-06-2020
Charlotte,4,1,6625,488,7,7114,html version of FL COVID Rep 06-06-2020
Brevard,1,2,25348,453,2,25803,html version of FL COVID Rep 06-06-2020
Leon,12,4,17323,438,2,17765,html version of FL COVID Rep 06-06-2020
Pasco,16,10,18047,419,2,18476,html version of FL COVID Rep 06-06-2020
Alachua,,7,24130,396,2,24533,html version of FL COVID Rep 06-06-2020
Clay,,5,10602,396,4,11003,html version of FL COVID Rep 06-06-2020
Lake,9,11,19369,321,2,19701,html version of FL COVID Rep 06-06-2020
Jackson,1,7,3717,298,7,4022,html version of FL COVID Rep 06-06-2020
Gadsden,,7,4328,293,6,4628,html version of FL COVID Rep 06-06-2020
Marion,294,3,15331,274,2,15608,html version of FL COVID Rep 06-06-2020
St. Johns,6,22,12203,272,2,12497,html version of FL COVID Rep 06-06-2020
Sumter,23,5,4479,261,6,4745,html version of FL COVID Rep 06-06-2020
Hamilton,,1,2020,261,11,2282,html version of FL COVID Rep 06-06-2020
Desoto,8,1,2622,258,9,2881,html version of FL COVID Rep 06-06-2020
Santa Rosa,1,3,9075,257,3,9335,html version of FL COVID Rep 06-06-2020
Okaloosa,,6,8507,253,3,8766,html version of FL COVID Rep 06-06-2020
Liberty,,2,2046,218,10,2266,html version of FL COVID Rep 06-06-2020
Flagler,,4,5331,195,4,5530,html version of FL COVID Rep 06-06-2020
Suwannee,,2,2370,174,7,2546,html version of FL COVID Rep 06-06-2020
Putnam,2,2,3968,173,4,4143,html version of FL COVID Rep 06-06-2020
Columbia,4,6,4094,171,4,4271,html version of FL COVID Rep 06-06-2020
Indian River,40,,6715,160,2,6875,html version of FL COVID Rep 06-06-2020
Highlands,3,3,4732,143,3,4878,html version of FL COVID Rep 06-06-2020
Hardee,,1,1080,140,11,1221,html version of FL COVID Rep 06-06-2020
Walton,,4,1945,130,6,2079,html version of FL COVID Rep 06-06-2020
Citrus,2,3,5862,125,2,5990,html version of FL COVID Rep 06-06-2020
Okeechobee,,,1894,125,6,2019,html version of FL COVID Rep 06-06-2020
Bay,3,2,4258,123,3,4383,html version of FL COVID Rep 06-06-2020
Hernando,,1,5150,122,2,5273,html version of FL COVID Rep 06-06-2020
Monroe,65,,3565,110,3,3675,html version of FL COVID Rep 06-06-2020
Unknown,1,15,1500,97,6,1612,html version of FL COVID Rep 06-06-2020
Washington,5,1,1182,83,7,1266,html version of FL COVID Rep 06-06-2020
Glades,,,280,83,23,363,html version of FL COVID Rep 06-06-2020
Nassau,,,4142,82,2,4224,html version of FL COVID Rep 06-06-2020
Madison,,2,1166,71,6,1239,html version of FL COVID Rep 06-06-2020
Calhoun,,2,593,64,10,659,html version of FL COVID Rep 06-06-2020
Dixie,,,972,58,6,1030,html version of FL COVID Rep 06-06-2020
Levy,,,2118,58,3,2176,html version of FL COVID Rep 06-06-2020
Bradford,1,1,1736,52,3,1789,html version of FL COVID Rep 06-06-2020
Taylor,,1,1058,45,4,1104,html version of FL COVID Rep 06-06-2020
Union,,,1873,36,2,1909,html version of FL COVID Rep 06-06-2020
Wakulla,1,,1558,35,2,1593,html version of FL COVID Rep 06-06-2020
Jefferson,,1,761,31,4,793,html version of FL COVID Rep 06-06-2020
Holmes,,,895,30,3,925,html version of FL COVID Rep 06-06-2020
Baker,,,1090,29,3,1119,html version of FL COVID Rep 06-06-2020
Gilchrist,,,992,19,2,1011,html version of FL COVID Rep 06-06-2020
Lafayette,,,386,10,3,396,html version of FL COVID Rep 06-06-2020
Gulf,1,,899,3,0,902,html version of FL COVID Rep 06-06-2020
Franklin,,,670,2,0,672,html version of FL COVID Rep 06-06-2020
Total,1265,921,1111427,62758,5,1175106,html version of FL COVID Rep 06-06-2020
