COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,72,200,186316,19547,9,206063,html version of FL COVID Rep 06-07-2020
Broward,22,62,116961,7804,6,124827,html version of FL COVID Rep 06-07-2020
Palm Beach,134,234,84355,7230,8,91819,html version of FL COVID Rep 06-07-2020
Hillsborough,28,80,69236,2748,4,72064,html version of FL COVID Rep 06-07-2020
Orange,14,53,80644,2316,3,83013,html version of FL COVID Rep 06-07-2020
Lee,23,6,33029,2289,6,35324,html version of FL COVID Rep 06-07-2020
Collier,19,8,18617,2039,10,20664,html version of FL COVID Rep 06-07-2020
Duval,64,46,63076,1792,3,64914,html version of FL COVID Rep 06-07-2020
Pinellas,169,17,49383,1584,3,50984,html version of FL COVID Rep 06-07-2020
Manatee,,8,22298,1189,5,23495,html version of FL COVID Rep 06-07-2020
Polk,10,9,24492,1178,5,25679,html version of FL COVID Rep 06-07-2020
Martin,9,7,10026,907,8,10940,html version of FL COVID Rep 06-07-2020
Escambia,1,7,21919,888,4,22814,html version of FL COVID Rep 06-07-2020
Volusia,1,20,24327,819,3,25166,html version of FL COVID Rep 06-07-2020
Osceola,44,14,15450,745,5,16209,html version of FL COVID Rep 06-07-2020
Sarasota,1,5,21907,680,3,22592,html version of FL COVID Rep 06-07-2020
St. Lucie,88,7,13646,627,4,14280,html version of FL COVID Rep 06-07-2020
Hendry,2,,2704,558,17,3262,html version of FL COVID Rep 06-07-2020
Seminole,3,13,21973,532,2,22518,html version of FL COVID Rep 06-07-2020
Charlotte,4,1,7048,493,7,7542,html version of FL COVID Rep 06-07-2020
Brevard,1,2,26128,457,2,26587,html version of FL COVID Rep 06-07-2020
Leon,12,5,17921,442,2,18368,html version of FL COVID Rep 06-07-2020
Pasco,17,11,19231,424,2,19666,html version of FL COVID Rep 06-07-2020
Clay,,5,11004,400,4,11409,html version of FL COVID Rep 06-07-2020
Alachua,,7,25710,399,2,26116,html version of FL COVID Rep 06-07-2020
Lake,12,11,20052,329,2,20392,html version of FL COVID Rep 06-07-2020
Jackson,1,8,3779,308,8,4095,html version of FL COVID Rep 06-07-2020
Gadsden,,7,4414,294,6,4715,html version of FL COVID Rep 06-07-2020
Marion,257,3,16060,279,2,16342,html version of FL COVID Rep 06-07-2020
St. Johns,6,21,12744,279,2,13044,html version of FL COVID Rep 06-07-2020
Desoto,8,1,2657,268,9,2926,html version of FL COVID Rep 06-07-2020
Hamilton,,1,2033,263,11,2297,html version of FL COVID Rep 06-07-2020
Okaloosa,,6,8761,262,3,9029,html version of FL COVID Rep 06-07-2020
Sumter,23,5,4835,261,5,5101,html version of FL COVID Rep 06-07-2020
Santa Rosa,1,3,9262,258,3,9523,html version of FL COVID Rep 06-07-2020
Liberty,,2,2053,218,10,2273,html version of FL COVID Rep 06-07-2020
Flagler,,4,5797,195,3,5996,html version of FL COVID Rep 06-07-2020
Suwannee,,2,2420,175,7,2597,html version of FL COVID Rep 06-07-2020
Putnam,2,2,4056,173,4,4231,html version of FL COVID Rep 06-07-2020
Columbia,4,6,4153,171,4,4330,html version of FL COVID Rep 06-07-2020
Indian River,32,,7215,164,2,7379,html version of FL COVID Rep 06-07-2020
Highlands,3,3,4947,146,3,5096,html version of FL COVID Rep 06-07-2020
Hardee,,1,1125,145,11,1271,html version of FL COVID Rep 06-07-2020
Okeechobee,,,1945,138,7,2083,html version of FL COVID Rep 06-07-2020
Bay,3,2,4426,130,3,4558,html version of FL COVID Rep 06-07-2020
Walton,,4,2085,130,6,2219,html version of FL COVID Rep 06-07-2020
Citrus,1,3,6006,128,2,6137,html version of FL COVID Rep 06-07-2020
Hernando,,1,5799,125,2,5925,html version of FL COVID Rep 06-07-2020
Monroe,61,,3601,111,3,3712,html version of FL COVID Rep 06-07-2020
Unknown,1,15,1509,97,6,1621,html version of FL COVID Rep 06-07-2020
Washington,5,1,1259,84,6,1344,html version of FL COVID Rep 06-07-2020
Glades,,,283,84,23,367,html version of FL COVID Rep 06-07-2020
Nassau,,1,4324,82,2,4407,html version of FL COVID Rep 06-07-2020
Madison,,2,1189,71,6,1262,html version of FL COVID Rep 06-07-2020
Calhoun,,2,605,66,10,673,html version of FL COVID Rep 06-07-2020
Levy,,,2192,60,3,2252,html version of FL COVID Rep 06-07-2020
Dixie,,,999,58,5,1057,html version of FL COVID Rep 06-07-2020
Bradford,1,1,1793,52,3,1846,html version of FL COVID Rep 06-07-2020
Taylor,,1,1072,46,4,1119,html version of FL COVID Rep 06-07-2020
Union,,,1895,38,2,1933,html version of FL COVID Rep 06-07-2020
Wakulla,1,,1583,35,2,1618,html version of FL COVID Rep 06-07-2020
Jefferson,,1,764,31,4,796,html version of FL COVID Rep 06-07-2020
Holmes,,,920,30,3,950,html version of FL COVID Rep 06-07-2020
Baker,,,1116,29,3,1145,html version of FL COVID Rep 06-07-2020
Gilchrist,,,1117,20,2,1137,html version of FL COVID Rep 06-07-2020
Lafayette,,,388,10,3,398,html version of FL COVID Rep 06-07-2020
Gulf,1,,915,6,1,921,html version of FL COVID Rep 06-07-2020
Franklin,,,671,2,0,673,html version of FL COVID Rep 06-07-2020
Total,1161,947,1152220,63938,5,1217105,html version of FL COVID Rep 06-07-2020
