COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,319,182,90408,13585,13,104175,html version of FL COVID Rep 05-07-2020
Broward,23,42,52101,5677,10,57820,html version of FL COVID Rep 05-07-2020
Palm Beach,64,222,34154,3587,9,37963,html version of FL COVID Rep 05-07-2020
Orange,13,32,31877,1474,4,33383,html version of FL COVID Rep 05-07-2020
Hillsborough,13,35,25884,1364,5,27283,html version of FL COVID Rep 05-07-2020
Lee,14,3,12111,1212,9,13326,html version of FL COVID Rep 05-07-2020
Duval,81,12,29184,1083,4,30279,html version of FL COVID Rep 05-07-2020
Pinellas,276,10,16768,820,5,17598,html version of FL COVID Rep 05-07-2020
Manatee,,5,6037,737,11,6779,html version of FL COVID Rep 05-07-2020
Collier,9,2,5825,705,11,6532,html version of FL COVID Rep 05-07-2020
Escambia,12,7,8822,616,7,9445,html version of FL COVID Rep 05-07-2020
Polk,5,3,8810,594,6,9407,html version of FL COVID Rep 05-07-2020
Osceola,39,11,7053,544,7,7608,html version of FL COVID Rep 05-07-2020
Volusia,,7,11476,534,4,12017,html version of FL COVID Rep 05-07-2020
Sarasota,2,1,5470,412,7,5883,html version of FL COVID Rep 05-07-2020
Seminole,3,7,9104,410,4,9521,html version of FL COVID Rep 05-07-2020
Brevard,1,3,10876,325,3,11204,html version of FL COVID Rep 05-07-2020
Charlotte,6,1,2801,304,10,3106,html version of FL COVID Rep 05-07-2020
Alachua,,8,7550,300,4,7858,html version of FL COVID Rep 05-07-2020
Clay,,1,4206,292,6,4499,html version of FL COVID Rep 05-07-2020
Pasco,22,6,6877,289,4,7172,html version of FL COVID Rep 05-07-2020
St. Lucie,53,4,3754,271,7,4029,html version of FL COVID Rep 05-07-2020
Leon,9,3,4886,249,5,5138,html version of FL COVID Rep 05-07-2020
Sumter,24,,1942,238,11,2180,html version of FL COVID Rep 05-07-2020
Lake,9,5,7845,237,3,8087,html version of FL COVID Rep 05-07-2020
Martin,6,,1957,233,11,2190,html version of FL COVID Rep 05-07-2020
St. Johns,26,1,5571,222,4,5794,html version of FL COVID Rep 05-07-2020
Marion,326,2,5054,202,4,5258,html version of FL COVID Rep 05-07-2020
Okaloosa,2,1,2841,163,5,3005,html version of FL COVID Rep 05-07-2020
Santa Rosa,2,1,3231,160,5,3392,html version of FL COVID Rep 05-07-2020
Flagler,3,2,1862,145,7,2009,html version of FL COVID Rep 05-07-2020
Suwannee,,,1077,144,12,1221,html version of FL COVID Rep 05-07-2020
Hendry,1,,753,129,15,882,html version of FL COVID Rep 05-07-2020
Gadsden,,,671,121,15,792,html version of FL COVID Rep 05-07-2020
Putnam,3,,1835,120,6,1955,html version of FL COVID Rep 05-07-2020
Liberty,,,648,114,15,762,html version of FL COVID Rep 05-07-2020
Citrus,1,2,1770,102,5,1874,html version of FL COVID Rep 05-07-2020
Columbia,6,,1321,101,7,1422,html version of FL COVID Rep 05-07-2020
Indian River,51,,2046,99,5,2145,html version of FL COVID Rep 05-07-2020
Hernando,,,1949,97,5,2046,html version of FL COVID Rep 05-07-2020
Highlands,6,1,1477,90,6,1568,html version of FL COVID Rep 05-07-2020
Monroe,51,,1407,80,5,1487,html version of FL COVID Rep 05-07-2020
Bay,,2,1691,76,4,1769,html version of FL COVID Rep 05-07-2020
Madison,5,,427,61,13,488,html version of FL COVID Rep 05-07-2020
Nassau,,,1661,60,3,1721,html version of FL COVID Rep 05-07-2020
Walton,,1,707,50,7,758,html version of FL COVID Rep 05-07-2020
Bradford,1,,811,48,6,859,html version of FL COVID Rep 05-07-2020
Desoto,5,,1227,42,3,1269,html version of FL COVID Rep 05-07-2020
Hardee,,,227,35,13,262,html version of FL COVID Rep 05-07-2020
Unknown,1,,72,33,31,105,html version of FL COVID Rep 05-07-2020
Jackson,,,534,31,5,565,html version of FL COVID Rep 05-07-2020
Wakulla,1,,535,29,5,564,html version of FL COVID Rep 05-07-2020
Jefferson,,,172,28,14,200,html version of FL COVID Rep 05-07-2020
Calhoun,1,1,166,24,13,191,html version of FL COVID Rep 05-07-2020
Okeechobee,,,856,22,3,878,html version of FL COVID Rep 05-07-2020
Baker,,,433,22,5,455,html version of FL COVID Rep 05-07-2020
Levy,,,804,20,2,824,html version of FL COVID Rep 05-07-2020
Washington,,,315,12,4,327,html version of FL COVID Rep 05-07-2020
Dixie,,,256,11,4,267,html version of FL COVID Rep 05-07-2020
Holmes,,,512,10,2,522,html version of FL COVID Rep 05-07-2020
Hamilton,,,196,7,3,203,html version of FL COVID Rep 05-07-2020
Gilchrist,1,,277,6,2,283,html version of FL COVID Rep 05-07-2020
Glades,,,77,6,7,83,html version of FL COVID Rep 05-07-2020
Union,2,,265,5,2,270,html version of FL COVID Rep 05-07-2020
Taylor,1,,251,3,1,254,html version of FL COVID Rep 05-07-2020
Lafayette,,,85,3,3,88,html version of FL COVID Rep 05-07-2020
Franklin,,,119,2,2,121,html version of FL COVID Rep 05-07-2020
Gulf,,,155,1,1,156,html version of FL COVID Rep 05-07-2020
Total,1499,626,454122,38828,8,493576,html version of FL COVID Rep 05-07-2020
