COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,132,15,19749,4481,18,24245,html version of FL COVID Rep 04-06-2020
Broward,60,10,16168,2067,11,18245,html version of FL COVID Rep 04-06-2020
Palm Beach,85,2,4811,1069,18,5882,html version of FL COVID Rep 04-06-2020
Orange,12,0,7059,744,10,7803,html version of FL COVID Rep 04-06-2020
Hillsborough,5,4,8006,571,7,8581,html version of FL COVID Rep 04-06-2020
Duval,106,0,7352,475,6,7827,html version of FL COVID Rep 04-06-2020
Lee,18,1,3558,397,10,3956,html version of FL COVID Rep 04-06-2020
Pinellas,48,8,6111,362,6,6481,html version of FL COVID Rep 04-06-2020
Collier,24,0,2011,246,11,2257,html version of FL COVID Rep 04-06-2020
Osceola,74,0,1415,239,14,1654,html version of FL COVID Rep 04-06-2020
Seminole,14,1,1967,194,9,2162,html version of FL COVID Rep 04-06-2020
Polk,16,2,2418,176,7,2596,html version of FL COVID Rep 04-06-2020
Sarasota,9,0,1207,151,11,1358,html version of FL COVID Rep 04-06-2020
Volusia,4,1,1394,151,10,1546,html version of FL COVID Rep 04-06-2020
St. Johns,32,1,2133,146,6,2280,html version of FL COVID Rep 04-06-2020
Manatee,2,0,826,144,15,970,html version of FL COVID Rep 04-06-2020
Escambia,2,0,1869,136,7,2005,html version of FL COVID Rep 04-06-2020
Alachua,12,3,2194,131,6,2328,html version of FL COVID Rep 04-06-2020
Pasco,17,1,2270,110,5,2381,html version of FL COVID Rep 04-06-2020
Lake,10,3,1886,104,5,1993,html version of FL COVID Rep 04-06-2020
St. Lucie,21,0,1128,100,8,1228,html version of FL COVID Rep 04-06-2020
Brevard,4,1,1307,88,6,1396,html version of FL COVID Rep 04-06-2020
Martin,3,0,705,83,11,788,html version of FL COVID Rep 04-06-2020
Clay,3,0,1117,81,7,1198,html version of FL COVID Rep 04-06-2020
Sumter,12,1,851,80,9,932,html version of FL COVID Rep 04-06-2020
Okaloosa,23,0,486,65,12,551,html version of FL COVID Rep 04-06-2020
Indian River,14,0,611,61,9,672,html version of FL COVID Rep 04-06-2020
Leon,3,0,1123,59,5,1182,html version of FL COVID Rep 04-06-2020
Santa Rosa,0,0,763,58,7,821,html version of FL COVID Rep 04-06-2020
Charlotte,4,1,550,55,9,606,html version of FL COVID Rep 04-06-2020
Marion,162,1,1023,53,5,1077,html version of FL COVID Rep 04-06-2020
Hernando,1,1,619,48,7,668,html version of FL COVID Rep 04-06-2020
Citrus,5,0,541,45,8,586,html version of FL COVID Rep 04-06-2020
Monroe,87,0,371,45,11,416,html version of FL COVID Rep 04-06-2020
Highlands,3,2,241,35,13,278,html version of FL COVID Rep 04-06-2020
Flagler,0,2,386,32,8,420,html version of FL COVID Rep 04-06-2020
Suwannee,1,0,152,32,17,184,html version of FL COVID Rep 04-06-2020
Nassau,0,0,401,25,6,426,html version of FL COVID Rep 04-06-2020
Bay,2,0,286,24,8,310,html version of FL COVID Rep 04-06-2020
Walton,0,0,181,24,12,205,html version of FL COVID Rep 04-06-2020
Putnam,5,0,522,19,4,541,html version of FL COVID Rep 04-06-2020
Desoto,2,0,174,14,7,188,html version of FL COVID Rep 04-06-2020
Baker,1,0,136,13,9,149,html version of FL COVID Rep 04-06-2020
Columbia,16,0,247,13,5,260,html version of FL COVID Rep 04-06-2020
Madison,0,0,52,11,17,63,html version of FL COVID Rep 04-06-2020
Hendry,0,0,126,9,7,135,html version of FL COVID Rep 04-06-2020
Bradford,3,0,147,8,5,155,html version of FL COVID Rep 04-06-2020
Unknown,74,0,36,7,16,43,html version of FL COVID Rep 04-06-2020
Wakulla,0,0,105,6,5,111,html version of FL COVID Rep 04-06-2020
Gadsden,0,0,88,5,5,93,html version of FL COVID Rep 04-06-2020
Glades,0,0,12,4,25,16,html version of FL COVID Rep 04-06-2020
Jackson,1,0,120,4,3,124,html version of FL COVID Rep 04-06-2020
Levy,0,0,159,4,2,163,html version of FL COVID Rep 04-06-2020
Calhoun,0,0,33,3,8,36,html version of FL COVID Rep 04-06-2020
Jefferson,1,0,31,3,9,34,html version of FL COVID Rep 04-06-2020
Okeechobee,2,0,133,3,2,136,html version of FL COVID Rep 04-06-2020
Franklin,0,0,29,2,6,31,html version of FL COVID Rep 04-06-2020
Hardee,0,0,41,2,5,43,html version of FL COVID Rep 04-06-2020
Union,1,0,72,2,3,74,html version of FL COVID Rep 04-06-2020
Dixie,0,0,70,1,1,71,html version of FL COVID Rep 04-06-2020
Gulf,0,0,51,1,2,52,html version of FL COVID Rep 04-06-2020
Hamilton,1,0,44,1,2,45,html version of FL COVID Rep 04-06-2020
Holmes,3,0,50,1,2,51,html version of FL COVID Rep 04-06-2020
Washington,2,0,69,1,1,70,html version of FL COVID Rep 04-06-2020
Gilchrist,0,0,67,0,0,67,html version of FL COVID Rep 04-06-2020
Lafayette,0,0,23,0,0,23,html version of FL COVID Rep 04-06-2020
Liberty,0,0,12,0,0,12,html version of FL COVID Rep 04-06-2020
Taylor,0,0,55,0,0,55,html version of FL COVID Rep 04-06-2020
Total,1142,61,109950,13324,11,123335,html version of FL COVID Rep 04-06-2020
