COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,168,27,22524,4997,18,27548,html version of FL COVID Rep 04-07-2020
Broward,60,12,17208,2213,11,19433,html version of FL COVID Rep 04-07-2020
Palm Beach,97,2,5246,1136,18,6384,html version of FL COVID Rep 04-07-2020
Orange,17,0,7393,763,9,8156,html version of FL COVID Rep 04-07-2020
Hillsborough,5,4,8753,597,6,9354,html version of FL COVID Rep 04-07-2020
Duval,108,0,8737,524,6,9261,html version of FL COVID Rep 04-07-2020
Lee,21,2,3892,434,10,4328,html version of FL COVID Rep 04-07-2020
Pinellas,61,8,6602,380,5,6990,html version of FL COVID Rep 04-07-2020
Collier,21,0,2205,268,11,2473,html version of FL COVID Rep 04-07-2020
Osceola,71,0,1520,254,14,1774,html version of FL COVID Rep 04-07-2020
Seminole,13,1,2079,202,9,2282,html version of FL COVID Rep 04-07-2020
Polk,16,1,2796,197,7,2994,html version of FL COVID Rep 04-07-2020
Sarasota,7,0,1407,172,11,1579,html version of FL COVID Rep 04-07-2020
Escambia,3,0,2525,165,6,2690,html version of FL COVID Rep 04-07-2020
Manatee,2,0,940,162,15,1102,html version of FL COVID Rep 04-07-2020
Volusia,3,1,1556,162,9,1719,html version of FL COVID Rep 04-07-2020
St. Johns,29,1,2367,151,6,2519,html version of FL COVID Rep 04-07-2020
Alachua,8,6,2513,141,5,2660,html version of FL COVID Rep 04-07-2020
Pasco,22,1,2488,120,5,2609,html version of FL COVID Rep 04-07-2020
St. Lucie,26,0,1294,118,8,1412,html version of FL COVID Rep 04-07-2020
Lake,12,1,2041,116,5,2158,html version of FL COVID Rep 04-07-2020
Martin,4,0,783,98,11,881,html version of FL COVID Rep 04-07-2020
Brevard,3,2,1622,95,6,1719,html version of FL COVID Rep 04-07-2020
Clay,4,0,1328,86,6,1414,html version of FL COVID Rep 04-07-2020
Sumter,13,1,899,84,9,984,html version of FL COVID Rep 04-07-2020
Okaloosa,42,0,594,69,10,663,html version of FL COVID Rep 04-07-2020
Leon,4,1,1279,68,5,1348,html version of FL COVID Rep 04-07-2020
Charlotte,6,1,647,67,9,715,html version of FL COVID Rep 04-07-2020
Santa Rosa,0,0,1048,65,6,1113,html version of FL COVID Rep 04-07-2020
Marion,178,2,1159,63,5,1224,html version of FL COVID Rep 04-07-2020
Indian River,20,0,703,62,8,765,html version of FL COVID Rep 04-07-2020
Citrus,4,0,638,49,7,687,html version of FL COVID Rep 04-07-2020
Monroe,103,0,421,49,10,470,html version of FL COVID Rep 04-07-2020
Hernando,1,1,701,48,6,750,html version of FL COVID Rep 04-07-2020
Highlands,2,2,264,37,12,303,html version of FL COVID Rep 04-07-2020
Flagler,0,2,429,35,8,466,html version of FL COVID Rep 04-07-2020
Suwannee,0,0,166,32,16,198,html version of FL COVID Rep 04-07-2020
Nassau,0,0,479,26,5,505,html version of FL COVID Rep 04-07-2020
Walton,0,0,219,26,11,245,html version of FL COVID Rep 04-07-2020
Bay,0,0,316,24,7,340,html version of FL COVID Rep 04-07-2020
Putnam,5,0,558,19,3,577,html version of FL COVID Rep 04-07-2020
Columbia,18,0,273,16,6,289,html version of FL COVID Rep 04-07-2020
Desoto,2,0,192,16,8,208,html version of FL COVID Rep 04-07-2020
Baker,2,0,141,15,10,156,html version of FL COVID Rep 04-07-2020
Bradford,7,0,164,11,6,175,html version of FL COVID Rep 04-07-2020
Madison,0,0,55,11,17,66,html version of FL COVID Rep 04-07-2020
Hendry,0,0,141,9,6,150,html version of FL COVID Rep 04-07-2020
Gadsden,0,0,107,6,5,113,html version of FL COVID Rep 04-07-2020
Wakulla,0,0,123,6,5,129,html version of FL COVID Rep 04-07-2020
Levy,1,0,174,5,3,179,html version of FL COVID Rep 04-07-2020
Glades,0,0,15,4,21,19,html version of FL COVID Rep 04-07-2020
Jackson,1,0,138,4,3,142,html version of FL COVID Rep 04-07-2020
Jefferson,4,0,36,4,10,40,html version of FL COVID Rep 04-07-2020
Okeechobee,1,0,137,4,3,141,html version of FL COVID Rep 04-07-2020
Calhoun,0,0,37,3,8,40,html version of FL COVID Rep 04-07-2020
Franklin,0,0,41,2,5,43,html version of FL COVID Rep 04-07-2020
Hardee,0,0,45,2,4,47,html version of FL COVID Rep 04-07-2020
Holmes,7,0,60,2,3,62,html version of FL COVID Rep 04-07-2020
Union,1,0,80,2,2,82,html version of FL COVID Rep 04-07-2020
Unknown,36,0,59,2,3,61,html version of FL COVID Rep 04-07-2020
Washington,2,0,73,2,3,75,html version of FL COVID Rep 04-07-2020
Dixie,0,0,75,1,1,76,html version of FL COVID Rep 04-07-2020
Gulf,0,0,59,1,2,60,html version of FL COVID Rep 04-07-2020
Hamilton,1,0,45,1,2,46,html version of FL COVID Rep 04-07-2020
Taylor,0,0,67,1,1,68,html version of FL COVID Rep 04-07-2020
Gilchrist,0,0,74,0,0,74,html version of FL COVID Rep 04-07-2020
Lafayette,1,0,29,0,0,29,html version of FL COVID Rep 04-07-2020
Liberty,0,0,13,0,0,13,html version of FL COVID Rep 04-07-2020
Total,1243,79,122792,14504,11,137375,html version of FL COVID Rep 04-07-2020
