COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,168,480,315628,48992,13,365100,html version of FL COVID Rep 07-06-2020
Broward,42,126,206923,21856,10,228905,html version of FL COVID Rep 07-06-2020
Palm Beach,174,253,145096,17242,11,162591,html version of FL COVID Rep 07-06-2020
Hillsborough,122,95,128454,14677,10,143226,html version of FL COVID Rep 07-06-2020
Orange,139,182,142402,14407,9,156991,html version of FL COVID Rep 07-06-2020
Duval,57,175,110737,9487,8,120399,html version of FL COVID Rep 07-06-2020
Pinellas,44,45,97488,8759,8,106292,html version of FL COVID Rep 07-06-2020
Lee,17,21,57538,7661,12,65220,html version of FL COVID Rep 07-06-2020
Polk,20,45,48564,5472,10,54081,html version of FL COVID Rep 07-06-2020
Collier,106,24,32483,5076,14,37583,html version of FL COVID Rep 07-06-2020
Manatee,2,23,42907,3785,8,46715,html version of FL COVID Rep 07-06-2020
Seminole,24,33,38574,3430,8,42037,html version of FL COVID Rep 07-06-2020
Osceola,57,52,27560,3068,10,30680,html version of FL COVID Rep 07-06-2020
Escambia,5,12,35357,2942,8,38311,html version of FL COVID Rep 07-06-2020
Pasco,36,14,37286,2850,7,40150,html version of FL COVID Rep 07-06-2020
Volusia,7,32,41588,2804,6,44424,html version of FL COVID Rep 07-06-2020
Brevard,2,10,49868,2591,5,52469,html version of FL COVID Rep 07-06-2020
Martin,36,22,15869,2422,13,18313,html version of FL COVID Rep 07-06-2020
St. Lucie,89,12,22958,2264,9,25234,html version of FL COVID Rep 07-06-2020
Sarasota,8,5,38773,2191,5,40969,html version of FL COVID Rep 07-06-2020
Lake,44,22,36115,1890,5,38027,html version of FL COVID Rep 07-06-2020
Leon,10,75,33066,1870,5,35011,html version of FL COVID Rep 07-06-2020
Alachua,,11,43996,1636,4,45643,html version of FL COVID Rep 07-06-2020
St. Johns,44,28,22247,1383,6,23658,html version of FL COVID Rep 07-06-2020
Hendry,,7,4641,1101,19,5749,html version of FL COVID Rep 07-06-2020
Clay,,14,18330,1017,5,19361,html version of FL COVID Rep 07-06-2020
Marion,115,5,25347,986,4,26338,html version of FL COVID Rep 07-06-2020
Indian River,25,3,15336,953,6,16292,html version of FL COVID Rep 07-06-2020
Charlotte,6,5,12713,935,7,13653,html version of FL COVID Rep 07-06-2020
Okaloosa,2,15,15226,917,6,16158,html version of FL COVID Rep 07-06-2020
Santa Rosa,1,3,13504,902,6,14409,html version of FL COVID Rep 07-06-2020
Desoto,6,6,4649,752,14,5407,html version of FL COVID Rep 07-06-2020
Bay,3,14,8320,744,8,9078,html version of FL COVID Rep 07-06-2020
Suwannee,,4,4006,630,14,4640,html version of FL COVID Rep 07-06-2020
Hernando,2,2,10820,557,5,11379,html version of FL COVID Rep 07-06-2020
Putnam,2,1,6896,550,7,7447,html version of FL COVID Rep 07-06-2020
Hardee,1,2,2321,509,18,2832,html version of FL COVID Rep 07-06-2020
Gadsden,3,12,5948,468,7,6428,html version of FL COVID Rep 07-06-2020
Okeechobee,,2,3664,439,11,4105,html version of FL COVID Rep 07-06-2020
Sumter,23,8,8029,436,5,8473,html version of FL COVID Rep 07-06-2020
Highlands,6,16,9567,416,4,9999,html version of FL COVID Rep 07-06-2020
Jackson,1,10,5305,411,7,5726,html version of FL COVID Rep 07-06-2020
Citrus,2,3,10663,399,4,11065,html version of FL COVID Rep 07-06-2020
Flagler,2,5,8611,392,4,9008,html version of FL COVID Rep 07-06-2020
Hamilton,1,2,2575,389,13,2966,html version of FL COVID Rep 07-06-2020
Monroe,41,,6211,380,6,6591,html version of FL COVID Rep 07-06-2020
Columbia,3,5,6169,364,6,6538,html version of FL COVID Rep 07-06-2020
Nassau,10,6,7896,325,4,8227,html version of FL COVID Rep 07-06-2020
Walton,,4,3691,324,8,4019,html version of FL COVID Rep 07-06-2020
Madison,1,5,2040,255,11,2300,html version of FL COVID Rep 07-06-2020
Liberty,,2,2144,244,10,2390,html version of FL COVID Rep 07-06-2020
Unknown,,15,2639,230,8,2884,html version of FL COVID Rep 07-06-2020
Levy,,2,3342,211,6,3555,html version of FL COVID Rep 07-06-2020
Holmes,,4,2433,199,8,2636,html version of FL COVID Rep 07-06-2020
Glades,,1,528,188,26,717,html version of FL COVID Rep 07-06-2020
Washington,3,1,1829,121,6,1951,html version of FL COVID Rep 07-06-2020
Gilchrist,,3,2354,116,5,2473,html version of FL COVID Rep 07-06-2020
Baker,1,,1958,106,5,2064,html version of FL COVID Rep 07-06-2020
Taylor,,2,1472,101,6,1575,html version of FL COVID Rep 07-06-2020
Calhoun,,3,896,97,10,996,html version of FL COVID Rep 07-06-2020
Bradford,1,2,2741,95,3,2838,html version of FL COVID Rep 07-06-2020
Wakulla,,4,2396,90,4,2490,html version of FL COVID Rep 07-06-2020
Union,1,,2360,89,4,2449,html version of FL COVID Rep 07-06-2020
Dixie,,,1415,80,5,1495,html version of FL COVID Rep 07-06-2020
Jefferson,,1,1303,65,5,1369,html version of FL COVID Rep 07-06-2020
Gulf,1,,1842,54,3,1896,html version of FL COVID Rep 07-06-2020
Lafayette,,1,563,40,7,604,html version of FL COVID Rep 07-06-2020
Franklin,,,1323,15,1,1338,html version of FL COVID Rep 07-06-2020
Total,1516,1997,2027493,206447,9,2235937,html version of FL COVID Rep 07-06-2020
