COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,176,556,328563,53974,14,383093,html version of FL COVID Rep 07-08-2020
Broward,49,146,216103,23781,10,240030,html version of FL COVID Rep 07-08-2020
Palm Beach,176,257,148967,18231,11,167455,html version of FL COVID Rep 07-08-2020
Hillsborough,141,121,133760,16099,11,149980,html version of FL COVID Rep 07-08-2020
Orange,189,185,145781,15194,9,161160,html version of FL COVID Rep 07-08-2020
Duval,84,176,114842,10439,8,125457,html version of FL COVID Rep 07-08-2020
Pinellas,45,50,100926,9395,9,110371,html version of FL COVID Rep 07-08-2020
Lee,21,21,58931,8125,12,67077,html version of FL COVID Rep 07-08-2020
Polk,22,52,50123,5895,11,56070,html version of FL COVID Rep 07-08-2020
Collier,119,27,33425,5433,14,38885,html version of FL COVID Rep 07-08-2020
Manatee,4,29,44431,4080,8,48540,html version of FL COVID Rep 07-08-2020
Seminole,27,32,39750,3652,8,43434,html version of FL COVID Rep 07-08-2020
Osceola,59,54,28162,3302,10,31518,html version of FL COVID Rep 07-08-2020
Pasco,41,19,38811,3193,8,42023,html version of FL COVID Rep 07-08-2020
Escambia,7,12,36164,3188,8,39364,html version of FL COVID Rep 07-08-2020
Volusia,11,34,42899,3070,7,46003,html version of FL COVID Rep 07-08-2020
Brevard,4,10,51704,2812,5,54526,html version of FL COVID Rep 07-08-2020
Martin,42,23,16244,2503,13,18770,html version of FL COVID Rep 07-08-2020
St. Lucie,119,13,23642,2433,9,26088,html version of FL COVID Rep 07-08-2020
Sarasota,7,5,39728,2334,6,42067,html version of FL COVID Rep 07-08-2020
Lake,49,23,37269,2087,5,39379,html version of FL COVID Rep 07-08-2020
Leon,10,77,33640,1955,5,35672,html version of FL COVID Rep 07-08-2020
Alachua,,11,45247,1792,4,47050,html version of FL COVID Rep 07-08-2020
St. Johns,39,30,23121,1517,6,24668,html version of FL COVID Rep 07-08-2020
Clay,,13,18793,1158,6,19964,html version of FL COVID Rep 07-08-2020
Hendry,1,8,4715,1129,19,5852,html version of FL COVID Rep 07-08-2020
Marion,169,5,26265,1111,4,27381,html version of FL COVID Rep 07-08-2020
Santa Rosa,1,3,13806,993,7,14802,html version of FL COVID Rep 07-08-2020
Indian River,26,6,15691,992,6,16689,html version of FL COVID Rep 07-08-2020
Charlotte,7,7,13009,974,7,13990,html version of FL COVID Rep 07-08-2020
Okaloosa,16,15,15488,969,6,16472,html version of FL COVID Rep 07-08-2020
Bay,1,24,8762,880,9,9666,html version of FL COVID Rep 07-08-2020
Desoto,6,6,4741,775,14,5522,html version of FL COVID Rep 07-08-2020
Suwannee,,3,4105,673,14,4781,html version of FL COVID Rep 07-08-2020
Hernando,2,2,11186,659,6,11847,html version of FL COVID Rep 07-08-2020
Putnam,2,2,7139,593,8,7734,html version of FL COVID Rep 07-08-2020
Hardee,1,2,2406,536,18,2944,html version of FL COVID Rep 07-08-2020
Sumter,24,8,9156,516,5,9680,html version of FL COVID Rep 07-08-2020
Jackson,1,10,5352,504,9,5866,html version of FL COVID Rep 07-08-2020
Gadsden,1,12,6000,481,7,6493,html version of FL COVID Rep 07-08-2020
Citrus,2,4,10935,457,4,11396,html version of FL COVID Rep 07-08-2020
Highlands,6,17,9750,457,4,10224,html version of FL COVID Rep 07-08-2020
Okeechobee,1,2,3760,452,11,4214,html version of FL COVID Rep 07-08-2020
Monroe,38,,6476,427,6,6903,html version of FL COVID Rep 07-08-2020
Flagler,6,5,8938,424,5,9367,html version of FL COVID Rep 07-08-2020
Hamilton,1,2,2677,405,13,3084,html version of FL COVID Rep 07-08-2020
Walton,,4,3853,395,9,4252,html version of FL COVID Rep 07-08-2020
Columbia,3,5,6371,392,6,6768,html version of FL COVID Rep 07-08-2020
Nassau,9,6,8263,375,4,8644,html version of FL COVID Rep 07-08-2020
Madison,1,4,2117,273,11,2394,html version of FL COVID Rep 07-08-2020
Unknown,,15,2749,251,8,3015,html version of FL COVID Rep 07-08-2020
Liberty,,2,2160,249,10,2411,html version of FL COVID Rep 07-08-2020
Levy,,3,3450,225,6,3678,html version of FL COVID Rep 07-08-2020
Holmes,,4,2462,207,8,2673,html version of FL COVID Rep 07-08-2020
Glades,,1,551,189,26,741,html version of FL COVID Rep 07-08-2020
Washington,3,1,1900,136,7,2037,html version of FL COVID Rep 07-08-2020
Gilchrist,,3,2406,124,5,2533,html version of FL COVID Rep 07-08-2020
Baker,1,,2001,120,6,2121,html version of FL COVID Rep 07-08-2020
Taylor,,3,1535,109,7,1647,html version of FL COVID Rep 07-08-2020
Calhoun,,3,918,106,10,1027,html version of FL COVID Rep 07-08-2020
Bradford,1,2,2790,105,4,2897,html version of FL COVID Rep 07-08-2020
Union,,,2421,99,4,2520,html version of FL COVID Rep 07-08-2020
Wakulla,1,4,2443,94,4,2541,html version of FL COVID Rep 07-08-2020
Dixie,,,1456,90,6,1546,html version of FL COVID Rep 07-08-2020
Jefferson,,1,1321,69,5,1391,html version of FL COVID Rep 07-08-2020
Gulf,,1,1928,59,3,1988,html version of FL COVID Rep 07-08-2020
Lafayette,,1,596,48,7,645,html version of FL COVID Rep 07-08-2020
Franklin,1,,1350,19,1,1369,html version of FL COVID Rep 07-08-2020
Total,1773,2182,2096424,223783,10,2322389,html version of FL COVID Rep 07-08-2020
