COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,88,,3889,616,14,4506,html version of FL COVID Rep 03-26-2020
Broward,210,,4388,504,10,4892,html version of FL COVID Rep 03-26-2020
Palm Beach,23,,1169,169,13,1338,html version of FL COVID Rep 03-26-2020
Hillsborough,8,,2118,142,6,2260,html version of FL COVID Rep 03-26-2020
Orange,23,,1264,110,8,1374,html version of FL COVID Rep 03-26-2020
Duval,262,,973,74,7,1047,html version of FL COVID Rep 03-26-2020
Collier,46,,593,65,10,658,html version of FL COVID Rep 03-26-2020
Pinellas,40,,1101,64,5,1165,html version of FL COVID Rep 03-26-2020
Lee,31,,597,56,9,653,html version of FL COVID Rep 03-26-2020
Alachua,32,,813,49,6,862,html version of FL COVID Rep 03-26-2020
Osceola,63,,284,42,13,326,html version of FL COVID Rep 03-26-2020
Seminole,33,,468,37,7,505,html version of FL COVID Rep 03-26-2020
Sarasota,70,,461,34,7,495,html version of FL COVID Rep 03-26-2020
St. Johns,24,,441,33,7,474,html version of FL COVID Rep 03-26-2020
Volusia,7,,308,29,9,337,html version of FL COVID Rep 03-26-2020
Lake,8,,392,25,6,417,html version of FL COVID Rep 03-26-2020
Manatee,6,,174,24,12,198,html version of FL COVID Rep 03-26-2020
Sumter,8,,267,24,8,292,html version of FL COVID Rep 03-26-2020
Okaloosa,10,,109,21,16,130,html version of FL COVID Rep 03-26-2020
Clay,11,,161,19,11,180,html version of FL COVID Rep 03-26-2020
Escambia,1,,259,19,7,278,html version of FL COVID Rep 03-26-2020
Pasco,17,,412,19,4,431,html version of FL COVID Rep 03-26-2020
Polk,41,,407,17,4,424,html version of FL COVID Rep 03-26-2020
Brevard,16,,266,13,5,279,html version of FL COVID Rep 03-26-2020
Indian River,9,,145,13,8,158,html version of FL COVID Rep 03-26-2020
Walton,8,,58,13,18,71,html version of FL COVID Rep 03-26-2020
Monroe,21,,88,12,12,100,html version of FL COVID Rep 03-26-2020
Putnam,21,,144,12,8,156,html version of FL COVID Rep 03-26-2020
Citrus,9,,113,11,9,124,html version of FL COVID Rep 03-26-2020
St. Lucie,15,,140,10,7,150,html version of FL COVID Rep 03-26-2020
Hernando,1,,128,9,7,137,html version of FL COVID Rep 03-26-2020
Leon,7,,289,9,3,298,html version of FL COVID Rep 03-26-2020
Santa Rosa,2,,122,9,7,131,html version of FL COVID Rep 03-26-2020
Martin,6,,103,8,7,111,html version of FL COVID Rep 03-26-2020
Flagler,0,,84,7,8,91,html version of FL COVID Rep 03-26-2020
Baker,9,,29,5,15,34,html version of FL COVID Rep 03-26-2020
Desoto,18,,27,5,16,32,html version of FL COVID Rep 03-26-2020
Highlands,6,,27,5,15,33,html version of FL COVID Rep 03-26-2020
Marion,146,,199,5,2,204,html version of FL COVID Rep 03-26-2020
Nassau,1,,46,5,10,51,html version of FL COVID Rep 03-26-2020
Bay,4,,62,3,5,65,html version of FL COVID Rep 03-26-2020
Charlotte,5,,115,3,3,118,html version of FL COVID Rep 03-26-2020
Columbia,31,,52,3,5,55,html version of FL COVID Rep 03-26-2020
Bradford,3,,32,1,3,33,html version of FL COVID Rep 03-26-2020
Gadsden,0,,29,1,3,30,html version of FL COVID Rep 03-26-2020
Jackson,1,,45,1,2,46,html version of FL COVID Rep 03-26-2020
Calhoun,0,,6,0,0,6,html version of FL COVID Rep 03-26-2020
Dixie,0,,14,0,0,14,html version of FL COVID Rep 03-26-2020
Franklin,0,,14,0,0,14,html version of FL COVID Rep 03-26-2020
Gilchrist,0,,15,0,0,15,html version of FL COVID Rep 03-26-2020
Glades,0,,2,0,0,2,html version of FL COVID Rep 03-26-2020
Gulf,5,,21,0,0,21,html version of FL COVID Rep 03-26-2020
Hamilton,1,,9,0,0,9,html version of FL COVID Rep 03-26-2020
Hardee,0,,8,0,0,8,html version of FL COVID Rep 03-26-2020
Hendry,2,,23,0,0,23,html version of FL COVID Rep 03-26-2020
Holmes,4,,16,0,0,16,html version of FL COVID Rep 03-26-2020
Jefferson,0,,8,0,0,8,html version of FL COVID Rep 03-26-2020
Lafayette,1,,8,0,0,8,html version of FL COVID Rep 03-26-2020
Levy,0,,38,0,0,38,html version of FL COVID Rep 03-26-2020
Liberty,0,,1,0,0,1,html version of FL COVID Rep 03-26-2020
Madison,1,,16,0,0,16,html version of FL COVID Rep 03-26-2020
Okeechobee,6,,26,0,0,26,html version of FL COVID Rep 03-26-2020
Suwannee,14,,28,0,0,28,html version of FL COVID Rep 03-26-2020
Taylor,0,,23,0,0,23,html version of FL COVID Rep 03-26-2020
Union,1,,27,0,0,27,html version of FL COVID Rep 03-26-2020
Unknown,0,,5,0,0,5,html version of FL COVID Rep 03-26-2020
Wakulla,0,,26,0,0,26,html version of FL COVID Rep 03-26-2020
Washington,4,,16,0,0,16,html version of FL COVID Rep 03-26-2020
Total,1440,,23741,2355,9,26099,html version of FL COVID Rep 03-26-2020
