COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,188,41,23288,5354,19,28683,html version of FL COVID Rep 04-08-2020
Broward,54,14,17406,2358,12,19778,html version of FL COVID Rep 04-08-2020
Palm Beach,109,2,5412,1206,18,6620,html version of FL COVID Rep 04-08-2020
Orange,18,0,7737,803,9,8540,html version of FL COVID Rep 04-08-2020
Hillsborough,9,5,9016,626,6,9647,html version of FL COVID Rep 04-08-2020
Duval,92,10,9116,549,6,9675,html version of FL COVID Rep 04-08-2020
Lee,19,2,4031,462,10,4495,html version of FL COVID Rep 04-08-2020
Pinellas,59,6,6997,394,5,7397,html version of FL COVID Rep 04-08-2020
Collier,21,0,2288,277,11,2565,html version of FL COVID Rep 04-08-2020
Osceola,69,1,1622,272,14,1895,html version of FL COVID Rep 04-08-2020
Seminole,12,1,2207,216,9,2424,html version of FL COVID Rep 04-08-2020
Polk,16,1,2986,206,6,3193,html version of FL COVID Rep 04-08-2020
Escambia,1,1,2544,180,7,2725,html version of FL COVID Rep 04-08-2020
Sarasota,4,1,1445,180,11,1626,html version of FL COVID Rep 04-08-2020
Manatee,2,0,1001,171,15,1172,html version of FL COVID Rep 04-08-2020
Volusia,3,1,1630,163,9,1794,html version of FL COVID Rep 04-08-2020
St. Johns,25,1,2468,154,6,2623,html version of FL COVID Rep 04-08-2020
Alachua,8,8,2667,144,5,2819,html version of FL COVID Rep 04-08-2020
Lake,13,1,2132,136,6,2269,html version of FL COVID Rep 04-08-2020
St. Lucie,32,0,1380,130,9,1510,html version of FL COVID Rep 04-08-2020
Pasco,26,2,2679,125,4,2806,html version of FL COVID Rep 04-08-2020
Brevard,2,1,1701,102,6,1804,html version of FL COVID Rep 04-08-2020
Martin,5,0,842,101,11,943,html version of FL COVID Rep 04-08-2020
Clay,4,1,1410,97,6,1508,html version of FL COVID Rep 04-08-2020
Sumter,12,1,910,90,9,1001,html version of FL COVID Rep 04-08-2020
Okaloosa,45,0,623,78,11,701,html version of FL COVID Rep 04-08-2020
Charlotte,6,1,696,76,10,773,html version of FL COVID Rep 04-08-2020
Leon,9,2,1348,71,5,1421,html version of FL COVID Rep 04-08-2020
Santa Rosa,0,0,1054,69,6,1123,html version of FL COVID Rep 04-08-2020
Marion,245,2,1214,65,5,1281,html version of FL COVID Rep 04-08-2020
Indian River,23,0,754,63,8,817,html version of FL COVID Rep 04-08-2020
Hernando,1,2,750,56,7,808,html version of FL COVID Rep 04-08-2020
Citrus,5,0,678,54,7,732,html version of FL COVID Rep 04-08-2020
Monroe,120,0,445,51,10,496,html version of FL COVID Rep 04-08-2020
Suwannee,0,0,187,46,20,233,html version of FL COVID Rep 04-08-2020
Highlands,2,2,278,41,13,321,html version of FL COVID Rep 04-08-2020
Flagler,0,1,459,35,7,495,html version of FL COVID Rep 04-08-2020
Nassau,0,0,503,29,5,532,html version of FL COVID Rep 04-08-2020
Bay,1,0,325,28,8,353,html version of FL COVID Rep 04-08-2020
Walton,0,0,219,26,11,245,html version of FL COVID Rep 04-08-2020
Putnam,5,0,605,21,3,626,html version of FL COVID Rep 04-08-2020
Desoto,2,0,203,18,8,221,html version of FL COVID Rep 04-08-2020
Columbia,13,0,295,17,5,312,html version of FL COVID Rep 04-08-2020
Baker,1,0,152,15,9,167,html version of FL COVID Rep 04-08-2020
Bradford,6,0,184,15,8,199,html version of FL COVID Rep 04-08-2020
Madison,1,0,59,12,17,71,html version of FL COVID Rep 04-08-2020
Hendry,0,1,144,10,6,155,html version of FL COVID Rep 04-08-2020
Gadsden,1,0,111,8,7,119,html version of FL COVID Rep 04-08-2020
Jefferson,1,0,43,8,16,51,html version of FL COVID Rep 04-08-2020
Wakulla,0,0,134,7,5,141,html version of FL COVID Rep 04-08-2020
Levy,2,0,186,5,3,191,html version of FL COVID Rep 04-08-2020
Calhoun,0,0,39,4,9,43,html version of FL COVID Rep 04-08-2020
Glades,0,0,15,4,21,19,html version of FL COVID Rep 04-08-2020
Jackson,1,0,152,4,3,156,html version of FL COVID Rep 04-08-2020
Okeechobee,1,0,140,4,3,144,html version of FL COVID Rep 04-08-2020
Holmes,7,0,64,3,4,67,html version of FL COVID Rep 04-08-2020
Dixie,0,0,80,2,2,82,html version of FL COVID Rep 04-08-2020
Franklin,0,0,43,2,4,45,html version of FL COVID Rep 04-08-2020
Hardee,0,0,46,2,4,48,html version of FL COVID Rep 04-08-2020
Union,1,0,85,2,2,87,html version of FL COVID Rep 04-08-2020
Unknown,18,0,65,2,3,67,html version of FL COVID Rep 04-08-2020
Washington,2,0,79,2,2,81,html version of FL COVID Rep 04-08-2020
Gilchrist,0,0,79,1,1,80,html version of FL COVID Rep 04-08-2020
Gulf,0,0,60,1,2,61,html version of FL COVID Rep 04-08-2020
Hamilton,1,0,49,1,2,50,html version of FL COVID Rep 04-08-2020
Taylor,0,0,72,1,1,73,html version of FL COVID Rep 04-08-2020
Lafayette,1,0,30,0,0,30,html version of FL COVID Rep 04-08-2020
Liberty,0,0,17,0,0,17,html version of FL COVID Rep 04-08-2020
Total,1324,112,127679,15456,11,143247,html version of FL COVID Rep 04-08-2020
