,COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME,INCONCLUSIVE,DATE,DAY_OF_WEEK,NEW_NEGATIVES,NEW_CASES
3430,Leon,5.0,1846,150.0,8.0,2003.0,html version of FL COVID Rep 04-14-2020(PM),2.0,2020-04-14,1,5.0,-1.0
2198,Leon,4.0,977,42.0,4.0,1023.0,html version of FL COVID Rep 04-05-2020(PM),0.0,2020-04-05,6,14.0,-1.0
9258,Washington,3.0,1666,101.0,6.0,1771.0,html version of FL COVID Rep 06-26-2020,1.0,2020-06-26,4,31.0,-1.0
9406,Lafayette,0.0,504,30.0,6.0,535.0,html version of FL COVID Rep 06-28-2020,1.0,2020-06-28,6,4.0,-1.0
8095,Lafayette,0.0,392,12.0,3.0,404.0,html version of FL COVID Rep 06-10-2020,0.0,2020-06-10,2,2.0,-1.0
9474,Jefferson,1.0,1196,46.0,4.0,1244.0,html version of FL COVID Rep 06-29-2020,1.0,2020-06-29,0,25.0,-1.0
6844,Jefferson,0.0,470,29.0,6.0,500.0,html version of FL COVID Rep 05-22-2020,1.0,2020-05-22,4,32.0,-1.0
6275,Jackson,0.0,885,105.0,11.0,991.0,html version of FL COVID Rep 05-14-2020,1.0,2020-05-14,3,14.0,-1.0
2330,Indian River,19.0,612,60.0,9.0,691.0,html version of FL COVID Rep 04-06-2020(PM),0.0,2020-04-06,0,1.0,-1.0
9808,Holmes,0.0,2410,195.0,7.0,2609.0,html version of FL COVID Rep 07-04-2020,4.0,2020-07-04,5,16.0,-1.0
5191,Glades,0.0,55,5.0,8.0,60.0,html version of FL COVID Rep 04-28-2020,0.0,2020-04-28,1,1.0,-1.0
6436,Glades,0.0,92,9.0,9.0,101.0,html version of FL COVID Rep 05-16-2020,0.0,2020-05-16,5,2.0,-1.0
7855,Hamilton,0.0,2040,262.0,11.0,2303.0,html version of FL COVID Rep 06-08-2020,1.0,2020-06-08,0,7.0,-1.0
6884,Hendry,1.0,1418,249.0,15.0,1671.0,html version of FL COVID Rep 05-23-2020,3.0,2020-05-23,5,38.0,-1.0
401,Hernando,10.0,42,5.0,11.0,57.0,html version of FL COVID Rep 03-22-2020,0.0,2020-03-22,6,4.0,-1.0
4406,Hernando,0.0,1236,84.0,6.0,1320.0,html version of FL COVID Rep 04-21-2020(PM),0.0,2020-04-21,1,4.0,-1.0
7887,Gilchrist,0.0,1138,19.0,2.0,1159.0,html version of FL COVID Rep 06-08-2020,2.0,2020-06-08,0,21.0,-1.0
4544,Hernando,0.0,1248,83.0,6.0,1331.0,html version of FL COVID Rep 04-22-2020(PM),0.0,2020-04-22,2,1.0,-1.0
6621,Hernando,0.0,2631,109.0,4.0,2742.0,html version of FL COVID Rep 05-19-2020,2.0,2020-05-19,1,138.0,-1.0
6900,Hernando,0.0,3218,109.0,3.0,3347.0,html version of FL COVID Rep 05-23-2020,20.0,2020-05-23,5,81.0,-1.0
5516,Highlands,5.0,1221,85.0,7.0,1312.0,html version of FL COVID Rep 05-03-2020,1.0,2020-05-03,6,43.0,-1.0
5723,Highlands,7.0,1311,87.0,6.0,1406.0,html version of FL COVID Rep 05-06-2020,1.0,2020-05-06,2,36.0,-1.0
2637,Holmes,8.0,64,2.0,3.0,74.0,html version of FL COVID Rep 04-08-2020(PM),0.0,2020-04-08,2,0.0,-1.0
6435,Holmes,0.0,555,10.0,2.0,565.0,html version of FL COVID Rep 05-16-2020,0.0,2020-05-16,5,4.0,-1.0
5028,Hernando,0.0,1461,88.0,6.0,1549.0,html version of FL COVID Rep 04-26-2020,0.0,2020-04-26,6,27.0,-1.0
9603,Washington,3.0,1734,112.0,6.0,1850.0,html version of FL COVID Rep 07-01-2020,1.0,2020-07-01,2,1.0,-1.0
