mean,min,max,count
448.26490066225165,8.0,3576.0,151
208.19205298013244,-27.0,1772.0,151
144.35099337748343,0.0,1171.0,151
131.27152317880794,0.0,1112.0,151
125.3841059602649,0.0,1371.0,151
88.50993377483444,-7.0,767.0,151
75.74834437086092,0.0,614.0,151
68.4635761589404,-1.0,1275.0,151
50.52980132450331,0.0,405.0,151
42.7682119205298,0.0,257.0,151
34.841059602649004,-2.0,480.0,151
29.549668874172184,-1.0,237.0,151
29.3841059602649,-2.0,306.0,151
28.70198675496689,-3.0,484.0,151
26.874172185430464,-1.0,304.0,151
26.258278145695364,-2.0,220.0,151
23.24503311258278,-2.0,250.0,151
21.29139072847682,-3.0,465.0,151
20.271523178807946,-1.0,199.0,151
18.966887417218544,0.0,137.0,151
17.509933774834437,-2.0,151.0,151
16.205298013245034,-5.0,228.0,151
14.364238410596027,-32.0,107.0,151
12.596026490066226,-2.0,115.0,151
10.874172185430464,-2.0,153.0,151
10.291390728476822,-8.0,105.0,151
9.158940397350994,-1.0,155.0,151
9.125827814569536,-4.0,189.0,151
8.754966887417218,-1.0,173.0,151
8.33774834437086,-2.0,79.0,151
8.218543046357615,-1.0,45.0,151
7.662251655629139,-1.0,44.0,151
6.0198675496688745,-2.0,67.0,151
5.867549668874172,0.0,57.0,151
5.132450331125828,-1.0,56.0,151
4.966887417218543,-20.0,60.0,151
4.496688741721854,-2.0,42.0,151
4.185430463576159,-25.0,89.0,151
4.066225165562914,-1.0,46.0,151
4.046357615894039,-1.0,74.0,151
4.0198675496688745,0.0,47.0,151
3.9006622516556293,-1.0,114.0,151
3.8543046357615895,-1.0,54.0,151
3.814569536423841,-1.0,38.0,151
3.7635135135135136,-49.0,89.0,148
3.748344370860927,-3.0,42.0,151
3.609271523178808,-1.0,44.0,151
3.370860927152318,-1.0,28.0,151
2.9324324324324325,-1.0,67.0,148
2.47972972972973,-1.0,32.0,148
2.1059602649006623,-20.0,31.0,151
1.943661971830986,-1.0,82.0,142
1.8079470198675496,-1.0,26.0,151
1.5472972972972974,-2.0,63.0,148
1.471830985915493,-11.0,29.0,142
1.2649006622516556,-1.0,28.0,151
1.1589403973509933,-2.0,16.0,151
1.0945945945945945,-18.0,22.0,148
0.9662162162162162,-1.0,18.0,148
0.9536423841059603,-1.0,11.0,151
0.9533333333333334,-3.0,47.0,150
0.9256756756756757,-1.0,14.0,148
0.7748344370860927,-1.0,9.0,151
0.7549668874172185,-1.0,10.0,151
0.6490066225165563,0.0,20.0,151
0.5878378378378378,-1.0,9.0,148
0.3708609271523179,-1.0,6.0,151
0.2913907284768212,-1.0,11.0,151
