County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,162,4,11802,2886,20%,14692,04-02-2020
Broward,73,6,11636,1481,11%,13123,04-02-2020
Palm Beach,75,0,3108,737,19%,3845,04-02-2020
Orange,13,0,4716,541,10%,5257,04-02-2020
Hillsborough,6,0,5583,404,7%,5987,04-02-2020
Duval,190,0,4552,286,6%,4838,04-02-2020
Lee,18,0,2381,275,10%,2656,04-02-2020
Pinellas,93,5,3942,273,6%,4220,04-02-2020
Collier,30,0,1415,178,11%,1593,04-02-2020
Osceola,69,0,890,170,16%,1060,04-02-2020
Seminole,16,1,1343,145,10%,1489,04-02-2020
Sarasota,11,0,903,110,11%,1013,04-02-2020
Polk,26,2,1469,103,7%,1574,04-02-2020
St. Johns,39,0,1220,102,8%,1322,04-02-2020
Volusia,1,0,898,102,10%,1000,04-02-2020
Escambia,3,0,1055,101,9%,1156,04-02-2020
Alachua,15,2,1554,95,6%,1651,04-02-2020
Manatee,4,0,562,89,14%,651,04-02-2020
Lake,5,4,1291,82,6%,1377,04-02-2020
Pasco,23,1,1473,66,4%,1540,04-02-2020
Sumter,13,1,760,66,8%,827,04-02-2020
Clay,6,0,654,58,8%,712,04-02-2020
Okaloosa,58,0,288,51,15%,339,04-02-2020
Brevard,1,0,714,49,6%,763,04-02-2020
St. Lucie,17,0,615,48,7%,663,04-02-2020
Santa Rosa,2,0,430,47,10%,477,04-02-2020
Indian River,15,0,370,41,10%,411,04-02-2020
Charlotte,5,0,354,38,10%,392,04-02-2020
Monroe,81,0,228,38,14%,266,04-02-2020
Leon,3,0,680,35,5%,715,04-02-2020
Hernando,3,0,386,34,8%,420,04-02-2020
Martin,4,0,422,34,7%,456,04-02-2020
Marion,181,0,726,33,4%,759,04-02-2020
Citrus,8,0,319,27,8%,346,04-02-2020
Flagler,0,1,229,25,10%,255,04-02-2020
Highlands,9,2,111,24,18%,137,04-02-2020
Walton,0,0,126,19,13%,145,04-02-2020
Nassau,0,0,214,16,7%,230,04-02-2020
Bay,2,0,172,15,8%,187,04-02-2020
Putnam,5,0,320,14,4%,334,04-02-2020
Baker,1,0,82,11,12%,93,04-02-2020
Unknown,8,0,20,9,31%,29,04-02-2020
Desoto,4,0,120,8,6%,128,04-02-2020
Suwannee,16,0,79,7,8%,86,04-02-2020
Bradford,0,0,82,5,6%,87,04-02-2020
Columbia,39,0,154,4,3%,158,04-02-2020
Hendry,3,0,72,4,5%,76,04-02-2020
Jackson,11,0,81,4,5%,85,04-02-2020
Glades,0,0,4,3,43%,7,04-02-2020
Gadsden,0,0,50,2,4%,52,04-02-2020
Levy,1,0,112,2,2%,114,04-02-2020
Madison,0,0,32,2,6%,34,04-02-2020
Wakulla,0,0,63,2,3%,65,04-02-2020
Calhoun,0,0,17,1,6%,18,04-02-2020
Gulf,0,0,45,1,2%,46,04-02-2020
Hardee,0,0,25,1,4%,26,04-02-2020
Holmes,6,0,31,1,3%,32,04-02-2020
Okeechobee,3,0,65,1,2%,66,04-02-2020
Union,2,0,45,1,2%,46,04-02-2020
Washington,6,0,48,1,2%,49,04-02-2020
Dixie,0,0,47,0,0%,47,04-02-2020
Franklin,0,0,21,0,0%,21,04-02-2020
Gilchrist,0,0,44,0,0%,44,04-02-2020
Hamilton,3,0,25,0,0%,25,04-02-2020
Jefferson,0,0,21,0,0%,21,04-02-2020
Lafayette,0,0,12,0,0%,12,04-02-2020
Liberty,0,0,3,0,0%,3,04-02-2020
Taylor,1,0,37,0,0%,37,04-02-2020
Total,1389,29,71348,9008,11%,80385,04-02-2020
