County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,309,182,96317,14007,13%,110506,05-10-2020
Broward,23,58,58541,5858,9%,64457,05-10-2020
Palm Beach,65,223,36826,3870,9%,40919,05-10-2020
Orange,16,36,34295,1505,4%,35836,05-10-2020
Hillsborough,20,39,28811,1432,5%,30282,05-10-2020
Lee,7,4,13017,1268,9%,14289,05-10-2020
Duval,80,14,31526,1164,4%,32704,05-10-2020
Pinellas,182,13,18883,861,4%,19757,05-10-2020
Manatee,,6,6947,776,10%,7729,05-10-2020
Collier,5,2,6187,752,11%,6941,05-10-2020
Escambia,15,7,9953,638,6%,10598,05-10-2020
Polk,4,3,9797,636,6%,10436,05-10-2020
Osceola,42,13,7577,572,7%,8162,05-10-2020
Volusia,,9,12176,548,4%,12733,05-10-2020
Sarasota,2,1,6166,426,6%,6593,05-10-2020
Seminole,4,10,9925,415,4%,10350,05-10-2020
Charlotte,6,1,3021,329,10%,3351,05-10-2020
Brevard,1,3,11709,328,3%,12040,05-10-2020
Alachua,,8,8124,312,4%,8444,05-10-2020
Clay,,1,4577,300,6%,4878,05-10-2020
Pasco,22,6,7538,297,4%,7841,05-10-2020
St. Lucie,58,4,4849,282,5%,5135,05-10-2020
Martin,6,,2199,255,10%,2454,05-10-2020
Leon,10,3,5645,254,4%,5902,05-10-2020
Sumter,24,1,2063,244,11%,2308,05-10-2020
Lake,10,6,8781,242,3%,9029,05-10-2020
St. Johns,10,11,6194,222,3%,6427,05-10-2020
Marion,217,1,6097,208,3%,6306,05-10-2020
Liberty,,,1834,198,10%,2032,05-10-2020
Santa Rosa,1,2,3903,173,4%,4078,05-10-2020
Okaloosa,1,,3011,169,5%,3180,05-10-2020
Flagler,,5,2049,147,7%,2201,05-10-2020
Suwannee,,,1141,146,11%,1287,05-10-2020
Hendry,1,,817,145,15%,962,05-10-2020
Gadsden,1,,735,128,15%,863,05-10-2020
Putnam,3,1,2220,126,5%,2347,05-10-2020
Citrus,1,2,1909,106,5%,2017,05-10-2020
Columbia,5,,1463,103,7%,1566,05-10-2020
Indian River,60,,2189,100,4%,2289,05-10-2020
Hernando,,,2068,100,5%,2168,05-10-2020
Highlands,5,1,1604,98,6%,1703,05-10-2020
Jackson,,,711,91,11%,802,05-10-2020
Monroe,40,,1543,88,5%,1631,05-10-2020
Bay,,2,1790,76,4%,1868,05-10-2020
Walton,,1,768,61,7%,830,05-10-2020
Madison,,,467,61,12%,528,05-10-2020
Nassau,1,,1816,60,3%,1876,05-10-2020
Unknown,1,,169,50,23%,219,05-10-2020
Bradford,1,,893,48,5%,941,05-10-2020
Desoto,5,,1272,47,4%,1319,05-10-2020
Hardee,,,242,36,13%,278,05-10-2020
Wakulla,,,592,29,5%,621,05-10-2020
Okeechobee,,2,909,28,3%,939,05-10-2020
Jefferson,1,,189,28,13%,217,05-10-2020
Calhoun,,1,200,27,12%,228,05-10-2020
Baker,,,493,25,5%,518,05-10-2020
Levy,,,863,20,2%,883,05-10-2020
Hamilton,,,238,18,7%,256,05-10-2020
Dixie,,,281,13,4%,294,05-10-2020
Washington,,,330,12,4%,342,05-10-2020
Holmes,,,521,10,2%,531,05-10-2020
Glades,,,80,7,8%,87,05-10-2020
Gilchrist,,,309,6,2%,315,05-10-2020
Union,,,295,6,2%,301,05-10-2020
Taylor,,,313,3,1%,316,05-10-2020
Lafayette,,,91,3,3%,94,05-10-2020
Franklin,,,125,2,2%,127,05-10-2020
Gulf,,,168,1,1%,169,05-10-2020
Total,1265,682,498352,40596,8%,539630,05-10-2020
