County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,230,167,44923,9166,17%,54256,04-19-2020
Broward,56,38,29367,3960,12%,33365,04-19-2020
Palm Beach,64,303,13544,2156,13%,16003,04-19-2020
Orange,11,4,14841,1189,7%,16034,04-19-2020
Hillsborough,9,33,14109,952,6%,15094,04-19-2020
Duval,70,10,15686,847,5%,16543,04-19-2020
Lee,69,2,5801,753,11%,6556,04-19-2020
Pinellas,56,9,9762,591,6%,10362,04-19-2020
Collier,19,1,3741,460,11%,4202,04-19-2020
Manatee,2,2,2007,407,17%,2416,04-19-2020
Osceola,65,1,3111,406,12%,3518,04-19-2020
Volusia,6,1,4712,331,7%,5044,04-19-2020
Polk,8,2,4728,324,6%,5054,04-19-2020
Seminole,8,2,3771,318,8%,4091,04-19-2020
Escambia,29,5,4248,309,7%,4562,04-19-2020
Sarasota,3,1,3104,283,8%,3388,04-19-2020
Clay,1,1,2600,227,8%,2828,04-19-2020
Brevard,2,4,5453,215,4%,5672,04-19-2020
Alachua,3,8,4824,209,4%,5041,04-19-2020
Lake,14,1,3502,206,6%,3709,04-19-2020
Pasco,21,6,3969,204,5%,4179,04-19-2020
St. Lucie,35,2,2088,202,9%,2292,04-19-2020
St. Johns,8,1,3726,188,5%,3915,04-19-2020
Leon,6,2,2206,176,7%,2384,04-19-2020
Martin,8,1,1182,150,11%,1333,04-19-2020
Sumter,26,1,1379,145,10%,1525,04-19-2020
Santa Rosa,1,1,1910,138,7%,2049,04-19-2020
Charlotte,6,2,1221,138,10%,1361,04-19-2020
Okaloosa,11,1,1511,131,8%,1643,04-19-2020
Marion,185,2,2640,121,4%,2763,04-19-2020
Suwannee,,,345,90,21%,435,04-19-2020
Indian River,59,,1197,84,7%,1281,04-19-2020
Hernando,,,1186,84,7%,1270,04-19-2020
Citrus,2,1,1173,83,7%,1257,04-19-2020
Flagler,,1,908,75,8%,984,04-19-2020
Monroe,44,,859,73,8%,932,04-19-2020
Highlands,2,1,528,70,12%,599,04-19-2020
Putnam,3,,975,56,5%,1031,04-19-2020
Bay,,1,776,55,7%,832,04-19-2020
Gadsden,,,273,50,15%,323,04-19-2020
Nassau,,,902,43,5%,945,04-19-2020
Bradford,2,,550,42,7%,592,04-19-2020
Hendry,,,261,41,14%,302,04-19-2020
Columbia,12,,517,39,7%,556,04-19-2020
Walton,,1,391,32,8%,424,04-19-2020
Jefferson,,,94,26,22%,120,04-19-2020
Desoto,,,390,23,6%,413,04-19-2020
Madison,2,,159,21,12%,180,04-19-2020
Baker,,,255,17,6%,272,04-19-2020
Wakulla,,,210,14,6%,224,04-19-2020
Levy,2,,372,11,3%,383,04-19-2020
Jackson,,,260,8,3%,268,04-19-2020
Okeechobee,1,,253,7,3%,260,04-19-2020
Holmes,4,,192,6,3%,198,04-19-2020
Washington,1,,164,6,4%,170,04-19-2020
Calhoun,,,80,6,7%,86,04-19-2020
Glades,,,34,5,13%,39,04-19-2020
Gilchrist,1,,165,4,2%,169,04-19-2020
Hardee,,,90,4,4%,94,04-19-2020
Union,1,,158,3,2%,161,04-19-2020
Dixie,1,,151,3,2%,154,04-19-2020
Hamilton,1,,92,3,3%,95,04-19-2020
Unknown,9,,36,3,8%,39,04-19-2020
Franklin,,,64,2,3%,66,04-19-2020
Liberty,,,36,2,5%,38,04-19-2020
Taylor,,,166,1,1%,167,04-19-2020
Gulf,,,108,1,1%,109,04-19-2020
Lafayette,,,47,1,2%,48,04-19-2020
Total,1179,619,230083,25996,10%,256698,04-19-2020
