County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,79,2,7298,1474,17%,8774,03-29-2020
Broward,118,1,8836,1012,10%,9849,03-29-2020
Palm Beach,35,0,1851,383,17%,2234,03-29-2020
Orange,11,0,2668,268,9%,2936,03-29-2020
Hillsborough,6,0,3296,225,6%,3521,03-29-2020
Lee,8,0,1513,152,9%,1665,03-29-2020
Duval,218,0,2081,142,6%,2223,03-29-2020
Pinellas,55,0,2046,116,5%,2162,03-29-2020
Collier,25,0,971,111,10%,1082,03-29-2020
Osceola,64,0,512,89,15%,601,03-29-2020
Seminole,24,1,876,81,8%,958,03-29-2020
Alachua,19,0,1177,72,6%,1249,03-29-2020
Sarasota,24,0,677,61,8%,738,03-29-2020
Volusia,5,0,583,60,9%,643,03-29-2020
St. Johns,22,0,746,59,7%,805,03-29-2020
Polk,40,0,740,46,6%,786,03-29-2020
Sumter,1,4,628,45,7%,677,03-29-2020
Lake,7,1,875,44,5%,920,03-29-2020
Manatee,6,0,274,38,12%,312,03-29-2020
Escambia,1,0,590,37,6%,627,03-29-2020
Pasco,10,1,765,35,4%,801,03-29-2020
Clay,3,0,309,33,10%,342,03-29-2020
Okaloosa,10,0,187,32,15%,219,03-29-2020
Brevard,6,0,483,30,6%,513,03-29-2020
Martin,2,0,230,27,11%,257,03-29-2020
St. Lucie,15,0,350,24,6%,374,03-29-2020
Monroe,51,0,137,23,14%,160,03-29-2020
Marion,101,0,469,22,4%,491,03-29-2020
Hernando,1,0,227,20,8%,247,03-29-2020
Indian River,4,0,218,20,8%,238,03-29-2020
Santa Rosa,2,0,250,20,7%,270,03-29-2020
Leon,1,0,478,18,4%,496,03-29-2020
Charlotte,4,0,220,16,7%,236,03-29-2020
Citrus,4,0,194,16,8%,210,03-29-2020
Walton,1,0,89,15,14%,104,03-29-2020
Flagler,0,0,158,13,8%,171,03-29-2020
Highlands,18,1,54,12,18%,67,03-29-2020
Putnam,8,0,223,12,5%,235,03-29-2020
Baker,1,0,54,8,13%,62,03-29-2020
Nassau,0,0,93,8,8%,101,03-29-2020
Desoto,12,0,87,7,7%,94,03-29-2020
Bay,1,0,97,6,6%,103,03-29-2020
Columbia,36,1,105,3,3%,109,03-29-2020
Bradford,0,0,57,2,3%,59,03-29-2020
Hendry,1,0,44,2,4%,46,03-29-2020
Jackson,3,0,67,2,3%,69,03-29-2020
Levy,0,0,79,2,2%,81,03-29-2020
Suwannee,8,0,54,2,4%,56,03-29-2020
Gadsden,0,0,39,1,3%,40,03-29-2020
Glades,0,0,4,1,20%,5,03-29-2020
Unknown,0,0,11,1,8%,12,03-29-2020
Wakulla,0,0,41,1,2%,42,03-29-2020
Washington,6,0,31,1,3%,32,03-29-2020
Calhoun,0,0,11,0,0%,11,03-29-2020
Dixie,0,0,30,0,0%,30,03-29-2020
Franklin,0,0,17,0,0%,17,03-29-2020
Gilchrist,0,0,32,0,0%,32,03-29-2020
Gulf,0,0,32,0,0%,32,03-29-2020
Hamilton,2,0,16,0,0%,16,03-29-2020
Hardee,0,0,14,0,0%,14,03-29-2020
Holmes,4,0,25,0,0%,25,03-29-2020
Jefferson,0,0,16,0,0%,16,03-29-2020
Lafayette,0,0,11,0,0%,11,03-29-2020
Liberty,0,0,3,0,0%,3,03-29-2020
Madison,0,0,23,0,0%,23,03-29-2020
Okeechobee,1,0,44,0,0%,44,03-29-2020
Taylor,0,0,30,0,0%,30,03-29-2020
Union,1,0,35,0,0%,35,03-29-2020
Total,1085,12,44481,4950,10%,49443,03-29-2020
