County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,267,161,55955,10356,16%,66472,04-23-2020
Broward,47,34,33101,4315,12%,37450,04-23-2020
Palm Beach,50,270,18288,2468,12%,21026,04-23-2020
Orange,17,3,17868,1260,7%,19131,04-23-2020
Hillsborough,13,36,15264,988,6%,16288,04-23-2020
Duval,70,11,17988,937,5%,18936,04-23-2020
Lee,56,2,6471,823,11%,7296,04-23-2020
Pinellas,90,9,10746,649,6%,11404,04-23-2020
Collier,15,1,4027,490,11%,4518,04-23-2020
Manatee,2,2,2334,451,16%,2787,04-23-2020
Osceola,62,1,3518,431,11%,3950,04-23-2020
Escambia,22,5,5097,419,8%,5521,04-23-2020
Volusia,3,2,5838,377,6%,6217,04-23-2020
Polk,7,2,5310,369,6%,5681,04-23-2020
Seminole,6,3,4129,334,7%,4466,04-23-2020
Sarasota,2,1,3436,304,8%,3741,04-23-2020
Clay,1,1,2929,260,8%,3190,04-23-2020
Alachua,,8,5356,229,4%,5593,04-23-2020
Brevard,2,3,6063,226,4%,6292,04-23-2020
Pasco,29,6,4277,221,5%,4504,04-23-2020
St. Lucie,54,2,2293,215,9%,2510,04-23-2020
Lake,11,1,3940,214,5%,4155,04-23-2020
St. Johns,10,1,4045,195,5%,4241,04-23-2020
Leon,9,2,2413,187,7%,2602,04-23-2020
Sumter,26,1,1471,165,10%,1637,04-23-2020
Martin,5,,1319,163,11%,1482,04-23-2020
Charlotte,6,2,1323,161,11%,1486,04-23-2020
Santa Rosa,1,1,2088,141,6%,2230,04-23-2020
Okaloosa,11,,1655,137,8%,1792,04-23-2020
Marion,254,2,2983,135,4%,3120,04-23-2020
Suwannee,,,382,105,22%,487,04-23-2020
Citrus,1,1,1241,92,7%,1334,04-23-2020
Indian River,68,,1299,86,6%,1385,04-23-2020
Hernando,,,1254,83,6%,1337,04-23-2020
Flagler,,1,1015,78,7%,1094,04-23-2020
Monroe,45,,931,73,7%,1004,04-23-2020
Highlands,,1,576,72,11%,649,04-23-2020
Putnam,3,,1058,68,6%,1126,04-23-2020
Gadsden,,,313,62,17%,375,04-23-2020
Bay,,1,907,60,6%,968,04-23-2020
Hendry,,,297,56,16%,353,04-23-2020
Nassau,,,1151,48,4%,1199,04-23-2020
Columbia,9,,631,44,7%,675,04-23-2020
Bradford,1,,587,42,7%,629,04-23-2020
Madison,2,,189,37,16%,226,04-23-2020
Walton,,1,461,32,6%,494,04-23-2020
Jefferson,,,101,26,20%,127,04-23-2020
Desoto,4,,424,24,5%,448,04-23-2020
Baker,,,295,18,6%,313,04-23-2020
Wakulla,,,230,16,7%,246,04-23-2020
Levy,3,,424,13,3%,437,04-23-2020
Jackson,,,319,11,3%,330,04-23-2020
Washington,1,,242,10,4%,252,04-23-2020
Holmes,7,,383,8,2%,391,04-23-2020
Okeechobee,2,,278,8,3%,286,04-23-2020
Hamilton,1,,110,6,5%,116,04-23-2020
Calhoun,,,91,6,6%,97,04-23-2020
Glades,,,40,5,11%,45,04-23-2020
Gilchrist,1,,184,4,2%,188,04-23-2020
Dixie,1,,167,4,2%,171,04-23-2020
Hardee,,,95,4,4%,99,04-23-2020
Union,2,,176,3,2%,179,04-23-2020
Taylor,1,,179,2,1%,181,04-23-2020
Franklin,,,74,2,3%,76,04-23-2020
Liberty,,,39,2,5%,41,04-23-2020
Gulf,,,114,1,1%,115,04-23-2020
Lafayette,,,57,1,2%,58,04-23-2020
Unknown,1,,37,,,37,04-23-2020
Total,1301,578,267876,28832,10%,297286,04-23-2020
