County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,196,495,36892,7863,17%,45250,04-15-2020
Broward,57,34,24465,3334,12%,27833,04-15-2020
Palm Beach,75,112,9484,1782,16%,11378,04-15-2020
Orange,19,47,11668,1051,8%,12766,04-15-2020
Hillsborough,6,31,11978,866,7%,12875,04-15-2020
Duval,74,11,13230,735,5%,13976,04-15-2020
Lee,27,3,5332,669,11%,6004,04-15-2020
Pinellas,75,9,8833,502,5%,9344,04-15-2020
Collier,16,1,3319,390,11%,3710,04-15-2020
Osceola,67,10,2481,353,12%,2844,04-15-2020
Polk,10,3,4072,282,6%,4357,04-15-2020
Seminole,12,11,3093,281,8%,3385,04-15-2020
Manatee,1,1,1546,273,15%,1820,04-15-2020
Escambia,28,5,3617,254,7%,3876,04-15-2020
Sarasota,3,1,2312,247,10%,2560,04-15-2020
Volusia,9,3,3344,231,6%,3578,04-15-2020
Alachua,4,11,4008,196,5%,4215,04-15-2020
Pasco,20,6,3500,182,5%,3688,04-15-2020
St. Johns,10,2,3245,177,5%,3424,04-15-2020
Lake,16,6,2891,170,6%,3067,04-15-2020
Clay,1,1,2073,170,8%,2244,04-15-2020
St. Lucie,42,1,1824,169,8%,1994,04-15-2020
Brevard,2,391,3026,164,5%,3581,04-15-2020
Leon,5,2,1859,152,8%,2013,04-15-2020
Martin,9,,1064,137,11%,1201,04-15-2020
Charlotte,6,2,1041,123,11%,1166,04-15-2020
Santa Rosa,1,1,1595,114,7%,1710,04-15-2020
Sumter,30,1,1102,114,9%,1217,04-15-2020
Okaloosa,11,1,1259,105,8%,1365,04-15-2020
Marion,341,5,2017,104,5%,2126,04-15-2020
Suwannee,,,305,78,20%,383,04-15-2020
Indian River,63,1,1041,77,7%,1119,04-15-2020
Citrus,4,6,995,74,7%,1075,04-15-2020
Hernando,,,1066,73,6%,1139,04-15-2020
Monroe,59,,721,64,8%,785,04-15-2020
Highlands,1,2,432,62,13%,496,04-15-2020
Putnam,3,,866,45,5%,911,04-15-2020
Flagler,1,2,746,45,6%,793,04-15-2020
Bay,,1,597,39,6%,637,04-15-2020
Gadsden,,,200,39,16%,239,04-15-2020
Nassau,,,709,36,5%,745,04-15-2020
Bradford,5,,288,35,11%,323,04-15-2020
Columbia,9,,439,30,6%,469,04-15-2020
Walton,1,1,331,29,8%,361,04-15-2020
Hendry,,,206,23,10%,229,04-15-2020
Desoto,,,328,22,6%,350,04-15-2020
Baker,,,225,17,7%,242,04-15-2020
Madison,1,,110,14,11%,124,04-15-2020
Wakulla,,,184,13,7%,197,04-15-2020
Jefferson,1,,60,13,18%,73,04-15-2020
Levy,,,309,7,2%,316,04-15-2020
Jackson,,,206,6,3%,212,04-15-2020
Gilchrist,,,137,6,4%,143,04-15-2020
Okeechobee,1,,209,5,2%,214,04-15-2020
Washington,2,,105,5,5%,110,04-15-2020
Calhoun,,,58,5,8%,63,04-15-2020
Glades,,,27,5,16%,32,04-15-2020
Holmes,4,,92,4,4%,96,04-15-2020
Unknown,11,,33,4,11%,37,04-15-2020
Hardee,,,76,3,4%,79,04-15-2020
Union,3,,124,2,2%,126,04-15-2020
Dixie,1,,119,2,2%,121,04-15-2020
Hamilton,1,,75,2,3%,77,04-15-2020
Franklin,,,57,2,3%,59,04-15-2020
Liberty,,,26,2,7%,28,04-15-2020
Taylor,,1,134,1,1%,136,04-15-2020
Gulf,,,96,1,1%,97,04-15-2020
Lafayette,,,40,1,2%,41,04-15-2020
Total,1344,1221,187942,22081,10%,211244,04-15-2020
