County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,270,164,55334,10289,16%,65787,04-22-2020
Broward,49,35,32621,4254,12%,36910,04-22-2020
Palm Beach,52,278,17184,2413,12%,19875,04-22-2020
Orange,17,3,17722,1258,7%,18983,04-22-2020
Hillsborough,12,36,15080,986,6%,16102,04-22-2020
Duval,70,11,17903,936,5%,18850,04-22-2020
Lee,55,2,6000,821,12%,6823,04-22-2020
Pinellas,91,9,10537,641,6%,11187,04-22-2020
Collier,18,1,3964,487,11%,4452,04-22-2020
Manatee,3,2,2305,448,16%,2755,04-22-2020
Osceola,60,1,3498,427,11%,3926,04-22-2020
Escambia,21,5,4898,415,8%,5318,04-22-2020
Volusia,4,2,5776,376,6%,6154,04-22-2020
Polk,7,2,5220,364,7%,5586,04-22-2020
Seminole,6,3,4115,333,7%,4451,04-22-2020
Sarasota,2,1,3401,302,8%,3704,04-22-2020
Clay,1,1,2905,259,8%,3165,04-22-2020
Brevard,2,3,6045,226,4%,6274,04-22-2020
Alachua,,8,5271,226,4%,5505,04-22-2020
Pasco,22,6,4224,220,5%,4450,04-22-2020
Lake,11,1,3893,214,5%,4108,04-22-2020
St. Lucie,54,2,2258,213,9%,2473,04-22-2020
St. Johns,6,1,4027,195,5%,4223,04-22-2020
Leon,9,2,2384,187,7%,2573,04-22-2020
Sumter,26,1,1464,164,10%,1629,04-22-2020
Martin,6,,1306,162,11%,1468,04-22-2020
Charlotte,6,2,1301,154,11%,1457,04-22-2020
Santa Rosa,1,1,2076,140,6%,2217,04-22-2020
Okaloosa,11,1,1636,134,8%,1771,04-22-2020
Marion,253,2,2939,132,4%,3073,04-22-2020
Suwannee,,,379,104,22%,483,04-22-2020
Citrus,1,1,1237,92,7%,1330,04-22-2020
Indian River,67,1,1295,85,6%,1381,04-22-2020
Hernando,,,1248,83,6%,1331,04-22-2020
Flagler,,1,990,78,7%,1069,04-22-2020
Monroe,42,,920,73,7%,993,04-22-2020
Highlands,,1,567,71,11%,639,04-22-2020
Putnam,3,,1047,68,6%,1115,04-22-2020
Bay,,1,883,60,6%,944,04-22-2020
Gadsden,,,308,59,16%,367,04-22-2020
Hendry,,,290,55,16%,345,04-22-2020
Nassau,,,1137,46,4%,1183,04-22-2020
Columbia,9,,624,44,7%,668,04-22-2020
Bradford,2,,582,42,7%,624,04-22-2020
Madison,2,,185,35,16%,220,04-22-2020
Walton,,1,459,32,7%,492,04-22-2020
Jefferson,,,101,26,20%,127,04-22-2020
Desoto,1,,422,24,5%,446,04-22-2020
Baker,,,292,17,6%,309,04-22-2020
Wakulla,,,230,16,7%,246,04-22-2020
Levy,3,,418,13,3%,431,04-22-2020
Jackson,,,319,11,3%,330,04-22-2020
Washington,1,,240,10,4%,250,04-22-2020
Holmes,6,,379,8,2%,387,04-22-2020
Okeechobee,2,,276,8,3%,284,04-22-2020
Hamilton,1,,108,6,5%,114,04-22-2020
Calhoun,,,91,6,6%,97,04-22-2020
Glades,,,40,5,11%,45,04-22-2020
Gilchrist,1,,183,4,2%,187,04-22-2020
Dixie,1,,166,4,2%,170,04-22-2020
Hardee,,,95,4,4%,99,04-22-2020
Union,3,,174,3,2%,177,04-22-2020
Taylor,1,,178,2,1%,180,04-22-2020
Franklin,,,74,2,3%,76,04-22-2020
Liberty,,,39,2,5%,41,04-22-2020
Gulf,,,111,1,1%,112,04-22-2020
Lafayette,,,55,1,2%,56,04-22-2020
Unknown,1,,37,,,37,04-22-2020
,,,2,,,2,04-22-2020
Total,1292,592,263468,28576,10%,292636,04-22-2020
