County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,103,2,6088,1121,16%,7211,03-28-2020
Broward,151,1,7054,820,10%,7875,03-28-2020
Palm Beach,30,0,1647,318,16%,1965,03-28-2020
Orange,15,0,2176,213,9%,2389,03-28-2020
Hillsborough,7,0,3057,206,6%,3263,03-28-2020
Duval,221,0,1775,120,6%,1895,03-28-2020
Lee,18,0,1251,119,9%,1370,03-28-2020
Pinellas,56,0,1789,111,6%,1900,03-28-2020
Collier,45,0,834,95,10%,929,03-28-2020
Osceola,63,0,437,74,14%,511,03-28-2020
Alachua,21,0,1111,68,6%,1179,03-28-2020
Seminole,29,0,729,68,9%,797,03-28-2020
Sarasota,27,0,622,50,7%,672,03-28-2020
St. Johns,33,0,629,50,7%,679,03-28-2020
Volusia,6,0,478,44,8%,522,03-28-2020
Sumter,6,5,545,40,7%,590,03-28-2020
Lake,7,0,762,38,5%,800,03-28-2020
Polk,50,0,624,37,6%,661,03-28-2020
Pasco,13,1,713,34,5%,748,03-28-2020
Manatee,5,0,245,32,12%,277,03-28-2020
Okaloosa,11,0,164,31,16%,195,03-28-2020
Escambia,1,0,454,28,6%,482,03-28-2020
Brevard,10,0,409,27,6%,436,03-28-2020
Clay,3,0,273,26,9%,299,03-28-2020
Martin,2,0,198,26,12%,224,03-28-2020
Monroe,52,0,117,22,16%,139,03-28-2020
St. Lucie,11,0,306,22,7%,328,03-28-2020
Marion,134,0,390,18,4%,408,03-28-2020
Leon,1,0,410,17,4%,427,03-28-2020
Charlotte,5,0,190,16,8%,206,03-28-2020
Indian River,7,0,199,16,7%,215,03-28-2020
Santa Rosa,3,0,200,16,7%,216,03-28-2020
Citrus,6,0,163,15,8%,178,03-28-2020
Walton,1,0,83,15,15%,98,03-28-2020
Hernando,1,0,202,14,6%,216,03-28-2020
Flagler,0,0,137,13,9%,150,03-28-2020
Putnam,9,0,192,12,6%,204,03-28-2020
Highlands,20,1,44,10,18%,55,03-28-2020
Baker,1,0,44,7,14%,51,03-28-2020
Desoto,39,0,52,7,12%,59,03-28-2020
Nassau,0,0,80,7,8%,87,03-28-2020
Bay,1,0,85,5,6%,90,03-28-2020
Columbia,43,1,87,3,3%,91,03-28-2020
Bradford,0,0,52,1,2%,53,03-28-2020
Gadsden,0,0,36,1,3%,37,03-28-2020
Hendry,1,0,37,1,3%,38,03-28-2020
Jackson,7,0,60,1,2%,61,03-28-2020
Levy,0,0,62,1,2%,63,03-28-2020
Suwannee,11,0,44,1,2%,45,03-28-2020
Washington,7,0,27,1,4%,28,03-28-2020
Calhoun,0,0,11,0,0%,11,03-28-2020
Dixie,0,0,27,0,0%,27,03-28-2020
Franklin,0,0,15,0,0%,15,03-28-2020
Gilchrist,0,0,24,0,0%,24,03-28-2020
Glades,0,0,4,0,0%,4,03-28-2020
Gulf,0,0,32,0,0%,32,03-28-2020
Hamilton,2,0,14,0,0%,14,03-28-2020
Hardee,0,0,12,0,0%,12,03-28-2020
Holmes,5,0,21,0,0%,21,03-28-2020
Jefferson,0,0,12,0,0%,12,03-28-2020
Lafayette,0,0,9,0,0%,9,03-28-2020
Liberty,0,0,2,0,0%,2,03-28-2020
Madison,0,0,21,0,0%,21,03-28-2020
Okeechobee,1,0,43,0,0%,43,03-28-2020
Taylor,0,0,28,0,0%,28,03-28-2020
Union,1,0,33,0,0%,33,03-28-2020
Unknown,0,0,11,0,0%,11,03-28-2020
Wakulla,0,0,38,0,0%,38,03-28-2020
Total,1302,11,37720,4038,10%,41769,03-28-2020
