County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,60,196,157290,17641,10%,175127,05-29-2020
Broward,24,58,96328,6975,7%,103361,05-29-2020
Palm Beach,130,236,65869,5765,8%,71870,05-29-2020
Hillsborough,21,80,54314,2069,4%,56463,05-29-2020
Orange,14,53,67941,1945,3%,69939,05-29-2020
Lee,45,6,26561,1847,7%,28414,05-29-2020
Duval,77,28,51001,1561,3%,52590,05-29-2020
Collier,6,7,14656,1454,9%,16117,05-29-2020
Pinellas,113,15,38804,1238,3%,40057,05-29-2020
Manatee,2,9,16567,1022,6%,17598,05-29-2020
Polk,8,6,19121,977,5%,20104,05-29-2020
Escambia,2,9,18749,791,4%,19549,05-29-2020
Volusia,1,20,21089,725,3%,21834,05-29-2020
Osceola,45,14,13535,688,5%,14237,05-29-2020
Sarasota,1,5,14642,622,4%,15269,05-29-2020
Martin,5,6,7305,601,8%,7912,05-29-2020
Seminole,3,12,18854,481,2%,19347,05-29-2020
St. Lucie,80,7,10301,449,4%,10757,05-29-2020
Charlotte,3,1,5521,446,7%,5968,05-29-2020
Brevard,1,2,21869,409,2%,22280,05-29-2020
Leon,11,5,14137,401,3%,14543,05-29-2020
Hendry,1,1,1875,387,17%,2263,05-29-2020
Alachua,,8,17644,378,2%,18030,05-29-2020
Pasco,19,11,14473,377,3%,14861,05-29-2020
Clay,,4,8986,374,4%,9364,05-29-2020
Lake,13,10,15888,291,2%,16189,05-29-2020
Gadsden,,8,3550,269,7%,3827,05-29-2020
Sumter,23,5,3855,253,6%,4113,05-29-2020
St. Johns,12,23,10527,252,2%,10802,05-29-2020
Jackson,2,11,3201,248,7%,3460,05-29-2020
Marion,404,1,12013,243,2%,12257,05-29-2020
Santa Rosa,1,3,7645,240,3%,7888,05-29-2020
Hamilton,,1,1798,221,11%,2020,05-29-2020
Liberty,,2,2021,213,10%,2236,05-29-2020
Okaloosa,,2,7151,207,3%,7360,05-29-2020
Flagler,,7,4064,182,4%,4253,05-29-2020
Desoto,6,1,2296,171,7%,2468,05-29-2020
Suwannee,,2,2196,166,7%,2364,05-29-2020
Putnam,2,2,3470,149,4%,3621,05-29-2020
Columbia,4,6,3528,140,4%,3674,05-29-2020
Indian River,56,,5332,122,2%,5454,05-29-2020
Citrus,1,3,4082,120,3%,4205,05-29-2020
Highlands,4,3,3997,120,3%,4120,05-29-2020
Walton,,4,1651,114,6%,1769,05-29-2020
Hernando,,1,3880,113,3%,3994,05-29-2020
Monroe,99,,2527,108,4%,2635,05-29-2020
Bay,,2,3699,98,3%,3799,05-29-2020
Hardee,,,761,91,11%,852,05-29-2020
Unknown,1,15,1352,83,6%,1450,05-29-2020
Nassau,,,3604,74,2%,3678,05-29-2020
Okeechobee,,,1578,70,4%,1648,05-29-2020
Madison,,2,992,69,6%,1063,05-29-2020
Washington,7,1,891,54,6%,946,05-29-2020
Calhoun,,2,533,53,9%,588,05-29-2020
Bradford,1,1,1564,51,3%,1616,05-29-2020
Dixie,,1,826,49,6%,876,05-29-2020
Wakulla,,,1355,33,2%,1388,05-29-2020
Union,,,1763,31,2%,1794,05-29-2020
Levy,,,1838,31,2%,1869,05-29-2020
Jefferson,,1,609,29,5%,639,05-29-2020
Baker,,,942,28,3%,970,05-29-2020
Glades,,,226,27,11%,253,05-29-2020
Taylor,,1,896,19,2%,916,05-29-2020
Holmes,,,789,19,2%,808,05-29-2020
Gilchrist,,1,725,12,2%,738,05-29-2020
Lafayette,,,365,8,2%,373,05-29-2020
Franklin,,,590,2,0%,592,05-29-2020
Gulf,,,740,1,0%,741,05-29-2020
Total,1308,921,928742,54497,6%,984160,05-29-2020
