County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,215,83,25778,5898,19%,31759,04-09-2020
Broward,62,17,18668,2480,12%,21165,04-09-2020
Palm Beach,123,3,5998,1333,18%,7334,04-09-2020
Orange,22,0,8689,860,9%,9549,04-09-2020
Hillsborough,9,5,9555,657,6%,10217,04-09-2020
Duval,99,11,10382,595,5%,10988,04-09-2020
Lee,20,2,4539,522,10%,5063,04-09-2020
Pinellas,85,6,7380,422,5%,7808,04-09-2020
Collier,17,0,2549,303,11%,2852,04-09-2020
Osceola,72,1,1886,295,14%,2182,04-09-2020
Polk,17,1,3228,234,7%,3463,04-09-2020
Seminole,14,1,2382,229,9%,2612,04-09-2020
Sarasota,6,1,1533,201,12%,1735,04-09-2020
Escambia,1,1,2625,192,7%,2818,04-09-2020
Manatee,1,0,1097,179,14%,1276,04-09-2020
Volusia,6,1,1827,178,9%,2006,04-09-2020
St. Johns,27,1,2695,163,6%,2859,04-09-2020
Alachua,7,8,3052,154,5%,3214,04-09-2020
Lake,15,0,2290,140,6%,2430,04-09-2020
Pasco,27,3,2889,139,5%,3031,04-09-2020
St. Lucie,38,0,1515,137,8%,1652,04-09-2020
Brevard,2,7,1966,111,5%,2084,04-09-2020
Clay,6,1,1606,110,6%,1717,04-09-2020
Martin,7,0,902,109,11%,1011,04-09-2020
Sumter,13,1,949,100,10%,1050,04-09-2020
Santa Rosa,2,0,1110,96,8%,1206,04-09-2020
Okaloosa,32,0,667,83,11%,750,04-09-2020
Charlotte,6,1,781,81,9%,863,04-09-2020
Leon,11,2,1466,78,5%,1546,04-09-2020
Marion,347,2,1327,75,5%,1404,04-09-2020
Indian River,31,0,808,68,8%,876,04-09-2020
Hernando,1,2,822,62,7%,886,04-09-2020
Citrus,5,0,720,58,7%,778,04-09-2020
Suwannee,0,0,207,54,21%,261,04-09-2020
Monroe,103,0,512,53,9%,565,04-09-2020
Highlands,2,2,314,46,13%,362,04-09-2020
Flagler,0,1,501,41,8%,543,04-09-2020
Bay,1,0,363,34,9%,397,04-09-2020
Nassau,2,0,548,32,6%,580,04-09-2020
Walton,0,0,233,26,10%,259,04-09-2020
Putnam,6,0,641,25,4%,666,04-09-2020
Bradford,16,0,197,20,9%,217,04-09-2020
Desoto,2,0,214,20,9%,234,04-09-2020
Columbia,8,0,330,18,5%,348,04-09-2020
Baker,0,0,171,16,9%,187,04-09-2020
Hendry,0,0,156,13,8%,169,04-09-2020
Gadsden,1,0,132,12,8%,144,04-09-2020
Madison,2,0,71,12,14%,83,04-09-2020
Jefferson,2,0,45,9,17%,54,04-09-2020
Wakulla,0,0,152,7,4%,159,04-09-2020
Levy,2,0,212,6,3%,218,04-09-2020
Jackson,0,0,157,5,3%,162,04-09-2020
Okeechobee,2,0,160,5,3%,165,04-09-2020
Calhoun,0,0,43,4,9%,47,04-09-2020
Glades,0,0,16,4,20%,20,04-09-2020
Gilchrist,1,0,86,3,3%,89,04-09-2020
Hardee,0,0,53,3,5%,56,04-09-2020
Washington,2,0,86,3,3%,89,04-09-2020
Franklin,0,0,47,2,4%,49,04-09-2020
Holmes,8,0,67,2,3%,69,04-09-2020
Union,3,0,93,2,2%,95,04-09-2020
Unknown,13,0,40,2,5%,42,04-09-2020
Dixie,0,0,87,1,1%,88,04-09-2020
Gulf,0,0,61,1,2%,62,04-09-2020
Hamilton,1,0,53,1,2%,54,04-09-2020
Lafayette,0,0,32,1,3%,33,04-09-2020
Taylor,0,0,82,1,1%,83,04-09-2020
Liberty,0,0,19,0,0%,19,04-09-2020
Total,1523,164,139862,16826,11%,156852,04-09-2020
