County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,59,197,164606,18139,10%,182942,06-01-2020
Broward,20,58,101852,7196,7%,109106,06-01-2020
Palm Beach,134,235,70108,6135,8%,76478,06-01-2020
Hillsborough,22,79,58512,2251,4%,60842,06-01-2020
Orange,13,55,70855,2031,3%,72941,06-01-2020
Lee,19,6,28111,1943,6%,30060,06-01-2020
Duval,76,28,53872,1654,3%,55554,06-01-2020
Collier,8,7,15487,1580,9%,17074,06-01-2020
Pinellas,136,16,41787,1313,3%,43116,06-01-2020
Manatee,,8,17665,1057,6%,18730,06-01-2020
Polk,6,6,20347,1038,5%,21391,06-01-2020
Escambia,2,8,19759,828,4%,20595,06-01-2020
Volusia,,20,21602,741,3%,22363,06-01-2020
Osceola,41,14,13997,703,5%,14714,06-01-2020
Martin,5,7,7720,652,8%,8379,06-01-2020
Sarasota,3,6,15902,639,4%,16547,06-01-2020
Seminole,3,12,19405,491,2%,19908,06-01-2020
St. Lucie,67,8,10829,473,4%,11310,06-01-2020
Charlotte,3,1,5914,461,7%,6376,06-01-2020
Hendry,1,1,2177,431,17%,2609,06-01-2020
Brevard,1,2,22981,424,2%,23407,06-01-2020
Leon,10,5,14853,405,3%,15263,06-01-2020
Pasco,16,10,15492,388,2%,15890,06-01-2020
Clay,,4,9410,383,4%,9797,06-01-2020
Alachua,,7,19712,382,2%,20101,06-01-2020
Lake,9,10,16738,304,2%,17052,06-01-2020
Gadsden,,8,3890,276,7%,4174,06-01-2020
St. Johns,4,22,10980,260,2%,11262,06-01-2020
Jackson,1,7,3314,256,7%,3577,06-01-2020
Sumter,23,5,4011,253,6%,4269,06-01-2020
Marion,306,2,13172,250,2%,13424,06-01-2020
Santa Rosa,1,4,8010,247,3%,8261,06-01-2020
Hamilton,,1,1911,239,11%,2151,06-01-2020
Okaloosa,1,2,7973,232,3%,8207,06-01-2020
Liberty,,2,2034,213,9%,2249,06-01-2020
Flagler,,5,4628,189,4%,4822,06-01-2020
Desoto,6,1,2387,182,7%,2570,06-01-2020
Suwannee,,2,2267,168,7%,2437,06-01-2020
Putnam,2,2,3636,153,4%,3791,06-01-2020
Columbia,4,6,3718,148,4%,3872,06-01-2020
Indian River,31,,5723,133,2%,5856,06-01-2020
Highlands,3,3,4294,130,3%,4427,06-01-2020
Citrus,1,3,4326,122,3%,4451,06-01-2020
Walton,,4,1783,117,6%,1904,06-01-2020
Hernando,,1,4228,115,3%,4344,06-01-2020
Monroe,114,2,3219,109,3%,3330,06-01-2020
Hardee,,,926,101,10%,1027,06-01-2020
Bay,,2,3826,100,3%,3928,06-01-2020
Unknown,1,15,1372,84,6%,1471,06-01-2020
Okeechobee,,,1676,84,5%,1760,06-01-2020
Nassau,,,3767,76,2%,3843,06-01-2020
Madison,,2,1054,69,6%,1125,06-01-2020
Calhoun,,2,571,61,10%,634,06-01-2020
Washington,7,1,1011,58,5%,1070,06-01-2020
Dixie,,,909,54,6%,963,06-01-2020
Bradford,1,1,1640,51,3%,1692,06-01-2020
Wakulla,,,1421,35,2%,1456,06-01-2020
Levy,,,1943,34,2%,1977,06-01-2020
Union,,,1811,32,2%,1843,06-01-2020
Glades,,,244,32,12%,276,06-01-2020
Jefferson,,1,667,29,4%,697,06-01-2020
Baker,,,1004,29,3%,1033,06-01-2020
Taylor,,1,1007,22,2%,1030,06-01-2020
Holmes,,,824,19,2%,843,06-01-2020
Gilchrist,,1,861,15,2%,877,06-01-2020
Lafayette,,,373,8,2%,381,06-01-2020
Franklin,,,605,2,0%,607,06-01-2020
Gulf,,,861,1,0%,862,06-01-2020
Total,1160,918,983570,56830,5%,1041318,06-01-2020
