County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,160,4,14594,3364,19%,17962,04-03-2020
Broward,73,7,13039,1598,11%,14644,04-03-2020
Palm Beach,96,3,3827,858,18%,4688,04-03-2020
Orange,15,0,5718,602,10%,6320,04-03-2020
Hillsborough,5,0,6390,463,7%,6853,04-03-2020
Duval,178,0,5456,323,6%,5779,04-03-2020
Pinellas,88,7,4785,318,6%,5110,04-03-2020
Lee,19,0,2831,304,10%,3135,04-03-2020
Collier,27,0,1591,203,11%,1794,04-03-2020
Osceola,83,0,1107,201,15%,1308,04-03-2020
Seminole,16,1,1588,163,9%,1752,04-03-2020
Polk,21,2,1739,126,7%,1867,04-03-2020
Volusia,3,0,1019,125,11%,1144,04-03-2020
Sarasota,8,0,993,124,11%,1117,04-03-2020
St. Johns,47,0,1511,119,7%,1630,04-03-2020
Escambia,2,0,1207,113,9%,1320,04-03-2020
Alachua,15,2,1805,110,6%,1917,04-03-2020
Manatee,3,0,637,104,14%,741,04-03-2020
Lake,7,4,1428,88,6%,1520,04-03-2020
Pasco,24,1,1688,77,4%,1766,04-03-2020
Clay,5,0,765,69,8%,834,04-03-2020
Sumter,12,1,784,68,8%,853,04-03-2020
Brevard,2,0,848,62,7%,910,04-03-2020
St. Lucie,21,0,759,60,7%,819,04-03-2020
Okaloosa,42,0,358,54,13%,412,04-03-2020
Santa Rosa,0,0,494,48,9%,542,04-03-2020
Indian River,16,0,485,47,9%,532,04-03-2020
Charlotte,4,0,418,43,9%,461,04-03-2020
Martin,5,0,490,42,8%,532,04-03-2020
Monroe,75,0,279,40,13%,319,04-03-2020
Leon,4,0,771,39,5%,810,04-03-2020
Hernando,3,0,449,38,8%,487,04-03-2020
Marion,201,0,825,38,4%,863,04-03-2020
Citrus,8,0,361,28,7%,389,04-03-2020
Flagler,2,1,262,28,10%,291,04-03-2020
Highlands,9,2,143,26,15%,171,04-03-2020
Nassau,0,0,268,19,7%,287,04-03-2020
Walton,0,0,139,19,12%,158,04-03-2020
Bay,2,0,203,18,8%,221,04-03-2020
Putnam,5,0,395,15,4%,410,04-03-2020
Baker,1,0,97,11,10%,108,04-03-2020
Suwannee,7,0,97,11,10%,108,04-03-2020
Unknown,20,0,25,10,29%,35,04-03-2020
Desoto,4,0,127,9,7%,136,04-03-2020
Bradford,3,0,104,5,5%,109,04-03-2020
Hendry,1,0,96,5,5%,101,04-03-2020
Columbia,23,0,193,4,2%,197,04-03-2020
Jackson,4,0,93,4,4%,97,04-03-2020
Madison,0,0,34,4,11%,38,04-03-2020
Gadsden,0,0,62,3,5%,65,04-03-2020
Glades,0,0,9,3,25%,12,04-03-2020
Wakulla,1,0,71,3,4%,74,04-03-2020
Calhoun,0,0,20,2,9%,22,04-03-2020
Levy,0,0,123,2,2%,125,04-03-2020
Okeechobee,3,0,75,2,3%,77,04-03-2020
Franklin,0,0,22,1,4%,23,04-03-2020
Gulf,0,0,48,1,2%,49,04-03-2020
Hardee,0,0,27,1,4%,28,04-03-2020
Holmes,6,0,38,1,3%,39,04-03-2020
Union,2,0,54,1,2%,55,04-03-2020
Washington,4,0,55,1,2%,56,04-03-2020
Dixie,0,0,54,0,0%,54,04-03-2020
Gilchrist,0,0,54,0,0%,54,04-03-2020
Hamilton,3,0,30,0,0%,30,04-03-2020
Jefferson,0,0,22,0,0%,22,04-03-2020
Lafayette,0,0,19,0,0%,19,04-03-2020
Liberty,0,0,4,0,0%,4,04-03-2020
Taylor,0,0,42,0,0%,42,04-03-2020
Total,1388,35,84144,10268,11%,94447,04-03-2020
