County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,197,450,35167,7555,17%,43172,04-14-2020
Broward,58,33,23687,3243,12%,26963,04-14-2020
Palm Beach,82,112,9264,1727,16%,11103,04-14-2020
Orange,22,39,11193,1033,8%,12265,04-14-2020
Hillsborough,5,26,11792,819,6%,12637,04-14-2020
Duval,79,7,13016,716,5%,13739,04-14-2020
Lee,25,3,5229,650,11%,5882,04-14-2020
Pinellas,75,9,8593,491,5%,9093,04-14-2020
Collier,14,1,3191,379,11%,3571,04-14-2020
Osceola,66,10,2413,343,12%,2766,04-14-2020
Polk,10,3,4023,277,6%,4303,04-14-2020
Seminole,11,9,3006,274,8%,3289,04-14-2020
Manatee,2,1,1534,259,14%,1794,04-14-2020
Escambia,11,5,3568,246,6%,3819,04-14-2020
Sarasota,2,1,2256,233,9%,2490,04-14-2020
Volusia,10,3,2736,223,8%,2962,04-14-2020
Alachua,4,10,3895,192,5%,4097,04-14-2020
St. Johns,16,2,3208,176,5%,3386,04-14-2020
Pasco,20,6,3437,171,5%,3614,04-14-2020
Clay,1,1,2047,167,8%,2215,04-14-2020
Lake,19,3,2821,166,6%,2990,04-14-2020
St. Lucie,41,1,1815,164,8%,1980,04-14-2020
Brevard,3,204,2792,156,5%,3152,04-14-2020
Leon,5,2,1841,151,8%,1994,04-14-2020
Martin,8,,1056,133,11%,1189,04-14-2020
Charlotte,6,2,1025,122,11%,1149,04-14-2020
Santa Rosa,1,1,1573,115,7%,1689,04-14-2020
Sumter,27,1,1095,112,9%,1208,04-14-2020
Marion,278,3,1901,103,5%,2007,04-14-2020
Okaloosa,12,1,1233,103,8%,1337,04-14-2020
Indian River,51,1,1032,77,7%,1110,04-14-2020
Suwannee,,,291,75,20%,366,04-14-2020
Citrus,4,3,960,73,7%,1036,04-14-2020
Hernando,,,1045,71,6%,1116,04-14-2020
Monroe,55,,695,64,8%,759,04-14-2020
Highlands,2,2,428,62,13%,492,04-14-2020
Flagler,,2,683,45,6%,730,04-14-2020
Putnam,3,,820,42,5%,862,04-14-2020
Bay,,,586,38,6%,624,04-14-2020
Gadsden,,,189,37,16%,226,04-14-2020
Nassau,,,695,35,5%,730,04-14-2020
Bradford,16,,266,30,10%,296,04-14-2020
Walton,1,1,326,29,8%,356,04-14-2020
Columbia,7,,424,28,6%,452,04-14-2020
Hendry,,,201,23,10%,224,04-14-2020
Desoto,,,322,22,6%,344,04-14-2020
Baker,,,220,17,7%,237,04-14-2020
Madison,,,109,14,11%,123,04-14-2020
Jefferson,1,,60,13,18%,73,04-14-2020
Wakulla,,,182,12,6%,194,04-14-2020
Levy,,,294,7,2%,301,04-14-2020
Jackson,,,203,6,3%,209,04-14-2020
Okeechobee,1,,204,5,2%,209,04-14-2020
Gilchrist,,,130,5,4%,135,04-14-2020
Washington,4,,105,5,5%,110,04-14-2020
Calhoun,,,58,5,8%,63,04-14-2020
Glades,,,27,5,16%,32,04-14-2020
Holmes,5,,90,4,4%,94,04-14-2020
Hardee,,,74,3,4%,77,04-14-2020
Unknown,11,,33,3,8%,36,04-14-2020
Union,2,,122,2,2%,124,04-14-2020
Dixie,1,,116,2,2%,118,04-14-2020
Hamilton,1,,73,2,3%,75,04-14-2020
Franklin,,,56,2,3%,58,04-14-2020
Liberty,,,26,2,7%,28,04-14-2020
Taylor,,,128,1,1%,129,04-14-2020
Gulf,,,95,1,1%,96,04-14-2020
Lafayette,,,38,1,3%,39,04-14-2020
Total,1275,958,181813,21367,10%,204138,04-14-2020
