County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,103,2,5143,869,14%,6014,03-27-2020
Broward,229,0,5463,631,10%,6094,03-27-2020
Palm Beach,35,0,1416,241,15%,1657,03-27-2020
Hillsborough,7,0,2663,174,6%,2837,03-27-2020
Orange,17,0,1817,174,9%,1991,03-27-2020
Duval,232,0,1374,99,7%,1473,03-27-2020
Lee,19,0,987,95,9%,1082,03-27-2020
Collier,55,0,746,85,10%,831,03-27-2020
Pinellas,64,0,1405,82,6%,1487,03-27-2020
Alachua,22,0,1008,60,6%,1068,03-27-2020
Osceola,75,0,368,56,13%,424,03-27-2020
Seminole,33,0,619,54,8%,673,03-27-2020
Sarasota,44,0,554,43,7%,597,03-27-2020
Volusia,5,0,413,43,9%,456,03-27-2020
St. Johns,29,0,549,42,7%,591,03-27-2020
Lake,7,0,629,32,5%,661,03-27-2020
Manatee,6,0,200,29,13%,229,03-27-2020
Sumter,15,5,416,29,6%,450,03-27-2020
Escambia,1,0,349,28,7%,377,03-27-2020
Polk,64,0,530,28,5%,558,03-27-2020
Okaloosa,18,0,137,25,15%,162,03-27-2020
Pasco,14,1,558,25,4%,584,03-27-2020
Clay,3,0,232,22,9%,254,03-27-2020
Brevard,15,0,354,20,5%,374,03-27-2020
Monroe,47,0,105,19,15%,124,03-27-2020
Martin,2,0,135,17,11%,152,03-27-2020
St. Lucie,14,0,220,17,7%,237,03-27-2020
Indian River,14,0,178,15,8%,193,03-27-2020
Leon,2,0,362,15,4%,377,03-27-2020
Walton,4,0,73,14,16%,87,03-27-2020
Santa Rosa,2,0,162,13,7%,175,03-27-2020
Flagler,0,0,124,12,9%,136,03-27-2020
Hernando,3,0,161,12,7%,173,03-27-2020
Putnam,12,0,176,12,6%,188,03-27-2020
Citrus,11,0,136,11,7%,147,03-27-2020
Marion,180,0,294,9,3%,303,03-27-2020
Charlotte,5,0,148,8,5%,156,03-27-2020
Baker,3,0,39,7,15%,46,03-27-2020
Desoto,48,0,35,6,15%,41,03-27-2020
Highlands,22,1,37,6,14%,44,03-27-2020
Nassau,0,0,67,6,8%,73,03-27-2020
Bay,3,0,70,4,5%,74,03-27-2020
Columbia,47,1,79,3,4%,83,03-27-2020
Bradford,1,0,40,1,2%,41,03-27-2020
Gadsden,0,0,34,1,3%,35,03-27-2020
Jackson,7,0,56,1,2%,57,03-27-2020
Levy,0,0,54,1,2%,55,03-27-2020
Suwannee,10,0,40,1,2%,41,03-27-2020
Washington,10,0,19,1,5%,20,03-27-2020
Calhoun,0,0,8,0,0%,8,03-27-2020
Dixie,0,0,21,0,0%,21,03-27-2020
Franklin,0,0,14,0,0%,14,03-27-2020
Gilchrist,0,0,19,0,0%,19,03-27-2020
Glades,0,0,3,0,0%,3,03-27-2020
Gulf,1,0,28,0,0%,28,03-27-2020
Hamilton,2,0,13,0,0%,13,03-27-2020
Hardee,0,0,8,0,0%,8,03-27-2020
Hendry,1,0,30,0,0%,30,03-27-2020
Holmes,5,0,20,0,0%,20,03-27-2020
Jefferson,0,0,10,0,0%,10,03-27-2020
Lafayette,0,0,9,0,0%,9,03-27-2020
Liberty,0,0,2,0,0%,2,03-27-2020
Madison,0,0,20,0,0%,20,03-27-2020
Okeechobee,4,0,35,0,0%,35,03-27-2020
Taylor,0,0,28,0,0%,28,03-27-2020
Union,1,0,30,0,0%,30,03-27-2020
Unknown,0,0,8,0,0%,8,03-27-2020
Wakulla,0,0,34,0,0%,34,03-27-2020
Total,1573,10,31114,3198,9%,34322,03-27-2020
