County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,238,177,50457,9840,16%,60474,04-21-2020
Broward,57,38,31583,4149,12%,35770,04-21-2020
Palm Beach,55,295,15266,2296,13%,17857,04-21-2020
Orange,14,3,16392,1222,7%,17617,04-21-2020
Hillsborough,9,36,14760,977,6%,15773,04-21-2020
Duval,72,10,17017,901,5%,17928,04-21-2020
Lee,60,2,5926,789,12%,6717,04-21-2020
Pinellas,66,9,10062,611,6%,10682,04-21-2020
Collier,19,1,3875,473,11%,4349,04-21-2020
Manatee,2,2,2265,437,16%,2704,04-21-2020
Osceola,64,1,3313,416,11%,3730,04-21-2020
Volusia,4,2,5632,356,6%,5990,04-21-2020
Polk,7,3,5021,351,7%,5375,04-21-2020
Escambia,28,5,4474,337,7%,4816,04-21-2020
Seminole,7,3,4003,328,8%,4334,04-21-2020
Sarasota,2,1,3318,296,8%,3615,04-21-2020
Clay,2,1,2802,252,8%,3055,04-21-2020
Brevard,2,3,5858,223,4%,6084,04-21-2020
Alachua,3,8,5136,223,4%,5367,04-21-2020
Lake,11,,3775,213,5%,3988,04-21-2020
Pasco,28,6,4120,211,5%,4337,04-21-2020
St. Lucie,37,2,2198,204,8%,2404,04-21-2020
St. Johns,8,1,3896,193,5%,4090,04-21-2020
Leon,8,2,2347,185,7%,2534,04-21-2020
Martin,7,1,1265,156,11%,1422,04-21-2020
Sumter,26,2,1440,153,10%,1595,04-21-2020
Charlotte,6,2,1292,143,10%,1437,04-21-2020
Santa Rosa,1,1,2010,141,7%,2152,04-21-2020
Okaloosa,11,1,1592,134,8%,1727,04-21-2020
Marion,189,2,2823,130,4%,2955,04-21-2020
Suwannee,,,368,102,22%,470,04-21-2020
Citrus,1,1,1214,92,7%,1307,04-21-2020
Indian River,63,1,1271,85,6%,1357,04-21-2020
Hernando,,,1232,85,6%,1317,04-21-2020
Flagler,1,1,969,77,7%,1047,04-21-2020
Monroe,39,,895,73,8%,968,04-21-2020
Highlands,2,1,549,71,11%,621,04-21-2020
Putnam,3,,1012,58,5%,1070,04-21-2020
Bay,,1,846,58,6%,905,04-21-2020
Gadsden,,,298,57,16%,355,04-21-2020
Nassau,,,1088,46,4%,1134,04-21-2020
Hendry,,,278,44,14%,322,04-21-2020
Columbia,10,,573,42,7%,615,04-21-2020
Bradford,3,,571,42,7%,613,04-21-2020
Walton,,1,438,32,7%,471,04-21-2020
Jefferson,,,99,26,21%,125,04-21-2020
Madison,19,,164,25,13%,189,04-21-2020
Desoto,,,417,24,5%,441,04-21-2020
Baker,,,277,17,6%,294,04-21-2020
Wakulla,,,225,15,6%,240,04-21-2020
Levy,,,403,12,3%,415,04-21-2020
Jackson,,,302,10,3%,312,04-21-2020
Holmes,5,,359,8,2%,367,04-21-2020
Washington,1,,228,8,3%,236,04-21-2020
Okeechobee,1,,260,7,3%,267,04-21-2020
Calhoun,,,87,6,6%,93,04-21-2020
Glades,,,37,5,12%,42,04-21-2020
Gilchrist,1,,175,4,2%,179,04-21-2020
Dixie,1,,161,4,2%,165,04-21-2020
Hardee,,,94,4,4%,98,04-21-2020
Hamilton,1,,101,3,3%,104,04-21-2020
Unknown,8,,36,3,8%,39,04-21-2020
Taylor,,,177,2,1%,179,04-21-2020
Union,1,,168,2,1%,170,04-21-2020
Franklin,,,70,2,3%,72,04-21-2020
Liberty,,,39,2,5%,41,04-21-2020
Gulf,,,111,1,1%,112,04-21-2020
Lafayette,,,54,1,2%,55,04-21-2020
Total,1203,626,249564,27495,10%,277685,04-21-2020
