County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,266,166,59453,10701,15%,70320,04-24-2020
Broward,47,36,35790,4570,11%,40396,04-24-2020
Palm Beach,54,268,19280,2586,12%,22134,04-24-2020
Orange,15,3,19278,1286,6%,20567,04-24-2020
Hillsborough,11,36,16039,1020,6%,17095,04-24-2020
Duval,71,9,18756,950,5%,19715,04-24-2020
Lee,42,2,6993,928,12%,7923,04-24-2020
Pinellas,108,9,11405,673,6%,12087,04-24-2020
Collier,15,1,4286,523,11%,4810,04-24-2020
Manatee,,2,2629,482,15%,3113,04-24-2020
Osceola,61,1,3930,454,10%,4385,04-24-2020
Volusia,2,2,6580,427,6%,7009,04-24-2020
Escambia,25,7,5296,427,7%,5730,04-24-2020
Polk,7,2,5620,387,6%,6009,04-24-2020
Seminole,6,3,4390,344,7%,4737,04-24-2020
Sarasota,1,1,3715,315,8%,4031,04-24-2020
Clay,1,1,3075,265,8%,3341,04-24-2020
Brevard,2,3,6565,245,4%,6813,04-24-2020
Alachua,,7,5775,240,4%,6022,04-24-2020
Pasco,29,6,4559,229,5%,4794,04-24-2020
St. Lucie,55,2,2459,222,8%,2683,04-24-2020
Lake,9,1,4367,217,5%,4585,04-24-2020
Leon,8,2,2689,209,7%,2900,04-24-2020
St. Johns,12,1,4180,201,5%,4382,04-24-2020
Charlotte,6,2,1551,198,11%,1751,04-24-2020
Martin,5,,1391,169,11%,1560,04-24-2020
Sumter,26,,1527,167,10%,1694,04-24-2020
Marion,224,2,3429,145,4%,3576,04-24-2020
Okaloosa,11,,1797,145,7%,1942,04-24-2020
Santa Rosa,1,1,2171,143,6%,2315,04-24-2020
Suwannee,2,,406,106,21%,512,04-24-2020
Flagler,,1,1051,105,9%,1157,04-24-2020
Citrus,1,1,1335,95,7%,1431,04-24-2020
Indian River,71,,1370,89,6%,1459,04-24-2020
Hernando,,,1386,86,6%,1472,04-24-2020
Putnam,3,,1080,78,7%,1158,04-24-2020
Monroe,23,,996,76,7%,1072,04-24-2020
Highlands,,1,911,76,8%,988,04-24-2020
Gadsden,1,,355,71,17%,426,04-24-2020
Hendry,,,328,62,16%,390,04-24-2020
Bay,,1,955,60,6%,1016,04-24-2020
Nassau,,,1223,49,4%,1272,04-24-2020
Columbia,6,,744,47,6%,791,04-24-2020
Bradford,1,,636,42,6%,678,04-24-2020
Madison,29,,217,40,16%,257,04-24-2020
Walton,,1,483,34,7%,518,04-24-2020
Jefferson,1,,106,26,20%,132,04-24-2020
Desoto,4,,441,24,5%,465,04-24-2020
Wakulla,,,243,20,8%,263,04-24-2020
Baker,,,305,19,6%,324,04-24-2020
Levy,3,,452,14,3%,466,04-24-2020
Jackson,,,355,13,4%,368,04-24-2020
Washington,3,,260,10,4%,270,04-24-2020
Holmes,7,,444,9,2%,453,04-24-2020
Okeechobee,2,,298,9,3%,307,04-24-2020
Hardee,,,100,9,8%,109,04-24-2020
Hamilton,5,,116,6,5%,122,04-24-2020
Calhoun,,,95,6,6%,101,04-24-2020
Glades,,,42,5,11%,47,04-24-2020
Gilchrist,1,,196,4,2%,200,04-24-2020
Dixie,1,,176,4,2%,180,04-24-2020
Taylor,1,,187,3,2%,190,04-24-2020
Union,1,,183,3,2%,186,04-24-2020
Franklin,,,79,2,2%,81,04-24-2020
Liberty,,,40,2,5%,42,04-24-2020
Gulf,,,115,1,1%,116,04-24-2020
Lafayette,,,61,1,2%,62,04-24-2020
Unknown,1,,40,,,40,04-24-2020
Total,1287,581,286785,30174,10%,317540,04-24-2020
