County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,199,44,22561,5126,18%,27731,04-07-2020
Broward,63,12,17220,2230,11%,19462,04-07-2020
Palm Beach,112,2,5277,1159,18%,6438,04-07-2020
Orange,18,0,7406,768,9%,8174,04-07-2020
Hillsborough,6,5,8759,608,6%,9372,04-07-2020
Duval,100,0,8839,521,6%,9360,04-07-2020
Lee,21,2,3981,439,10%,4422,04-07-2020
Pinellas,68,8,6623,387,6%,7018,04-07-2020
Collier,22,0,2226,271,11%,2497,04-07-2020
Osceola,75,1,1536,256,14%,1793,04-07-2020
Seminole,13,1,2082,202,9%,2285,04-07-2020
Polk,17,1,2800,199,7%,3000,04-07-2020
Sarasota,5,0,1412,173,11%,1585,04-07-2020
Escambia,10,0,2529,168,6%,2697,04-07-2020
Manatee,2,0,955,164,15%,1119,04-07-2020
Volusia,3,1,1557,163,9%,1721,04-07-2020
St. Johns,27,1,2376,154,6%,2531,04-07-2020
Alachua,8,7,2527,139,5%,2673,04-07-2020
Lake,14,1,2054,122,6%,2177,04-07-2020
Pasco,23,1,2503,122,5%,2626,04-07-2020
St. Lucie,32,0,1324,122,8%,1446,04-07-2020
Martin,6,0,811,100,11%,911,04-07-2020
Brevard,2,2,1623,98,6%,1723,04-07-2020
Clay,6,0,1360,88,6%,1448,04-07-2020
Sumter,13,1,900,87,9%,988,04-07-2020
Okaloosa,51,0,595,70,11%,665,04-07-2020
Leon,7,1,1282,68,5%,1351,04-07-2020
Charlotte,6,1,663,67,9%,731,04-07-2020
Santa Rosa,0,0,1050,66,6%,1116,04-07-2020
Indian River,23,0,709,62,8%,771,04-07-2020
Marion,223,2,1170,62,5%,1234,04-07-2020
Citrus,4,0,641,51,7%,692,04-07-2020
Hernando,1,1,709,51,7%,761,04-07-2020
Monroe,117,0,430,49,10%,479,04-07-2020
Highlands,2,2,264,37,12%,303,04-07-2020
Flagler,0,2,432,35,7%,469,04-07-2020
Suwannee,2,0,167,33,17%,200,04-07-2020
Nassau,0,0,493,27,5%,520,04-07-2020
Walton,0,0,219,26,11%,245,04-07-2020
Bay,0,0,316,25,7%,341,04-07-2020
Putnam,7,0,565,20,3%,585,04-07-2020
Columbia,19,0,275,16,5%,291,04-07-2020
Desoto,2,0,195,16,8%,211,04-07-2020
Baker,2,0,142,15,10%,157,04-07-2020
Bradford,15,0,167,11,6%,178,04-07-2020
Madison,1,0,55,11,17%,66,04-07-2020
Hendry,0,1,141,9,6%,151,04-07-2020
Gadsden,1,0,107,6,5%,113,04-07-2020
Wakulla,0,0,123,6,5%,129,04-07-2020
Levy,2,0,176,5,3%,181,04-07-2020
Okeechobee,1,0,139,5,3%,144,04-07-2020
Glades,0,0,15,4,21%,19,04-07-2020
Jackson,1,0,138,4,3%,142,04-07-2020
Jefferson,5,0,36,4,10%,40,04-07-2020
Calhoun,0,0,37,3,8%,40,04-07-2020
Franklin,0,0,41,2,5%,43,04-07-2020
Hardee,0,0,45,2,4%,47,04-07-2020
Holmes,8,0,60,2,3%,62,04-07-2020
Union,1,0,81,2,2%,83,04-07-2020
Unknown,36,0,59,2,3%,61,04-07-2020
Washington,2,0,73,2,3%,75,04-07-2020
Dixie,0,0,75,1,1%,76,04-07-2020
Gilchrist,0,0,74,1,1%,75,04-07-2020
Gulf,0,0,59,1,2%,60,04-07-2020
Hamilton,1,0,45,1,2%,46,04-07-2020
Taylor,0,0,69,1,1%,70,04-07-2020
Lafayette,2,0,29,0,0%,29,04-07-2020
Liberty,0,0,13,0,0%,13,04-07-2020
Total,1407,100,123415,14747,11%,138262,04-07-2020
