County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,284,326,109977,15658,12%,125961,05-17-2020
Broward,38,125,67382,6243,8%,73750,05-17-2020
Palm Beach,102,417,44910,4524,9%,49851,05-17-2020
Orange,16,52,46014,1655,3%,47721,05-17-2020
Hillsborough,23,71,35721,1614,4%,37406,05-17-2020
Lee,8,5,16046,1456,8%,17507,05-17-2020
Duval,76,32,36433,1284,3%,37749,05-17-2020
Pinellas,122,17,24162,1022,4%,25201,05-17-2020
Collier,10,3,8478,948,10%,9429,05-17-2020
Manatee,,7,9108,849,9%,9964,05-17-2020
Polk,5,6,12453,736,6%,13195,05-17-2020
Escambia,7,18,12097,689,5%,12804,05-17-2020
Osceola,45,13,9540,622,6%,10175,05-17-2020
Volusia,,11,13693,594,4%,14298,05-17-2020
Sarasota,1,4,7982,508,6%,8494,05-17-2020
Seminole,2,13,12324,432,3%,12769,05-17-2020
Charlotte,3,2,3479,380,10%,3861,05-17-2020
Brevard,1,8,13885,365,3%,14258,05-17-2020
Alachua,,14,10417,332,3%,10763,05-17-2020
St. Lucie,64,6,5796,323,5%,6125,05-17-2020
Martin,7,4,2697,321,11%,3022,05-17-2020
Clay,1,4,5472,317,5%,5793,05-17-2020
Pasco,19,8,9414,316,3%,9738,05-17-2020
Leon,14,3,8537,280,3%,8820,05-17-2020
Lake,9,17,11615,252,2%,11884,05-17-2020
Sumter,23,13,2690,251,8%,2954,05-17-2020
St. Johns,5,35,7682,231,3%,7948,05-17-2020
Gadsden,,3,1225,223,15%,1451,05-17-2020
Marion,462,2,7308,222,3%,7532,05-17-2020
Hendry,1,2,972,211,18%,1185,05-17-2020
Liberty,,,1917,199,9%,2116,05-17-2020
Santa Rosa,1,5,4762,183,4%,4950,05-17-2020
Okaloosa,,2,3368,177,5%,3547,05-17-2020
Suwannee,,,1355,158,10%,1513,05-17-2020
Flagler,,8,2420,156,6%,2584,05-17-2020
Hamilton,,1,1150,147,11%,1298,05-17-2020
Putnam,2,8,2469,131,5%,2608,05-17-2020
Jackson,,3,943,129,12%,1075,05-17-2020
Citrus,1,3,2441,112,4%,2556,05-17-2020
Columbia,5,2,1908,111,5%,2021,05-17-2020
Hernando,,2,2401,109,4%,2512,05-17-2020
Indian River,56,1,2917,106,4%,3024,05-17-2020
Highlands,6,2,2197,104,5%,2303,05-17-2020
Monroe,50,,1947,100,5%,2047,05-17-2020
Bay,,3,2000,84,4%,2087,05-17-2020
Unknown,1,,173,79,31%,252,05-17-2020
Walton,,1,898,77,8%,976,05-17-2020
Nassau,,,2272,66,3%,2338,05-17-2020
Desoto,7,,1509,66,4%,1575,05-17-2020
Madison,1,1,553,63,10%,617,05-17-2020
Bradford,1,1,1102,49,4%,1152,05-17-2020
Calhoun,,1,313,40,11%,354,05-17-2020
Hardee,,,332,40,11%,372,05-17-2020
Okeechobee,,2,1061,35,3%,1098,05-17-2020
Wakulla,,,780,32,4%,812,05-17-2020
Jefferson,,,296,28,9%,324,05-17-2020
Baker,,,605,26,4%,631,05-17-2020
Levy,,,1010,25,2%,1035,05-17-2020
Union,,,690,25,3%,715,05-17-2020
Dixie,,,371,22,6%,393,05-17-2020
Washington,,,396,13,3%,409,05-17-2020
Holmes,,1,557,10,2%,568,05-17-2020
Glades,,,94,9,9%,103,05-17-2020
Gilchrist,,,441,7,2%,448,05-17-2020
Lafayette,,,126,6,5%,132,05-17-2020
Taylor,,1,368,3,1%,372,05-17-2020
Franklin,,,227,2,1%,229,05-17-2020
Gulf,,,326,1,0%,327,05-17-2020
Total,1479,1289,606204,45588,7%,653081,05-17-2020
