County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,297,194,103070,14468,12%,117732,05-13-2020
Broward,21,59,63615,5998,9%,69672,05-13-2020
Palm Beach,91,227,41609,4176,9%,46012,05-13-2020
Orange,15,36,38015,1553,4%,39604,05-13-2020
Hillsborough,18,41,32786,1494,4%,34321,05-13-2020
Lee,13,4,14739,1332,8%,16075,05-13-2020
Duval,79,17,34002,1199,3%,35218,05-13-2020
Pinellas,127,12,21587,923,4%,22522,05-13-2020
Collier,8,2,7807,864,10%,8673,05-13-2020
Manatee,,5,8259,806,9%,9070,05-13-2020
Polk,4,3,11039,687,6%,11729,05-13-2020
Escambia,10,10,11125,665,6%,11800,05-13-2020
Osceola,45,13,8347,586,7%,8946,05-13-2020
Volusia,,9,12972,566,4%,13547,05-13-2020
Sarasota,2,1,7197,440,6%,7638,05-13-2020
Seminole,2,12,10710,422,4%,11144,05-13-2020
Charlotte,6,1,3315,350,10%,3666,05-13-2020
Brevard,1,3,12922,344,3%,13269,05-13-2020
Alachua,,7,9427,326,3%,9760,05-13-2020
Pasco,17,6,8660,306,3%,8972,05-13-2020
Clay,,2,4997,303,6%,5302,05-13-2020
St. Lucie,56,4,5271,299,5%,5574,05-13-2020
Martin,5,2,2461,275,10%,2738,05-13-2020
Leon,13,3,7811,271,3%,8085,05-13-2020
Lake,9,9,9575,247,3%,9831,05-13-2020
Sumter,24,,2183,245,10%,2428,05-13-2020
St. Johns,4,12,6654,229,3%,6895,05-13-2020
Marion,155,1,6737,217,3%,6955,05-13-2020
Liberty,,,1909,198,9%,2107,05-13-2020
Santa Rosa,1,3,4311,179,4%,4493,05-13-2020
Okaloosa,,,3161,170,5%,3331,05-13-2020
Hendry,1,1,914,165,15%,1080,05-13-2020
Suwannee,,,1278,149,10%,1427,05-13-2020
Flagler,,5,2251,148,6%,2404,05-13-2020
Gadsden,1,,930,139,13%,1069,05-13-2020
Putnam,2,2,2312,127,5%,2441,05-13-2020
Citrus,1,2,2181,109,5%,2292,05-13-2020
Columbia,5,,1696,107,6%,1803,05-13-2020
Jackson,,,871,106,11%,977,05-13-2020
Indian River,63,,2354,102,4%,2456,05-13-2020
Hernando,,,2268,101,4%,2369,05-13-2020
Highlands,7,1,2035,100,5%,2136,05-13-2020
Monroe,79,,1715,96,5%,1811,05-13-2020
Unknown,1,,178,88,33%,266,05-13-2020
Hamilton,,,560,86,13%,646,05-13-2020
Bay,,2,1873,77,4%,1952,05-13-2020
Walton,,1,814,68,8%,883,05-13-2020
Nassau,,,2003,62,3%,2065,05-13-2020
Madison,1,,523,61,10%,584,05-13-2020
Desoto,5,,1339,52,4%,1391,05-13-2020
Bradford,2,,1025,48,4%,1073,05-13-2020
Hardee,,,294,37,11%,331,05-13-2020
Wakulla,,,694,31,4%,725,05-13-2020
Calhoun,,1,302,31,9%,334,05-13-2020
Jefferson,,,259,28,10%,287,05-13-2020
Baker,,,561,26,4%,587,05-13-2020
Okeechobee,,2,969,25,3%,996,05-13-2020
Levy,,,931,22,2%,953,05-13-2020
Dixie,,,318,15,5%,333,05-13-2020
Washington,,,371,12,3%,383,05-13-2020
Holmes,,,538,10,2%,548,05-13-2020
Union,,,366,10,3%,376,05-13-2020
Glades,,,88,8,8%,96,05-13-2020
Gilchrist,,,342,7,2%,349,05-13-2020
Lafayette,,,101,5,5%,106,05-13-2020
Taylor,,,345,3,1%,348,05-13-2020
Franklin,,,208,2,1%,210,05-13-2020
Gulf,,,281,1,0%,282,05-13-2020
Total,1191,715,552361,42402,7%,595478,05-13-2020
