County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,254,329,113571,15864,12%,129764,05-18-2020
Broward,22,125,69638,6322,8%,76085,05-18-2020
Palm Beach,101,417,46474,4658,9%,51549,05-18-2020
Orange,15,56,47785,1679,3%,49520,05-18-2020
Hillsborough,23,71,37075,1653,4%,38799,05-18-2020
Lee,8,5,16772,1481,8%,18258,05-18-2020
Duval,76,32,37557,1300,3%,38889,05-18-2020
Pinellas,63,17,25497,1051,4%,26565,05-18-2020
Collier,10,3,8876,1006,10%,9885,05-18-2020
Manatee,,7,9812,867,8%,10686,05-18-2020
Polk,5,6,12950,746,5%,13702,05-18-2020
Escambia,2,18,12519,707,5%,13244,05-18-2020
Osceola,46,13,9839,627,6%,10479,05-18-2020
Volusia,,11,13993,605,4%,14609,05-18-2020
Sarasota,1,4,8435,518,6%,8957,05-18-2020
Seminole,3,13,12849,435,3%,13297,05-18-2020
Charlotte,3,2,3610,389,10%,4001,05-18-2020
Martin,6,4,2844,371,12%,3219,05-18-2020
Brevard,1,8,14813,367,2%,15188,05-18-2020
Alachua,,14,10798,337,3%,11149,05-18-2020
St. Lucie,59,7,6028,334,5%,6369,05-18-2020
Clay,1,4,5837,320,5%,6161,05-18-2020
Pasco,17,8,9706,319,3%,10033,05-18-2020
Leon,14,3,8936,290,3%,9229,05-18-2020
Lake,8,17,11853,254,2%,12124,05-18-2020
Sumter,23,13,2746,252,8%,3011,05-18-2020
Gadsden,,3,1403,240,15%,1646,05-18-2020
St. Johns,5,35,7975,232,3%,8242,05-18-2020
Marion,456,2,7541,223,3%,7766,05-18-2020
Hendry,1,2,993,222,18%,1217,05-18-2020
Liberty,,,1924,199,9%,2123,05-18-2020
Santa Rosa,1,5,5020,185,4%,5210,05-18-2020
Okaloosa,,2,3477,178,5%,3657,05-18-2020
Flagler,,8,2478,160,6%,2646,05-18-2020
Suwannee,,,1383,160,10%,1543,05-18-2020
Hamilton,,1,1302,147,10%,1450,05-18-2020
Putnam,2,8,2532,134,5%,2674,05-18-2020
Jackson,,3,1066,131,11%,1200,05-18-2020
Columbia,4,2,1998,113,5%,2113,05-18-2020
Citrus,1,3,2601,112,4%,2716,05-18-2020
Hernando,,2,2493,110,4%,2605,05-18-2020
Indian River,55,1,3005,106,3%,3112,05-18-2020
Highlands,5,2,2354,104,4%,2460,05-18-2020
Monroe,45,,1988,99,5%,2087,05-18-2020
Bay,,3,2190,85,4%,2278,05-18-2020
Walton,,1,953,81,8%,1035,05-18-2020
Unknown,1,,174,79,31%,253,05-18-2020
Desoto,7,,1600,68,4%,1668,05-18-2020
Nassau,,,2362,66,3%,2428,05-18-2020
Madison,1,1,589,64,10%,654,05-18-2020
Bradford,1,1,1148,49,4%,1198,05-18-2020
Okeechobee,,2,1091,43,4%,1136,05-18-2020
Hardee,,,346,42,11%,388,05-18-2020
Calhoun,,1,342,41,11%,384,05-18-2020
Wakulla,,,808,32,4%,840,05-18-2020
Jefferson,,,337,28,8%,365,05-18-2020
Baker,,,627,26,4%,653,05-18-2020
Levy,,1,1062,25,2%,1088,05-18-2020
Dixie,,,393,25,6%,418,05-18-2020
Union,,,969,25,3%,994,05-18-2020
Washington,,,427,13,3%,440,05-18-2020
Holmes,,1,569,12,2%,582,05-18-2020
Glades,,,97,10,9%,107,05-18-2020
Gilchrist,,,457,7,2%,464,05-18-2020
Lafayette,,,129,6,4%,135,05-18-2020
Taylor,,1,381,5,1%,387,05-18-2020
Franklin,,,237,2,1%,239,05-18-2020
Gulf,,,336,1,0%,337,05-18-2020
Total,1346,1298,629970,46442,7%,677710,05-18-2020
