County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,224,163,43534,8966,17%,52663,04-18-2020
Broward,59,34,28258,3833,12%,32125,04-18-2020
Palm Beach,62,304,13266,2125,14%,15695,04-18-2020
Orange,12,4,14146,1172,8%,15322,04-18-2020
Hillsborough,8,31,13655,943,6%,14629,04-18-2020
Duval,70,10,14986,824,5%,15820,04-18-2020
Lee,59,2,5719,731,11%,6452,04-18-2020
Pinellas,80,9,9569,577,6%,10155,04-18-2020
Collier,18,1,3674,453,11%,4128,04-18-2020
Osceola,66,1,2961,397,12%,3359,04-18-2020
Manatee,2,2,1965,352,15%,2319,04-18-2020
Polk,8,2,4606,320,6%,4928,04-18-2020
Seminole,10,2,3614,314,8%,3930,04-18-2020
Escambia,35,5,4061,303,7%,4369,04-18-2020
Volusia,7,1,4382,285,6%,4668,04-18-2020
Sarasota,3,1,3034,278,8%,3313,04-18-2020
Clay,1,1,2479,217,8%,2697,04-18-2020
Brevard,2,3,4915,209,4%,5127,04-18-2020
Alachua,3,8,4652,205,4%,4865,04-18-2020
Lake,14,1,3333,201,6%,3535,04-18-2020
Pasco,28,5,3871,196,5%,4072,04-18-2020
St. Lucie,45,2,1966,192,9%,2160,04-18-2020
St. Johns,14,1,3614,188,5%,3803,04-18-2020
Leon,5,2,2097,169,7%,2268,04-18-2020
Martin,10,1,1149,147,11%,1297,04-18-2020
Charlotte,6,2,1197,136,10%,1335,04-18-2020
Santa Rosa,5,1,1817,132,7%,1950,04-18-2020
Okaloosa,14,1,1461,126,8%,1588,04-18-2020
Sumter,27,1,1208,124,9%,1333,04-18-2020
Marion,239,2,2504,118,4%,2624,04-18-2020
Suwannee,1,,336,89,21%,425,04-18-2020
Hernando,,,1157,84,7%,1241,04-18-2020
Indian River,62,,1157,83,7%,1240,04-18-2020
Citrus,2,1,1159,82,7%,1242,04-18-2020
Monroe,28,,837,73,8%,910,04-18-2020
Highlands,3,1,495,66,12%,562,04-18-2020
Putnam,3,,945,55,6%,1000,04-18-2020
Flagler,,1,873,55,6%,929,04-18-2020
Gadsden,,,249,47,16%,296,04-18-2020
Bay,,1,704,45,6%,750,04-18-2020
Nassau,,,846,42,5%,888,04-18-2020
Bradford,2,,422,40,9%,462,04-18-2020
Columbia,12,,501,36,7%,537,04-18-2020
Hendry,,,237,36,13%,273,04-18-2020
Walton,,,369,32,8%,401,04-18-2020
Jefferson,1,,88,24,21%,112,04-18-2020
Desoto,,,368,23,6%,391,04-18-2020
Madison,,,144,20,12%,164,04-18-2020
Baker,,,241,17,7%,258,04-18-2020
Wakulla,,,201,14,7%,215,04-18-2020
Levy,3,,357,11,3%,368,04-18-2020
Jackson,,,233,8,3%,241,04-18-2020
Okeechobee,2,,233,6,3%,239,04-18-2020
Calhoun,,,72,6,8%,78,04-18-2020
Washington,1,,130,5,4%,135,04-18-2020
Holmes,4,,122,5,4%,127,04-18-2020
Glades,,,30,5,14%,35,04-18-2020
Gilchrist,1,,160,4,2%,164,04-18-2020
Hardee,,,85,4,4%,89,04-18-2020
Unknown,12,,34,4,11%,38,04-18-2020
Dixie,1,,142,3,2%,145,04-18-2020
Hamilton,1,,88,3,3%,91,04-18-2020
Union,3,,144,2,1%,146,04-18-2020
Franklin,,,63,2,3%,65,04-18-2020
Liberty,,,35,2,5%,37,04-18-2020
Taylor,,,158,1,1%,159,04-18-2020
Gulf,,,103,1,1%,104,04-18-2020
Lafayette,,,47,1,2%,48,04-18-2020
Total,1278,607,221258,25269,10%,247134,04-18-2020
