County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,209,167,29401,6758,19%,36326,04-11-2020
Broward,71,24,20703,2844,12%,23571,04-11-2020
Palm Beach,86,22,6908,1499,18%,8429,04-11-2020
Orange,18,6,9361,923,9%,10290,04-11-2020
Hillsborough,9,7,10142,698,6%,10847,04-11-2020
Duval,79,12,11482,639,5%,12133,04-11-2020
Lee,24,3,4943,598,11%,5544,04-11-2020
Pinellas,63,7,7947,446,5%,8400,04-11-2020
Collier,15,1,2924,352,11%,3277,04-11-2020
Osceola,65,1,2050,317,13%,2368,04-11-2020
Polk,16,3,3528,244,6%,3775,04-11-2020
Seminole,13,1,2535,242,9%,2778,04-11-2020
Sarasota,3,,2020,223,10%,2243,04-11-2020
Manatee,2,1,1278,221,15%,1500,04-11-2020
Escambia,17,2,3172,210,6%,3384,04-11-2020
Volusia,5,1,2014,193,9%,2208,04-11-2020
Alachua,6,9,3466,174,5%,3649,04-11-2020
St. Johns,14,2,2943,170,5%,3115,04-11-2020
Clay,4,1,1823,161,8%,1985,04-11-2020
Pasco,21,4,3124,150,5%,3278,04-11-2020
Lake,18,,2512,150,6%,2662,04-11-2020
St. Lucie,45,1,1653,149,8%,1803,04-11-2020
Brevard,2,25,2269,123,5%,2417,04-11-2020
Martin,7,,969,117,11%,1086,04-11-2020
Leon,6,2,1622,113,7%,1737,04-11-2020
Charlotte,7,2,903,112,11%,1017,04-11-2020
Sumter,15,1,1004,108,10%,1113,04-11-2020
Santa Rosa,1,1,1376,106,7%,1483,04-11-2020
Okaloosa,12,,998,91,8%,1089,04-11-2020
Marion,278,3,1615,87,5%,1705,04-11-2020
Indian River,44,,893,72,7%,965,04-11-2020
Hernando,1,,926,69,7%,995,04-11-2020
Citrus,4,3,829,67,7%,899,04-11-2020
Suwannee,,,238,67,22%,305,04-11-2020
Monroe,106,,563,59,9%,622,04-11-2020
Highlands,1,2,369,54,13%,425,04-11-2020
Flagler,2,1,586,46,7%,633,04-11-2020
Bay,,,476,36,7%,512,04-11-2020
Putnam,3,,736,34,4%,770,04-11-2020
Nassau,2,,608,33,5%,641,04-11-2020
Walton,1,1,274,30,10%,305,04-11-2020
Columbia,7,,376,25,6%,401,04-11-2020
Bradford,10,,241,24,9%,265,04-11-2020
Desoto,2,,268,20,7%,288,04-11-2020
Baker,,,199,17,8%,216,04-11-2020
Hendry,,,180,16,8%,196,04-11-2020
Gadsden,1,,150,14,9%,164,04-11-2020
Madison,,,95,14,13%,109,04-11-2020
Jefferson,4,,53,9,15%,62,04-11-2020
Levy,1,,247,7,3%,254,04-11-2020
Wakulla,,,161,7,4%,168,04-11-2020
Jackson,,,177,6,3%,183,04-11-2020
Okeechobee,1,,176,5,3%,181,04-11-2020
Washington,2,,96,5,5%,101,04-11-2020
Calhoun,,,53,5,9%,58,04-11-2020
Gilchrist,,,106,4,4%,110,04-11-2020
Glades,,,24,4,14%,28,04-11-2020
Hardee,,,63,3,5%,66,04-11-2020
Union,3,,103,2,2%,105,04-11-2020
Dixie,1,,99,2,2%,101,04-11-2020
Holmes,5,,82,2,2%,84,04-11-2020
Hamilton,1,,62,2,3%,64,04-11-2020
Franklin,,,50,2,4%,52,04-11-2020
Unknown,12,,32,2,6%,34,04-11-2020
Taylor,,,115,1,1%,116,04-11-2020
Gulf,,,85,1,1%,86,04-11-2020
Lafayette,,,35,1,3%,36,04-11-2020
Liberty,,,21,1,5%,22,04-11-2020
Total,1345,316,156532,18986,11%,175834,04-11-2020
