County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,138,13,18786,4146,18%,22945,04-05-2020
Broward,67,9,15139,1886,11%,17034,04-05-2020
Palm Beach,87,1,4535,1000,18%,5536,04-05-2020
Orange,13,0,6539,713,10%,7252,04-05-2020
Hillsborough,6,3,7577,536,7%,8116,04-05-2020
Duval,133,0,6792,413,6%,7205,04-05-2020
Lee,18,0,3459,379,10%,3838,04-05-2020
Pinellas,55,8,5958,359,6%,6325,04-05-2020
Collier,24,0,1950,231,11%,2181,04-05-2020
Osceola,81,0,1301,229,15%,1530,04-05-2020
Seminole,14,1,1801,191,10%,1993,04-05-2020
Polk,16,2,2262,157,6%,2421,04-05-2020
Volusia,4,1,1302,151,10%,1454,04-05-2020
St. Johns,38,1,2073,141,6%,2215,04-05-2020
Sarasota,11,0,1159,140,11%,1299,04-05-2020
Manatee,2,0,772,136,15%,908,04-05-2020
Escambia,2,0,1592,125,7%,1717,04-05-2020
Alachua,12,3,2090,123,6%,2216,04-05-2020
Pasco,18,1,2177,102,4%,2280,04-05-2020
Lake,10,4,1794,101,5%,1899,04-05-2020
St. Lucie,21,0,968,82,8%,1050,04-05-2020
Brevard,3,0,1204,79,6%,1283,04-05-2020
Clay,4,0,1014,79,7%,1093,04-05-2020
Sumter,11,1,833,75,8%,909,04-05-2020
Okaloosa,25,0,441,62,12%,503,04-05-2020
Martin,4,0,597,60,9%,657,04-05-2020
Indian River,15,0,566,55,9%,621,04-05-2020
Santa Rosa,0,0,669,55,8%,724,04-05-2020
Marion,155,0,974,50,5%,1024,04-05-2020
Charlotte,4,0,512,47,8%,559,04-05-2020
Monroe,72,0,351,44,11%,395,04-05-2020
Citrus,5,0,500,43,8%,543,04-05-2020
Hernando,2,1,570,43,7%,614,04-05-2020
Leon,4,0,977,42,4%,1019,04-05-2020
Highlands,3,2,232,35,13%,269,04-05-2020
Flagler,0,2,376,31,8%,409,04-05-2020
Bay,2,0,276,24,8%,300,04-05-2020
Walton,0,0,169,23,12%,192,04-05-2020
Nassau,0,0,364,21,5%,385,04-05-2020
Putnam,5,0,495,19,4%,514,04-05-2020
Suwannee,3,0,141,18,11%,159,04-05-2020
Columbia,16,0,227,13,5%,240,04-05-2020
Baker,1,0,125,12,9%,137,04-05-2020
Desoto,3,0,160,12,7%,172,04-05-2020
Madison,1,0,48,10,17%,58,04-05-2020
Bradford,3,0,134,7,5%,141,04-05-2020
Hendry,0,0,116,7,6%,123,04-05-2020
Wakulla,0,0,90,6,6%,96,04-05-2020
Gadsden,0,0,74,4,5%,78,04-05-2020
Glades,0,0,11,4,27%,15,04-05-2020
Jackson,1,0,108,4,4%,112,04-05-2020
Levy,0,0,151,4,3%,155,04-05-2020
Unknown,67,0,35,4,10%,39,04-05-2020
Calhoun,0,0,27,3,10%,30,04-05-2020
Okeechobee,2,0,129,3,2%,132,04-05-2020
Franklin,0,0,27,2,7%,29,04-05-2020
Hardee,0,0,39,2,5%,41,04-05-2020
Union,1,0,65,2,3%,67,04-05-2020
Dixie,0,0,66,1,1%,67,04-05-2020
Gulf,0,0,51,1,2%,52,04-05-2020
Holmes,3,0,50,1,2%,51,04-05-2020
Jefferson,6,0,25,1,4%,26,04-05-2020
Washington,2,0,68,1,1%,69,04-05-2020
Gilchrist,0,0,63,0,0%,63,04-05-2020
Hamilton,1,0,41,0,0%,41,04-05-2020
Lafayette,0,0,23,0,0%,23,04-05-2020
Liberty,0,0,9,0,0%,9,04-05-2020
Taylor,0,0,52,0,0%,52,04-05-2020
Total,1194,53,103301,12350,11%,115704,04-05-2020
