County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,272,171,69650,11831,14%,81652,04-28-2020
Broward,29,30,39826,4847,11%,44703,04-28-2020
Palm Beach,52,245,23754,2877,11%,26876,04-28-2020
Orange,15,3,22735,1363,6%,24101,04-28-2020
Hillsborough,21,33,18281,1080,6%,19394,04-28-2020
Duval,73,11,21049,1001,5%,22061,04-28-2020
Lee,14,2,9981,990,9%,10973,04-28-2020
Pinellas,173,10,12766,709,5%,13485,04-28-2020
Collier,13,1,4689,568,11%,5258,04-28-2020
Manatee,1,2,3013,563,16%,3578,04-28-2020
Escambia,17,8,6295,485,7%,6788,04-28-2020
Osceola,45,2,4702,474,9%,5178,04-28-2020
Polk,6,2,6540,457,7%,6999,04-28-2020
Volusia,1,3,7927,445,5%,8375,04-28-2020
Seminole,3,4,6204,374,6%,6582,04-28-2020
Sarasota,2,1,4067,334,8%,4402,04-28-2020
Clay,,1,3372,272,7%,3645,04-28-2020
Brevard,1,2,7926,268,3%,8196,04-28-2020
Alachua,,7,6369,255,4%,6631,04-28-2020
Pasco,25,6,5029,239,5%,5274,04-28-2020
St. Lucie,52,2,2790,239,8%,3031,04-28-2020
Lake,14,,4953,226,4%,5179,04-28-2020
Charlotte,5,1,1798,219,11%,2018,04-28-2020
Leon,7,2,2937,213,7%,3152,04-28-2020
St. Johns,7,1,4627,207,4%,4835,04-28-2020
Martin,5,,1560,185,11%,1745,04-28-2020
Sumter,25,,1603,177,10%,1780,04-28-2020
Marion,132,2,3927,160,4%,4089,04-28-2020
Okaloosa,11,,2201,152,6%,2353,04-28-2020
Santa Rosa,1,1,2414,151,6%,2566,04-28-2020
Flagler,,1,1301,131,9%,1433,04-28-2020
Suwannee,2,,582,128,18%,710,04-28-2020
Putnam,3,,1358,103,7%,1461,04-28-2020
Citrus,1,2,1445,97,6%,1544,04-28-2020
Gadsden,,,406,94,19%,500,04-28-2020
Indian River,49,,1612,90,5%,1702,04-28-2020
Hernando,,,1537,89,5%,1626,04-28-2020
Highlands,3,1,1000,81,7%,1082,04-28-2020
Monroe,23,,1101,78,7%,1179,04-28-2020
Hendry,1,,437,72,14%,509,04-28-2020
Bay,,2,1362,70,5%,1434,04-28-2020
Columbia,6,,1059,55,5%,1114,04-28-2020
Nassau,,,1341,53,4%,1394,04-28-2020
Madison,78,,306,49,14%,355,04-28-2020
Bradford,2,,691,44,6%,735,04-28-2020
Walton,,1,551,35,6%,587,04-28-2020
Jefferson,1,,115,28,20%,143,04-28-2020
Desoto,4,,485,26,5%,511,04-28-2020
Wakulla,1,,295,22,7%,317,04-28-2020
Baker,,,346,20,5%,366,04-28-2020
Levy,,,593,18,3%,611,04-28-2020
Hardee,,,116,14,11%,130,04-28-2020
Jackson,,,386,13,3%,399,04-28-2020
Washington,1,,279,12,4%,291,04-28-2020
Okeechobee,1,,349,10,3%,359,04-28-2020
Holmes,6,,471,9,2%,480,04-28-2020
Dixie,1,,197,6,3%,203,04-28-2020
Hamilton,3,,140,6,4%,146,04-28-2020
Calhoun,,,103,6,6%,109,04-28-2020
Glades,,,55,5,8%,60,04-28-2020
Gilchrist,1,,221,4,2%,225,04-28-2020
Union,1,,211,4,2%,215,04-28-2020
Unknown,1,,49,4,8%,53,04-28-2020
Taylor,5,,214,3,1%,217,04-28-2020
Franklin,,,85,2,2%,87,04-28-2020
Liberty,,,47,2,4%,49,04-28-2020
Gulf,,,128,1,1%,129,04-28-2020
Lafayette,,,70,1,1%,71,04-28-2020
Total,1216,560,334029,32846,9%,367435,04-28-2020
