County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,60,360,140284,16694,11%,157338,05-23-2020
Broward,22,145,85276,6649,7%,92070,05-23-2020
Palm Beach,113,437,56747,5140,8%,62324,05-23-2020
Hillsborough,21,131,46262,1823,4%,48216,05-23-2020
Orange,15,65,61069,1768,3%,62902,05-23-2020
Lee,42,8,22160,1677,7%,23845,05-23-2020
Duval,77,51,45712,1406,3%,47169,05-23-2020
Collier,7,8,11327,1195,10%,12530,05-23-2020
Pinellas,69,25,33188,1153,3%,34366,05-23-2020
Manatee,,10,13454,958,7%,14422,05-23-2020
Polk,6,35,16621,853,5%,17509,05-23-2020
Escambia,2,18,16116,749,4%,16883,05-23-2020
Volusia,1,21,18431,655,3%,19107,05-23-2020
Osceola,46,14,11924,648,5%,12586,05-23-2020
Sarasota,1,7,11163,576,5%,11746,05-23-2020
Martin,5,10,5808,483,8%,6301,05-23-2020
Seminole,4,15,16701,454,3%,17170,05-23-2020
Charlotte,3,2,4784,417,8%,5203,05-23-2020
Brevard,1,8,18699,389,2%,19096,05-23-2020
St. Lucie,53,10,8736,386,4%,9132,05-23-2020
Alachua,,14,14019,355,2%,14388,05-23-2020
Clay,,5,7673,354,4%,8032,05-23-2020
Pasco,15,19,12280,341,3%,12640,05-23-2020
Leon,10,6,11787,330,3%,12123,05-23-2020
Lake,8,20,14232,271,2%,14523,05-23-2020
Gadsden,,10,2849,255,8%,3114,05-23-2020
Sumter,24,21,3513,253,7%,3787,05-23-2020
Hendry,1,3,1418,249,15%,1670,05-23-2020
St. Johns,5,40,9556,238,2%,9834,05-23-2020
Marion,772,4,9541,233,2%,9778,05-23-2020
Jackson,,14,2844,225,7%,3083,05-23-2020
Santa Rosa,1,6,6463,207,3%,6676,05-23-2020
Liberty,,2,2007,204,9%,2213,05-23-2020
Okaloosa,,4,6545,192,3%,6741,05-23-2020
Flagler,,9,3636,173,5%,3818,05-23-2020
Suwannee,,7,1945,164,8%,2116,05-23-2020
Hamilton,,3,1528,161,10%,1692,05-23-2020
Putnam,6,8,3071,139,4%,3218,05-23-2020
Columbia,4,23,3033,125,4%,3181,05-23-2020
Citrus,1,3,3375,119,3%,3497,05-23-2020
Indian River,51,1,4665,113,2%,4779,05-23-2020
Highlands,4,5,3596,112,3%,3713,05-23-2020
Desoto,6,1,2102,112,5%,2215,05-23-2020
Hernando,,20,3218,109,3%,3347,05-23-2020
Monroe,96,,2299,107,4%,2406,05-23-2020
Walton,,4,1484,103,6%,1591,05-23-2020
Bay,,3,3412,94,3%,3509,05-23-2020
Unknown,1,20,1323,84,6%,1427,05-23-2020
Nassau,1,2,3121,69,2%,3192,05-23-2020
Madison,,3,848,67,7%,918,05-23-2020
Hardee,,,683,63,8%,746,05-23-2020
Okeechobee,,2,1384,57,4%,1443,05-23-2020
Calhoun,,2,498,52,9%,552,05-23-2020
Bradford,1,1,1402,50,3%,1453,05-23-2020
Dixie,,1,612,38,6%,651,05-23-2020
Wakulla,,,1188,32,3%,1220,05-23-2020
Union,,1,1667,29,2%,1697,05-23-2020
Jefferson,,1,495,29,6%,525,05-23-2020
Levy,,1,1574,27,2%,1602,05-23-2020
Baker,,,836,27,3%,863,05-23-2020
Washington,7,1,652,26,4%,679,05-23-2020
Glades,,,132,20,13%,152,05-23-2020
Holmes,,1,706,14,2%,721,05-23-2020
Taylor,1,3,653,11,2%,667,05-23-2020
Gilchrist,,1,573,10,2%,584,05-23-2020
Lafayette,,,341,8,2%,349,05-23-2020
Franklin,,,523,2,0%,525,05-23-2020
Gulf,,,546,1,0%,547,05-23-2020
Total,1563,1675,806310,50127,6%,858112,05-23-2020
