County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,272,169,64993,11351,15%,76513,04-26-2020
Broward,36,33,38312,4729,11%,43074,04-26-2020
Palm Beach,52,253,21269,2697,11%,24219,04-26-2020
Orange,14,3,21012,1322,6%,22337,04-26-2020
Hillsborough,15,33,17360,1048,6%,18441,04-26-2020
Duval,74,11,20283,984,5%,21278,04-26-2020
Lee,15,2,9630,961,9%,10593,04-26-2020
Pinellas,67,10,12211,687,5%,12908,04-26-2020
Collier,13,1,4571,552,11%,5124,04-26-2020
Manatee,3,2,2812,508,15%,3322,04-26-2020
Osceola,48,3,4219,463,10%,4685,04-26-2020
Escambia,18,7,6002,457,7%,6466,04-26-2020
Volusia,1,3,7333,434,6%,7770,04-26-2020
Polk,8,2,6066,410,6%,6478,04-26-2020
Seminole,4,3,5175,357,6%,5535,04-26-2020
Sarasota,1,1,3920,321,8%,4242,04-26-2020
Clay,,1,3243,267,8%,3511,04-26-2020
Brevard,2,2,7182,252,3%,7436,04-26-2020
Alachua,,7,6141,251,4%,6399,04-26-2020
Pasco,25,6,4827,232,5%,5065,04-26-2020
St. Lucie,47,2,2615,228,8%,2845,04-26-2020
Lake,14,1,4751,222,4%,4974,04-26-2020
Leon,7,2,2790,210,7%,3002,04-26-2020
St. Johns,5,1,4367,204,4%,4572,04-26-2020
Charlotte,6,2,1703,203,11%,1908,04-26-2020
Martin,5,,1463,174,11%,1637,04-26-2020
Sumter,24,,1567,171,10%,1738,04-26-2020
Marion,200,2,3682,151,4%,3835,04-26-2020
Santa Rosa,1,1,2333,149,6%,2483,04-26-2020
Okaloosa,11,,1976,149,7%,2125,04-26-2020
Flagler,1,1,1129,121,10%,1251,04-26-2020
Suwannee,2,,449,116,21%,565,04-26-2020
Citrus,1,1,1421,97,6%,1519,04-26-2020
Indian River,49,,1498,89,6%,1587,04-26-2020
Hernando,,,1461,88,6%,1549,04-26-2020
Putnam,3,,1161,87,7%,1248,04-26-2020
Gadsden,,,376,81,18%,457,04-26-2020
Monroe,16,,1058,78,7%,1136,04-26-2020
Highlands,,1,974,76,7%,1051,04-26-2020
Bay,,2,1169,65,5%,1236,04-26-2020
Hendry,1,,388,65,14%,453,04-26-2020
Nassau,,,1294,53,4%,1347,04-26-2020
Columbia,6,,823,49,6%,872,04-26-2020
Bradford,1,,672,43,6%,715,04-26-2020
Madison,94,,243,43,15%,286,04-26-2020
Walton,,1,516,35,6%,552,04-26-2020
Jefferson,2,,110,27,20%,137,04-26-2020
Desoto,4,,471,24,5%,495,04-26-2020
Wakulla,,,255,21,8%,276,04-26-2020
Baker,,,335,20,6%,355,04-26-2020
Levy,,,493,13,3%,506,04-26-2020
Jackson,,,379,13,3%,392,04-26-2020
Washington,1,,273,12,4%,285,04-26-2020
Hardee,,,105,10,9%,115,04-26-2020
Holmes,5,,463,9,2%,472,04-26-2020
Okeechobee,1,,327,9,3%,336,04-26-2020
Hamilton,3,,131,6,4%,137,04-26-2020
Calhoun,,,99,6,6%,105,04-26-2020
Glades,,,49,6,11%,55,04-26-2020
Dixie,1,,185,5,3%,190,04-26-2020
Gilchrist,1,,208,4,2%,212,04-26-2020
Union,1,,204,4,2%,208,04-26-2020
Taylor,1,,204,3,1%,207,04-26-2020
Franklin,,,84,2,2%,86,04-26-2020
Liberty,,,41,2,5%,43,04-26-2020
Gulf,,,122,1,1%,123,04-26-2020
Lafayette,,,66,1,1%,67,04-26-2020
Unknown,1,,41,,,41,04-26-2020
Total,1183,569,313085,31528,9%,345182,04-26-2020
