County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,178,26,19770,4671,19%,24467,04-06-2020
Broward,62,12,16211,2075,11%,18298,04-06-2020
Palm Beach,104,2,4811,1082,18%,5895,04-06-2020
Orange,17,0,7083,754,10%,7837,04-06-2020
Hillsborough,6,4,8177,575,7%,8756,04-06-2020
Duval,115,0,7617,478,6%,8095,04-06-2020
Lee,22,1,3559,400,10%,3960,04-06-2020
Pinellas,68,8,6133,372,6%,6513,04-06-2020
Collier,24,0,2011,249,11%,2260,04-06-2020
Osceola,72,0,1427,241,14%,1668,04-06-2020
Seminole,14,1,1980,195,9%,2176,04-06-2020
Polk,16,2,2445,180,7%,2627,04-06-2020
Sarasota,10,0,1222,159,12%,1381,04-06-2020
Volusia,4,1,1402,153,10%,1556,04-06-2020
St. Johns,39,1,2152,147,6%,2300,04-06-2020
Manatee,2,0,835,145,15%,980,04-06-2020
Escambia,3,0,1931,141,7%,2072,04-06-2020
Alachua,12,3,2203,133,6%,2339,04-06-2020
Pasco,16,1,2320,114,5%,2435,04-06-2020
Lake,10,3,1915,107,5%,2025,04-06-2020
St. Lucie,21,0,1133,107,9%,1240,04-06-2020
Brevard,3,1,1343,92,6%,1436,04-06-2020
Martin,5,0,705,85,11%,790,04-06-2020
Clay,4,0,1135,81,7%,1216,04-06-2020
Sumter,12,1,859,81,9%,941,04-06-2020
Okaloosa,40,0,501,65,11%,566,04-06-2020
Santa Rosa,0,0,819,64,7%,883,04-06-2020
Indian River,19,0,612,60,9%,672,04-06-2020
Leon,3,0,1143,59,5%,1202,04-06-2020
Charlotte,5,1,573,55,9%,629,04-06-2020
Marion,199,2,1039,55,5%,1096,04-06-2020
Hernando,1,1,631,48,7%,680,04-06-2020
Citrus,5,0,549,46,8%,595,04-06-2020
Monroe,86,0,379,46,11%,425,04-06-2020
Highlands,3,2,241,36,13%,279,04-06-2020
Flagler,0,2,387,34,8%,423,04-06-2020
Suwannee,1,0,155,31,17%,186,04-06-2020
Nassau,0,0,407,25,6%,432,04-06-2020
Walton,0,0,184,25,12%,209,04-06-2020
Bay,1,0,288,24,8%,312,04-06-2020
Putnam,5,0,527,19,3%,546,04-06-2020
Columbia,16,0,252,15,6%,267,04-06-2020
Desoto,2,0,176,14,7%,190,04-06-2020
Baker,1,0,136,13,9%,149,04-06-2020
Madison,0,0,52,11,17%,63,04-06-2020
Bradford,9,0,147,9,6%,156,04-06-2020
Hendry,0,0,126,9,7%,135,04-06-2020
Wakulla,0,0,109,6,5%,115,04-06-2020
Gadsden,0,0,88,5,5%,93,04-06-2020
Unknown,65,0,36,5,12%,41,04-06-2020
Glades,0,0,12,4,25%,16,04-06-2020
Jackson,1,0,120,4,3%,124,04-06-2020
Levy,1,0,163,4,2%,167,04-06-2020
Okeechobee,2,0,133,4,3%,137,04-06-2020
Calhoun,0,0,33,3,8%,36,04-06-2020
Jefferson,5,0,31,3,9%,34,04-06-2020
Franklin,0,0,30,2,6%,32,04-06-2020
Hardee,0,0,42,2,5%,44,04-06-2020
Union,1,0,72,2,3%,74,04-06-2020
Dixie,0,0,71,1,1%,72,04-06-2020
Gulf,0,0,52,1,2%,53,04-06-2020
Hamilton,1,0,44,1,2%,45,04-06-2020
Holmes,8,0,52,1,2%,53,04-06-2020
Washington,2,0,69,1,1%,70,04-06-2020
Gilchrist,0,0,67,0,0%,67,04-06-2020
Lafayette,1,0,25,0,0%,25,04-06-2020
Liberty,0,0,12,0,0%,12,04-06-2020
Taylor,0,0,58,0,0%,58,04-06-2020
Total,1322,75,111022,13629,11%,124726,04-06-2020
