County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,319,182,90408,13585,13%,104175,05-07-2020
Broward,23,42,52101,5677,10%,57820,05-07-2020
Palm Beach,64,222,34154,3587,9%,37963,05-07-2020
Orange,13,32,31877,1474,4%,33383,05-07-2020
Hillsborough,13,35,25884,1364,5%,27283,05-07-2020
Lee,14,3,12111,1212,9%,13326,05-07-2020
Duval,81,12,29184,1083,4%,30279,05-07-2020
Pinellas,276,10,16768,820,5%,17598,05-07-2020
Manatee,,5,6037,737,11%,6779,05-07-2020
Collier,9,2,5825,705,11%,6532,05-07-2020
Escambia,12,7,8822,616,7%,9445,05-07-2020
Polk,5,3,8810,594,6%,9407,05-07-2020
Osceola,39,11,7053,544,7%,7608,05-07-2020
Volusia,,7,11476,534,4%,12017,05-07-2020
Sarasota,2,1,5470,412,7%,5883,05-07-2020
Seminole,3,7,9104,410,4%,9521,05-07-2020
Brevard,1,3,10876,325,3%,11204,05-07-2020
Charlotte,6,1,2801,304,10%,3106,05-07-2020
Alachua,,8,7550,300,4%,7858,05-07-2020
Clay,,1,4206,292,6%,4499,05-07-2020
Pasco,22,6,6877,289,4%,7172,05-07-2020
St. Lucie,53,4,3754,271,7%,4029,05-07-2020
Leon,9,3,4886,249,5%,5138,05-07-2020
Sumter,24,,1942,238,11%,2180,05-07-2020
Lake,9,5,7845,237,3%,8087,05-07-2020
Martin,6,,1957,233,11%,2190,05-07-2020
St. Johns,26,1,5571,222,4%,5794,05-07-2020
Marion,326,2,5054,202,4%,5258,05-07-2020
Okaloosa,2,1,2841,163,5%,3005,05-07-2020
Santa Rosa,2,1,3231,160,5%,3392,05-07-2020
Flagler,3,2,1862,145,7%,2009,05-07-2020
Suwannee,,,1077,144,12%,1221,05-07-2020
Hendry,1,,753,129,15%,882,05-07-2020
Gadsden,,,671,121,15%,792,05-07-2020
Putnam,3,,1835,120,6%,1955,05-07-2020
Liberty,,,648,114,15%,762,05-07-2020
Citrus,1,2,1770,102,5%,1874,05-07-2020
Columbia,6,,1321,101,7%,1422,05-07-2020
Indian River,51,,2046,99,5%,2145,05-07-2020
Hernando,,,1949,97,5%,2046,05-07-2020
Highlands,6,1,1477,90,6%,1568,05-07-2020
Monroe,51,,1407,80,5%,1487,05-07-2020
Bay,,2,1691,76,4%,1769,05-07-2020
Madison,5,,427,61,13%,488,05-07-2020
Nassau,,,1661,60,3%,1721,05-07-2020
Walton,,1,707,50,7%,758,05-07-2020
Bradford,1,,811,48,6%,859,05-07-2020
Desoto,5,,1227,42,3%,1269,05-07-2020
Hardee,,,227,35,13%,262,05-07-2020
Unknown,1,,72,33,31%,105,05-07-2020
Jackson,,,534,31,5%,565,05-07-2020
Wakulla,1,,535,29,5%,564,05-07-2020
Jefferson,,,172,28,14%,200,05-07-2020
Calhoun,1,1,166,24,13%,191,05-07-2020
Okeechobee,,,856,22,3%,878,05-07-2020
Baker,,,433,22,5%,455,05-07-2020
Levy,,,804,20,2%,824,05-07-2020
Washington,,,315,12,4%,327,05-07-2020
Dixie,,,256,11,4%,267,05-07-2020
Holmes,,,512,10,2%,522,05-07-2020
Hamilton,,,196,7,3%,203,05-07-2020
Gilchrist,1,,277,6,2%,283,05-07-2020
Glades,,,77,6,7%,83,05-07-2020
Union,2,,265,5,2%,270,05-07-2020
Taylor,1,,251,3,1%,254,05-07-2020
Lafayette,,,85,3,3%,88,05-07-2020
Franklin,,,119,2,2%,121,05-07-2020
Gulf,,,155,1,1%,156,05-07-2020
Total,1499,626,454122,38828,8%,493576,05-07-2020
