County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,200,452,34500,7459,18%,42411,04-13-2020
Broward,58,32,23055,3177,12%,26264,04-13-2020
Palm Beach,84,112,9110,1704,16%,10926,04-13-2020
Orange,22,40,10875,1024,9%,11939,04-13-2020
Hillsborough,5,26,11604,813,7%,12443,04-13-2020
Duval,79,11,12525,691,5%,13227,04-13-2020
Lee,24,3,5191,642,11%,5836,04-13-2020
Pinellas,69,9,8498,479,5%,8986,04-13-2020
Collier,14,1,3178,376,11%,3555,04-13-2020
Osceola,67,10,2374,333,12%,2717,04-13-2020
Polk,14,3,3956,270,6%,4229,04-13-2020
Seminole,11,9,2973,268,8%,3250,04-13-2020
Manatee,2,1,1504,252,14%,1757,04-13-2020
Escambia,11,5,3459,241,7%,3705,04-13-2020
Sarasota,2,1,2215,230,9%,2446,04-13-2020
Volusia,3,3,2412,216,8%,2631,04-13-2020
Alachua,4,9,3801,187,5%,3997,04-13-2020
St. Johns,18,2,3154,176,5%,3332,04-13-2020
Pasco,21,5,3405,169,5%,3579,04-13-2020
Clay,3,1,1998,165,8%,2164,04-13-2020
Lake,18,3,2763,162,6%,2928,04-13-2020
St. Lucie,37,1,1778,161,8%,1940,04-13-2020
Leon,6,2,1816,150,8%,1968,04-13-2020
Brevard,3,204,2759,148,5%,3111,04-13-2020
Martin,7,,1042,129,11%,1171,04-13-2020
Charlotte,7,2,993,119,11%,1114,04-13-2020
Santa Rosa,1,1,1522,113,7%,1636,04-13-2020
Sumter,26,1,1090,112,9%,1203,04-13-2020
Okaloosa,12,1,1213,103,8%,1317,04-13-2020
Marion,232,3,1873,101,5%,1977,04-13-2020
Indian River,44,1,1016,77,7%,1094,04-13-2020
Citrus,5,3,942,72,7%,1017,04-13-2020
Hernando,1,,1027,71,6%,1098,04-13-2020
Suwannee,,,286,68,19%,354,04-13-2020
Monroe,75,,651,64,9%,715,04-13-2020
Highlands,2,2,422,61,13%,485,04-13-2020
Flagler,,2,663,45,6%,710,04-13-2020
Putnam,3,,813,42,5%,855,04-13-2020
Bay,,,572,38,6%,610,04-13-2020
Gadsden,,,186,36,16%,222,04-13-2020
Nassau,,,678,34,5%,712,04-13-2020
Bradford,14,,263,30,10%,293,04-13-2020
Walton,1,1,313,29,8%,343,04-13-2020
Columbia,7,,415,27,6%,442,04-13-2020
Desoto,,,319,22,6%,341,04-13-2020
Hendry,,,197,22,10%,219,04-13-2020
Baker,,,218,17,7%,235,04-13-2020
Madison,,,106,14,12%,120,04-13-2020
Wakulla,,,179,12,6%,191,04-13-2020
Jefferson,,,59,12,17%,71,04-13-2020
Levy,,,287,7,2%,294,04-13-2020
Jackson,,,198,6,3%,204,04-13-2020
Okeechobee,1,,199,5,2%,204,04-13-2020
Calhoun,,,57,5,8%,62,04-13-2020
Glades,,,27,5,16%,32,04-13-2020
Gilchrist,,,124,4,3%,128,04-13-2020
Washington,5,,103,4,4%,107,04-13-2020
Hardee,,,74,3,4%,77,04-13-2020
Union,2,,121,2,2%,123,04-13-2020
Dixie,1,,112,2,2%,114,04-13-2020
Holmes,5,,86,2,2%,88,04-13-2020
Hamilton,1,,72,2,3%,74,04-13-2020
Franklin,,,53,2,4%,55,04-13-2020
Unknown,11,,32,2,6%,34,04-13-2020
Liberty,,,25,2,7%,27,04-13-2020
Taylor,,,126,1,1%,127,04-13-2020
Gulf,,,91,1,1%,92,04-13-2020
Lafayette,,,38,1,3%,39,04-13-2020
Total,1238,962,177786,21019,11%,199767,04-13-2020
