County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,90,2,8036,1701,17%,9739,03-30-2020
Broward,101,2,9836,1137,10%,10975,03-30-2020
Palm Beach,41,0,2217,463,17%,2680,03-30-2020
Orange,12,0,2943,300,9%,3243,03-30-2020
Hillsborough,9,0,3911,272,7%,4183,03-30-2020
Lee,8,0,1734,171,9%,1905,03-30-2020
Duval,193,0,2322,163,7%,2485,03-30-2020
Pinellas,67,2,2315,129,5%,2446,03-30-2020
Collier,26,0,1086,127,10%,1213,03-30-2020
Osceola,72,0,559,94,14%,653,03-30-2020
Seminole,23,1,939,88,9%,1028,03-30-2020
Escambia,1,0,705,81,10%,786,03-30-2020
Alachua,16,1,1230,80,6%,1311,03-30-2020
Volusia,4,0,645,69,10%,714,03-30-2020
Sarasota,39,0,729,67,8%,796,03-30-2020
Polk,35,0,898,63,7%,961,03-30-2020
St. Johns,30,1,774,61,7%,836,03-30-2020
Lake,5,3,1025,50,5%,1078,03-30-2020
Sumter,2,1,713,47,6%,761,03-30-2020
Manatee,7,0,303,42,12%,345,03-30-2020
Pasco,11,1,862,38,4%,901,03-30-2020
Okaloosa,27,0,217,36,14%,253,03-30-2020
Santa Rosa,2,0,290,36,11%,326,03-30-2020
Clay,3,0,335,34,9%,369,03-30-2020
Brevard,6,0,517,32,6%,549,03-30-2020
St. Lucie,16,0,381,31,8%,412,03-30-2020
Martin,2,0,241,27,10%,268,03-30-2020
Monroe,64,0,149,26,15%,175,03-30-2020
Indian River,7,0,229,25,10%,254,03-30-2020
Leon,2,0,534,23,4%,557,03-30-2020
Marion,157,0,520,23,4%,543,03-30-2020
Hernando,1,0,249,21,8%,270,03-30-2020
Charlotte,4,0,272,20,7%,292,03-30-2020
Citrus,4,0,215,17,7%,232,03-30-2020
Walton,1,0,96,16,14%,112,03-30-2020
Flagler,0,0,166,15,8%,181,03-30-2020
Highlands,15,1,58,14,19%,73,03-30-2020
Putnam,6,0,236,13,5%,249,03-30-2020
Baker,1,0,58,8,12%,66,03-30-2020
Desoto,8,0,93,7,7%,100,03-30-2020
Nassau,1,0,96,7,7%,103,03-30-2020
Bay,3,0,113,6,5%,119,03-30-2020
Columbia,32,1,117,3,2%,121,03-30-2020
Glades,0,0,4,3,43%,7,03-30-2020
Hendry,1,0,50,3,6%,53,03-30-2020
Suwannee,7,0,61,3,5%,64,03-30-2020
Bradford,1,0,61,2,3%,63,03-30-2020
Jackson,8,0,71,2,3%,73,03-30-2020
Levy,0,0,84,2,2%,86,03-30-2020
Unknown,2,0,11,2,15%,13,03-30-2020
Gadsden,0,0,41,1,2%,42,03-30-2020
Holmes,4,0,27,1,4%,28,03-30-2020
Wakulla,0,0,44,1,2%,45,03-30-2020
Washington,5,0,40,1,2%,41,03-30-2020
Calhoun,0,0,12,0,0%,12,03-30-2020
Dixie,0,0,33,0,0%,33,03-30-2020
Franklin,0,0,18,0,0%,18,03-30-2020
Gilchrist,0,0,32,0,0%,32,03-30-2020
Gulf,0,0,38,0,0%,38,03-30-2020
Hamilton,2,0,17,0,0%,17,03-30-2020
Hardee,0,0,15,0,0%,15,03-30-2020
Jefferson,0,0,17,0,0%,17,03-30-2020
Lafayette,0,0,11,0,0%,11,03-30-2020
Liberty,0,0,3,0,0%,3,03-30-2020
Madison,0,0,27,0,0%,27,03-30-2020
Okeechobee,1,0,46,0,0%,46,03-30-2020
Taylor,0,0,32,0,0%,32,03-30-2020
Union,1,0,37,0,0%,37,03-30-2020
Total,1186,16,49796,5704,10%,55516,03-30-2020
