County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,133,1,9190,2123,19%,11314,03-31-2020
Broward,102,2,10508,1219,10%,11729,03-31-2020
Palm Beach,59,0,2631,551,17%,3182,03-31-2020
Orange,13,0,3602,373,9%,3975,03-31-2020
Hillsborough,8,0,4328,305,7%,4633,03-31-2020
Duval,177,0,2896,207,7%,3103,03-31-2020
Lee,9,0,1952,206,10%,2158,03-31-2020
Pinellas,66,3,2685,167,6%,2855,03-31-2020
Collier,35,0,1210,146,11%,1356,03-31-2020
Osceola,61,0,703,110,14%,813,03-31-2020
Seminole,20,1,1067,103,9%,1171,03-31-2020
Escambia,2,0,823,94,10%,917,03-31-2020
Alachua,16,1,1340,87,6%,1428,03-31-2020
Volusia,4,0,737,80,10%,817,03-31-2020
St. Johns,29,1,860,79,8%,940,03-31-2020
Sarasota,34,0,773,76,9%,849,03-31-2020
Polk,32,0,1109,73,6%,1182,03-31-2020
Lake,6,3,1107,66,6%,1176,03-31-2020
Manatee,6,0,376,53,12%,429,03-31-2020
Sumter,5,1,728,51,7%,780,03-31-2020
Santa Rosa,2,0,331,44,12%,375,03-31-2020
Clay,4,0,410,41,9%,451,03-31-2020
Pasco,13,1,1020,40,4%,1061,03-31-2020
Okaloosa,42,0,236,39,14%,275,03-31-2020
St. Lucie,14,0,498,38,7%,536,03-31-2020
Brevard,7,0,574,37,6%,611,03-31-2020
Indian River,7,0,302,33,10%,335,03-31-2020
Martin,5,0,282,28,9%,310,03-31-2020
Monroe,67,0,179,27,13%,206,03-31-2020
Leon,3,0,591,26,4%,617,03-31-2020
Marion,149,0,628,25,4%,653,03-31-2020
Charlotte,5,0,296,24,8%,320,03-31-2020
Hernando,1,0,293,24,8%,317,03-31-2020
Citrus,3,0,243,19,7%,262,03-31-2020
Flagler,0,0,185,18,9%,203,03-31-2020
Walton,1,0,108,18,14%,126,03-31-2020
Highlands,12,1,83,17,17%,101,03-31-2020
Putnam,5,0,266,13,5%,279,03-31-2020
Nassau,0,0,135,10,7%,145,03-31-2020
Baker,1,0,65,9,12%,74,03-31-2020
Bay,3,0,132,8,6%,140,03-31-2020
Desoto,5,0,105,7,6%,112,03-31-2020
Hendry,1,0,58,4,6%,62,03-31-2020
Columbia,42,0,135,3,2%,138,03-31-2020
Glades,0,0,4,3,43%,7,03-31-2020
Suwannee,6,0,66,3,4%,69,03-31-2020
Bradford,1,0,67,2,3%,69,03-31-2020
Jackson,14,0,73,2,3%,75,03-31-2020
Levy,1,0,97,2,2%,99,03-31-2020
Unknown,10,0,12,2,14%,14,03-31-2020
Calhoun,0,0,13,1,7%,14,03-31-2020
Gadsden,0,0,45,1,2%,46,03-31-2020
Holmes,5,0,27,1,4%,28,03-31-2020
Union,2,0,42,1,2%,43,03-31-2020
Wakulla,0,0,50,1,2%,51,03-31-2020
Washington,7,0,40,1,2%,41,03-31-2020
Dixie,0,0,40,0,0%,40,03-31-2020
Franklin,0,0,20,0,0%,20,03-31-2020
Gilchrist,0,0,39,0,0%,39,03-31-2020
Gulf,0,0,40,0,0%,40,03-31-2020
Hamilton,5,0,21,0,0%,21,03-31-2020
Hardee,0,0,18,0,0%,18,03-31-2020
Jefferson,0,0,18,0,0%,18,03-31-2020
Lafayette,0,0,11,0,0%,11,03-31-2020
Liberty,0,0,3,0,0%,3,03-31-2020
Madison,0,0,29,0,0%,29,03-31-2020
Okeechobee,1,0,54,0,0%,54,03-31-2020
Taylor,0,0,35,0,0%,35,03-31-2020
Total,1261,15,56644,6741,11%,63400,03-31-2020
