County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,71,360,137761,16522,11%,154643,05-21-2020
Broward,21,148,83279,6580,7%,90007,05-21-2020
Palm Beach,110,437,55582,5072,8%,61091,05-21-2020
Hillsborough,19,131,45491,1790,4%,47412,05-21-2020
Orange,15,65,59497,1744,3%,61306,05-21-2020
Lee,22,7,21756,1666,7%,23429,05-21-2020
Duval,76,51,44998,1376,3%,46425,05-21-2020
Collier,7,8,10665,1160,10%,11833,05-21-2020
Pinellas,64,25,32266,1116,3%,33407,05-21-2020
Manatee,,10,13064,946,7%,14020,05-21-2020
Polk,6,34,16044,840,5%,16918,05-21-2020
Escambia,2,18,15197,740,5%,15955,05-21-2020
Osceola,45,14,11500,644,5%,12158,05-21-2020
Volusia,,21,17785,640,3%,18446,05-21-2020
Sarasota,1,7,10819,565,5%,11391,05-21-2020
Martin,5,10,5637,476,8%,6123,05-21-2020
Seminole,3,15,16290,449,3%,16754,05-21-2020
Charlotte,3,2,4695,412,8%,5109,05-21-2020
Brevard,1,8,18222,380,2%,18610,05-21-2020
St. Lucie,52,10,8512,363,4%,8885,05-21-2020
Alachua,,14,13373,354,3%,13741,05-21-2020
Clay,,5,7578,354,4%,7937,05-21-2020
Pasco,15,19,11960,338,3%,12317,05-21-2020
Leon,10,6,11527,329,3%,11862,05-21-2020
Lake,8,20,13921,266,2%,14207,05-21-2020
Sumter,23,21,3456,252,7%,3729,05-21-2020
Gadsden,,10,2821,252,8%,3083,05-21-2020
Hendry,1,3,1380,250,15%,1633,05-21-2020
St. Johns,5,40,9467,236,2%,9743,05-21-2020
Marion,730,4,9341,233,2%,9578,05-21-2020
Jackson,,14,2542,219,8%,2775,05-21-2020
Liberty,,2,1997,204,9%,2203,05-21-2020
Santa Rosa,1,6,6252,202,3%,6460,05-21-2020
Okaloosa,,4,6074,185,3%,6263,05-21-2020
Flagler,,9,3562,173,5%,3744,05-21-2020
Suwannee,,7,1911,164,8%,2082,05-21-2020
Hamilton,,3,1488,159,10%,1650,05-21-2020
Putnam,7,8,3032,138,4%,3178,05-21-2020
Columbia,4,23,2963,121,4%,3107,05-21-2020
Citrus,1,3,3279,118,3%,3400,05-21-2020
Indian River,51,1,4470,112,2%,4583,05-21-2020
Highlands,3,5,3529,111,3%,3645,05-21-2020
Hernando,,20,3137,110,3%,3267,05-21-2020
Monroe,89,,2257,101,4%,2358,05-21-2020
Walton,,4,1309,100,7%,1413,05-21-2020
Desoto,6,1,2063,97,4%,2161,05-21-2020
Bay,,3,3236,92,3%,3331,05-21-2020
Unknown,1,10,638,84,11%,732,05-21-2020
Nassau,1,2,3091,69,2%,3162,05-21-2020
Madison,,3,705,66,9%,774,05-21-2020
Hardee,,,676,60,8%,736,05-21-2020
Okeechobee,,2,1353,55,4%,1410,05-21-2020
Calhoun,,2,448,52,10%,502,05-21-2020
Bradford,1,1,1382,50,3%,1433,05-21-2020
Dixie,,1,583,33,5%,617,05-21-2020
Wakulla,,,1131,32,3%,1163,05-21-2020
Jefferson,,1,470,29,6%,500,05-21-2020
Union,,1,1658,28,2%,1687,05-21-2020
Levy,,1,1535,27,2%,1563,05-21-2020
Baker,,,827,26,3%,853,05-21-2020
Washington,7,1,582,24,4%,607,05-21-2020
Glades,,,131,19,13%,150,05-21-2020
Holmes,,1,690,16,2%,707,05-21-2020
Taylor,,3,634,10,2%,647,05-21-2020
Gilchrist,,1,551,10,2%,562,05-21-2020
Lafayette,,,331,7,2%,338,05-21-2020
Franklin,,,518,2,0%,520,05-21-2020
Gulf,,,507,1,0%,508,05-21-2020
,,10,619,,0%,629,05-21-2020
Total,1487,1676,786045,49451,6%,837172,05-21-2020
