County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,201,306,31512,7058,18%,38876,04-12-2020
Broward,64,29,21413,2945,12%,24387,04-12-2020
Palm Beach,84,113,8602,1646,16%,10361,04-12-2020
Orange,16,16,9818,949,9%,10783,04-12-2020
Hillsborough,5,27,10892,759,6%,11678,04-12-2020
Duval,77,12,11883,668,5%,12563,04-12-2020
Lee,22,3,4981,617,11%,5601,04-12-2020
Pinellas,51,8,8179,455,5%,8642,04-12-2020
Collier,14,1,2966,361,11%,3328,04-12-2020
Osceola,65,3,2146,323,13%,2472,04-12-2020
Seminole,12,1,2731,255,9%,2987,04-12-2020
Polk,16,3,3637,254,7%,3894,04-12-2020
Manatee,2,1,1316,236,15%,1553,04-12-2020
Sarasota,2,1,2091,226,10%,2318,04-12-2020
Escambia,15,5,3379,224,6%,3608,04-12-2020
Alachua,6,9,3625,215,6%,3849,04-12-2020
Volusia,4,1,2121,201,9%,2323,04-12-2020
St. Johns,19,2,3021,173,5%,3196,04-12-2020
Clay,3,1,1871,163,8%,2035,04-12-2020
Pasco,23,5,3244,160,5%,3409,04-12-2020
St. Lucie,30,2,1702,152,8%,1856,04-12-2020
Lake,17,2,2573,150,6%,2725,04-12-2020
Brevard,3,49,2341,133,5%,2523,04-12-2020
Martin,11,,989,122,11%,1111,04-12-2020
Leon,6,2,1662,120,7%,1784,04-12-2020
Charlotte,7,2,915,113,11%,1030,04-12-2020
Sumter,17,1,1021,110,10%,1132,04-12-2020
Santa Rosa,1,1,1463,109,7%,1573,04-12-2020
Okaloosa,12,1,1045,101,9%,1147,04-12-2020
Marion,247,3,1664,93,5%,1760,04-12-2020
Indian River,42,,898,74,8%,972,04-12-2020
Hernando,1,,959,71,7%,1030,04-12-2020
Citrus,4,3,838,71,8%,912,04-12-2020
Suwannee,,,251,67,21%,318,04-12-2020
Monroe,115,,575,59,9%,634,04-12-2020
Highlands,1,2,382,56,13%,440,04-12-2020
Flagler,1,1,618,45,7%,664,04-12-2020
Putnam,3,,772,43,5%,815,04-12-2020
Bay,,,501,37,7%,538,04-12-2020
Nassau,1,,640,34,5%,674,04-12-2020
Walton,1,1,296,29,9%,326,04-12-2020
Bradford,10,,251,29,10%,280,04-12-2020
Columbia,7,,387,26,6%,413,04-12-2020
Desoto,2,,273,20,7%,293,04-12-2020
Hendry,,,185,20,10%,205,04-12-2020
Baker,,,204,17,8%,221,04-12-2020
Gadsden,,,155,17,10%,172,04-12-2020
Madison,,,98,14,13%,112,04-12-2020
Jefferson,,,56,12,18%,68,04-12-2020
Levy,,,261,8,3%,269,04-12-2020
Wakulla,,,165,8,5%,173,04-12-2020
Jackson,,,182,6,3%,188,04-12-2020
Okeechobee,1,,191,5,3%,196,04-12-2020
Calhoun,,,53,5,9%,58,04-12-2020
Gilchrist,,,111,4,3%,115,04-12-2020
Washington,5,,101,4,4%,105,04-12-2020
Glades,,,27,4,13%,31,04-12-2020
Hardee,,,65,3,4%,68,04-12-2020
Union,2,,110,2,2%,112,04-12-2020
Dixie,1,,109,2,2%,111,04-12-2020
Holmes,5,,82,2,2%,84,04-12-2020
Hamilton,1,,67,2,3%,69,04-12-2020
Franklin,,,50,2,4%,52,04-12-2020
Unknown,12,,32,2,6%,34,04-12-2020
Taylor,,,117,1,1%,118,04-12-2020
Gulf,,,87,1,1%,88,04-12-2020
Lafayette,,,35,1,3%,36,04-12-2020
Liberty,,,21,1,5%,22,04-12-2020
Total,1267,617,165008,19895,11%,185520,04-12-2020
