County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,217,143,27454,6300,19%,33897,04-10-2020
Broward,66,23,19612,2679,12%,22314,04-10-2020
Palm Beach,91,4,6460,1431,18%,7895,04-10-2020
Orange,19,6,9097,902,9%,10005,04-10-2020
Hillsborough,11,5,9824,676,6%,10505,04-10-2020
Duval,88,12,10729,618,5%,11359,04-10-2020
Lee,22,3,4706,572,11%,5281,04-10-2020
Pinellas,85,7,7610,431,5%,8048,04-10-2020
Collier,15,1,2704,327,11%,3032,04-10-2020
Osceola,67,1,1983,305,13%,2289,04-10-2020
Polk,17,3,3368,241,7%,3612,04-10-2020
Seminole,13,1,2481,238,9%,2720,04-10-2020
Sarasota,3,2,1621,211,12%,1834,04-10-2020
Escambia,7,2,3044,204,6%,3250,04-10-2020
Manatee,1,0,1175,200,15%,1375,04-10-2020
Volusia,6,1,1936,190,9%,2127,04-10-2020
Alachua,6,9,3317,167,5%,3493,04-10-2020
St. Johns,17,2,2773,165,6%,2940,04-10-2020
Lake,14,0,2422,149,6%,2571,04-10-2020
St. Lucie,41,1,1548,146,9%,1695,04-10-2020
Clay,8,1,1669,144,8%,1814,04-10-2020
Pasco,27,4,3017,143,5%,3164,04-10-2020
Brevard,2,11,2094,121,5%,2226,04-10-2020
Martin,7,0,923,115,11%,1038,04-10-2020
Sumter,14,1,975,107,10%,1083,04-10-2020
Santa Rosa,1,1,1311,105,7%,1417,04-10-2020
Charlotte,6,1,805,104,11%,910,04-10-2020
Leon,9,2,1499,91,6%,1592,04-10-2020
Okaloosa,14,1,790,85,10%,876,04-10-2020
Marion,342,3,1464,83,5%,1550,04-10-2020
Indian River,40,0,826,70,8%,896,04-10-2020
Citrus,4,3,745,64,8%,812,04-10-2020
Hernando,1,0,863,64,7%,927,04-10-2020
Suwannee,0,0,225,59,21%,284,04-10-2020
Monroe,110,0,531,55,9%,586,04-10-2020
Highlands,1,2,332,47,12%,381,04-10-2020
Flagler,0,1,552,44,7%,597,04-10-2020
Bay,0,0,409,36,8%,445,04-10-2020
Nassau,2,0,556,33,6%,589,04-10-2020
Putnam,4,0,670,29,4%,699,04-10-2020
Walton,0,0,258,27,9%,285,04-10-2020
Columbia,7,0,356,23,6%,379,04-10-2020
Bradford,8,0,226,22,9%,248,04-10-2020
Desoto,2,0,235,20,8%,255,04-10-2020
Baker,0,0,184,16,8%,200,04-10-2020
Hendry,0,0,161,15,9%,176,04-10-2020
Gadsden,1,0,135,14,9%,149,04-10-2020
Madison,2,0,82,14,15%,96,04-10-2020
Jefferson,6,0,47,9,16%,56,04-10-2020
Wakulla,0,0,153,7,4%,160,04-10-2020
Levy,1,0,229,6,3%,235,04-10-2020
Calhoun,0,0,47,5,10%,52,04-10-2020
Jackson,0,0,172,5,3%,177,04-10-2020
Okeechobee,1,0,163,5,3%,168,04-10-2020
Gilchrist,1,0,93,4,4%,97,04-10-2020
Glades,0,0,19,4,17%,23,04-10-2020
Hardee,0,0,55,3,5%,58,04-10-2020
Washington,2,0,89,3,3%,92,04-10-2020
Franklin,0,0,49,2,4%,51,04-10-2020
Hamilton,1,0,57,2,3%,59,04-10-2020
Holmes,7,0,76,2,3%,78,04-10-2020
Union,3,0,98,2,2%,100,04-10-2020
Unknown,12,0,31,2,6%,33,04-10-2020
Dixie,0,0,95,1,1%,96,04-10-2020
Gulf,0,0,81,1,1%,82,04-10-2020
Lafayette,0,0,34,1,3%,35,04-10-2020
Liberty,0,0,19,1,5%,20,04-10-2020
Taylor,2,0,97,1,1%,98,04-10-2020
Total,1454,257,147461,17968,11%,165686,04-10-2020
