County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,303,185,99181,14167,12%,113533,05-11-2020
Broward,21,58,60283,5882,9%,66223,05-11-2020
Palm Beach,65,223,37961,3889,9%,42073,05-11-2020
Orange,16,37,36239,1512,4%,37788,05-11-2020
Hillsborough,19,39,30280,1448,5%,31767,05-11-2020
Lee,5,4,13438,1285,9%,14727,05-11-2020
Duval,81,14,32956,1171,3%,34141,05-11-2020
Pinellas,117,12,20111,876,4%,20999,05-11-2020
Manatee,,4,7452,783,10%,8239,05-11-2020
Collier,5,2,6381,766,11%,7149,05-11-2020
Polk,4,3,10400,655,6%,11058,05-11-2020
Escambia,14,7,10212,641,6%,10860,05-11-2020
Osceola,42,13,8064,573,7%,8650,05-11-2020
Volusia,,9,12722,551,4%,13282,05-11-2020
Sarasota,2,1,6384,430,6%,6815,05-11-2020
Seminole,3,10,10366,415,4%,10791,05-11-2020
Charlotte,6,1,3144,337,10%,3482,05-11-2020
Brevard,1,3,11801,330,3%,12134,05-11-2020
Alachua,,7,8753,320,4%,9080,05-11-2020
Clay,,1,4764,302,6%,5067,05-11-2020
Pasco,19,6,8209,300,4%,8515,05-11-2020
St. Lucie,51,4,5048,284,5%,5336,05-11-2020
Martin,5,,2300,261,10%,2561,05-11-2020
Leon,10,3,6873,254,4%,7130,05-11-2020
Sumter,24,1,2132,244,10%,2377,05-11-2020
Lake,9,9,9214,243,3%,9466,05-11-2020
St. Johns,6,10,6395,222,3%,6627,05-11-2020
Marion,130,1,6417,211,3%,6629,05-11-2020
Liberty,,,1903,198,9%,2101,05-11-2020
Santa Rosa,1,2,3990,176,4%,4168,05-11-2020
Okaloosa,1,,3073,169,5%,3242,05-11-2020
Hendry,1,,859,151,15%,1010,05-11-2020
Flagler,,5,2170,147,6%,2322,05-11-2020
Suwannee,,,1166,146,11%,1312,05-11-2020
Gadsden,,,777,130,14%,907,05-11-2020
Putnam,3,1,2290,127,5%,2418,05-11-2020
Citrus,1,2,2010,106,5%,2118,05-11-2020
Columbia,5,,1499,103,6%,1602,05-11-2020
Hernando,,,2168,101,4%,2269,05-11-2020
Indian River,60,,2243,100,4%,2343,05-11-2020
Highlands,5,1,1907,99,5%,2007,05-11-2020
Jackson,,,727,97,12%,824,05-11-2020
Monroe,36,,1584,92,5%,1676,05-11-2020
Bay,,2,1840,76,4%,1918,05-11-2020
Walton,,1,803,65,7%,869,05-11-2020
Nassau,1,,1900,61,3%,1961,05-11-2020
Madison,,,474,61,11%,535,05-11-2020
Desoto,5,,1317,51,4%,1368,05-11-2020
Unknown,1,,173,50,22%,223,05-11-2020
Bradford,1,,923,48,5%,971,05-11-2020
Hardee,,,286,36,11%,322,05-11-2020
Wakulla,,,643,29,4%,672,05-11-2020
Okeechobee,,2,949,28,3%,979,05-11-2020
Jefferson,1,,200,28,12%,228,05-11-2020
Calhoun,,1,277,27,9%,305,05-11-2020
Baker,,,522,25,5%,547,05-11-2020
Levy,,,902,20,2%,922,05-11-2020
Hamilton,,,407,19,4%,426,05-11-2020
Dixie,,,300,13,4%,313,05-11-2020
Washington,,,339,12,3%,351,05-11-2020
Holmes,,,527,10,2%,537,05-11-2020
Union,,,320,7,2%,327,05-11-2020
Glades,,,86,7,8%,93,05-11-2020
Gilchrist,,,323,6,2%,329,05-11-2020
Taylor,,,322,3,1%,325,05-11-2020
Lafayette,,,93,3,3%,96,05-11-2020
Franklin,,,126,2,2%,128,05-11-2020
Gulf,,,177,1,1%,178,05-11-2020
Total,1080,684,520075,40982,7%,561741,05-11-2020
