County,Awaiting BPHL testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,101,1,3375,491,13%,3867,03-25-2020
Broward,242,0,3560,412,10%,3972,03-25-2020
Palm Beach,21,0,1025,141,12%,1166,03-25-2020
Hillsborough,10,0,1773,123,6%,1896,03-25-2020
Orange,22,0,1112,89,7%,1201,03-25-2020
Duval,245,0,744,60,7%,804,03-25-2020
Collier,42,0,520,57,10%,577,03-25-2020
Pinellas,52,0,941,54,5%,995,03-25-2020
Lee,34,0,526,52,9%,578,03-25-2020
Alachua,53,0,749,46,6%,795,03-25-2020
Osceola,73,0,257,39,13%,296,03-25-2020
Sarasota,91,0,415,32,7%,447,03-25-2020
Seminole,32,0,408,32,7%,440,03-25-2020
St. Johns,25,0,389,28,7%,417,03-25-2020
Volusia,9,0,266,28,10%,294,03-25-2020
Manatee,9,0,153,26,15%,179,03-25-2020
Lake,8,1,300,22,7%,323,03-25-2020
Okaloosa,20,0,88,18,17%,106,03-25-2020
Pasco,21,0,344,18,5%,362,03-25-2020
Sumter,19,1,205,18,8%,224,03-25-2020
Escambia,3,0,217,17,7%,234,03-25-2020
Clay,17,0,122,16,12%,138,03-25-2020
Polk,44,0,345,15,4%,360,03-25-2020
Walton,12,0,48,13,21%,61,03-25-2020
Brevard,16,0,218,12,5%,230,03-25-2020
Indian River,8,0,120,12,9%,132,03-25-2020
Monroe,22,0,79,11,12%,90,03-25-2020
Citrus,14,0,100,9,8%,109,03-25-2020
St. Lucie,13,0,127,9,7%,136,03-25-2020
Hernando,1,0,106,8,7%,114,03-25-2020
Leon,9,0,248,8,3%,256,03-25-2020
Santa Rosa,3,0,103,8,7%,111,03-25-2020
Martin,3,0,97,7,7%,104,03-25-2020
Flagler,0,0,74,6,8%,80,03-25-2020
Baker,8,0,28,5,15%,33,03-25-2020
Highlands,6,0,23,5,18%,28,03-25-2020
Marion,123,0,177,5,3%,182,03-25-2020
Putnam,45,0,122,5,4%,127,03-25-2020
Desoto,20,0,24,4,14%,28,03-25-2020
Nassau,1,0,34,4,11%,38,03-25-2020
Bay,3,0,51,3,6%,54,03-25-2020
Charlotte,5,0,100,3,3%,103,03-25-2020
Columbia,25,0,45,3,6%,48,03-25-2020
Bradford,3,0,32,1,3%,33,03-25-2020
Gadsden,0,0,25,1,4%,26,03-25-2020
Jackson,2,0,39,1,3%,40,03-25-2020
Calhoun,0,0,6,0,0%,6,03-25-2020
Dixie,0,0,13,0,0%,13,03-25-2020
Franklin,1,0,12,0,0%,12,03-25-2020
Gilchrist,0,0,12,0,0%,12,03-25-2020
Glades,0,0,2,0,0%,2,03-25-2020
Gulf,7,0,18,0,0%,18,03-25-2020
Hamilton,0,0,9,0,0%,9,03-25-2020
Hardee,0,0,8,0,0%,8,03-25-2020
Hendry,2,0,20,0,0%,20,03-25-2020
Holmes,2,0,12,0,0%,12,03-25-2020
Jefferson,0,0,8,0,0%,8,03-25-2020
Lafayette,1,0,8,0,0%,8,03-25-2020
Levy,0,0,35,0,0%,35,03-25-2020
Liberty,0,0,1,0,0%,1,03-25-2020
Madison,1,0,15,0,0%,15,03-25-2020
Okeechobee,9,0,22,0,0%,22,03-25-2020
Suwannee,14,0,24,0,0%,24,03-25-2020
Taylor,0,0,21,0,0%,21,03-25-2020
Union,1,0,24,0,0%,24,03-25-2020
Unknown,0,0,4,0,0%,4,03-25-2020
Wakulla,0,0,25,0,0%,25,03-25-2020
Washington,5,0,12,0,0%,12,03-25-2020
Total,1578,3,20165,1977,9%,22145,03-25-2020
