County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,275,175,75674,12389,14%,88238,05-01-2020
Broward,32,35,44306,5144,10%,49485,05-01-2020
Palm Beach,54,240,25748,3041,10%,29029,05-01-2020
Orange,11,3,24946,1413,5%,26362,05-01-2020
Hillsborough,17,31,20709,1163,5%,21903,05-01-2020
Lee,16,2,10812,1067,9%,11881,05-01-2020
Duval,76,10,23381,1025,4%,24416,05-01-2020
Pinellas,227,10,14012,748,5%,14770,05-01-2020
Collier,11,1,5105,610,11%,5716,05-01-2020
Manatee,,2,3333,591,15%,3926,05-01-2020
Escambia,22,7,6972,532,7%,7511,05-01-2020
Volusia,1,3,9016,500,5%,9519,05-01-2020
Polk,6,2,7279,500,6%,7781,05-01-2020
Osceola,45,3,5424,486,8%,5913,05-01-2020
Seminole,3,4,6803,385,5%,7192,05-01-2020
Sarasota,3,1,4464,365,8%,4830,05-01-2020
Brevard,1,2,8694,289,3%,8985,05-01-2020
Clay,,1,3702,276,7%,3979,05-01-2020
Alachua,,7,6785,273,4%,7065,05-01-2020
Pasco,40,6,5417,252,4%,5675,05-01-2020
St. Lucie,48,2,3063,249,8%,3314,05-01-2020
Charlotte,4,1,1965,245,11%,2211,05-01-2020
Lake,8,,6236,233,4%,6469,05-01-2020
Leon,12,2,3092,226,7%,3320,05-01-2020
Sumter,24,,1724,217,11%,1941,05-01-2020
St. Johns,9,1,5023,210,4%,5234,05-01-2020
Martin,4,,1655,197,11%,1852,05-01-2020
Marion,132,2,4318,178,4%,4498,05-01-2020
Santa Rosa,1,1,2577,158,6%,2736,05-01-2020
Okaloosa,4,,2638,156,6%,2794,05-01-2020
Suwannee,,,658,139,17%,797,05-01-2020
Flagler,,1,1429,134,9%,1564,05-01-2020
Putnam,3,,1490,108,7%,1598,05-01-2020
Gadsden,,,437,103,19%,540,05-01-2020
Citrus,1,2,1556,99,6%,1657,05-01-2020
Hernando,,,1637,92,5%,1729,05-01-2020
Hendry,1,,478,92,16%,570,05-01-2020
Indian River,53,,1746,91,5%,1837,05-01-2020
Highlands,5,1,1128,84,7%,1213,05-01-2020
Monroe,33,,1203,79,6%,1282,05-01-2020
Bay,,2,1533,72,4%,1607,05-01-2020
Columbia,6,,1151,64,5%,1215,05-01-2020
Madison,7,,379,58,13%,437,05-01-2020
Nassau,,,1461,57,4%,1518,05-01-2020
Bradford,1,,739,47,6%,786,05-01-2020
Walton,,1,617,38,6%,656,05-01-2020
Desoto,4,,514,30,6%,544,05-01-2020
Jefferson,,,140,28,17%,168,05-01-2020
Wakulla,,,330,24,7%,354,05-01-2020
Baker,,,381,22,5%,403,05-01-2020
Hardee,,,148,22,13%,170,05-01-2020
Levy,,,636,19,3%,655,05-01-2020
Jackson,,,445,14,3%,459,05-01-2020
Okeechobee,1,,380,12,3%,392,05-01-2020
Washington,1,,295,12,4%,307,05-01-2020
Holmes,,,495,10,2%,505,05-01-2020
Calhoun,1,,119,8,6%,127,05-01-2020
Unknown,1,,49,8,14%,57,05-01-2020
Dixie,,,218,7,3%,225,05-01-2020
Hamilton,,,167,7,4%,174,05-01-2020
Glades,,,61,6,9%,67,05-01-2020
Liberty,,,53,6,10%,59,05-01-2020
Gilchrist,1,,248,5,2%,253,05-01-2020
Union,,,234,5,2%,239,05-01-2020
Taylor,2,,229,3,1%,232,05-01-2020
Franklin,,,97,2,2%,99,05-01-2020
Lafayette,,,79,2,2%,81,05-01-2020
Gulf,,,138,1,1%,139,05-01-2020
Total,1207,561,367971,34728,9%,403260,05-01-2020
